,can,active,decoy
0,Oc2ccc1CN(C(=O)C(F)(F)F)CCc1c2,1,0
1,Oc5ccc4[C@@H](c2ccc(SCCN1CCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0
2,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](C3CCCC3)Sc4c5,1,0
3,Oc2ccc1C4=C(COc1c2)c3ccc(O)cc3OC4c6ccc(OCCN5CCCCCC5)cc6,1,0
4,Oc4ccc3C(C1CCCCC1)N(c2ccccc2)CCc3c4,1,0
5,CCCCCS(=O)(=O)CCCCCCCCCCn2c(c1ccc(O)cc1)c(C)c3cc(O)ccc23,1,0
6,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](C3CCCCC3)Sc4c5,1,0
7,CC4=CC3=CC[C@H]2[C@@H]1CC[C@H](O)[C@@]1(C)CC[C@@H]2[C@@]3(C)CC4,1,0
8,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN4C[C@H]3CCC[C@H]3C4)cc5)cc6,1,0
9,CC(C)CN(C)c3cc(c1ccccc1)cc(c2ccc(O)c(C)c2)n3,1,0
10,Oc6ccc5C(c2ccc(OCCN1CCCC1)cc2)N(S(=O)(=O)c3cccc4ccccc34)CCc5c6,1,0
11,Oc5ccc(C2CCc1cc(O)ccc1N2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0
12,Oc4ccc3C(c1cccs1)N(c2ccccc2)CCc3c4,1,0
13,Cc7ccc(S(=O)(=O)N6Cc5ccc([C@]4(O)CC[C@H]3[C@@H]2CCc1cc(O)ccc1[C@H]2CC[C@@]34C)cc5C6)cc7,1,0
14,CC2CCc1ccccc1N2S(=O)(=O)c3ccc(O)cc3,1,0
15,CCc2c(c1ccc(O)cc1)c4ccc3c(O)ccc2n34,1,0
16,OC(CCN1CCCCC1)c6ccc(c4c2cc(O)ccc2cc5sc3cc(O)ccc3c45)cc6,1,0
17,Oc4ccc(c2nn(C1CCCC1)c3c(F)cccc23)cc4,1,0
18,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCCCN3CCCCC3)cccc45,1,0
19,Oc6ccc5c(c1cccc2ccccc12)c(C(=O)c4ccc3OCCOc3c4)oc5c6,1,0
20,Oc4ccc([C@H]3Oc1ccc(O)cc1[C@H]2CCCC[C@H]23)cc4,1,0
21,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCC4CC3CC3C4)cc5)cc6,1,0
22,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCN3CCCC3)ccc45,1,0
23,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](CC3CCCCC3)Sc4c5,1,0
24,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCN3CCCCC3)ccc45,1,0
25,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCCN3CCCCC3)ccc45,1,0
26,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCN3CCCCC3)cccc45,1,0
27,C[C@]34CC[C@H]1[C@@H](CCc2cc(O)ccc12)[C@@H]3CC[C@@H]4O,1,0
28,Oc5ccc(C1=c4ccc3=CC=CC(C1CCc2ccccc2)n34)cc5,1,0
29,COC(=O)C2=C(N)Oc1cc(O)ccc1C2c4ccc(OCc3ccccc3F)cc4,1,0
30,Oc5ccc([C@@H]2Sc1c(F)cc(O)cc1O[C@@H]2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0
31,Oc6ccc5C(c2ccc(OCCN1CCCC1)cc2)N(S(=O)(=O)c4ccc3ccccc3c4)CCc5c6,1,0
32,Oc1ccc4c(c1)oc3oc2cc(O)cc(O)c2c(=O)c34,1,0
33,Oc6ccc5C3=C(c2ccc(OCCN1CCCCC1)cc2)C(=O)CCC3(Cc4ccccc4)Cc5c6,1,0
34,Oc5ccc4[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0
35,Oc5ccc4c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(c3cccs3)sc4c5,1,0
36,Cc2c(\C=N\O)c1ccccc1n2c3ccc(O)cc3,1,0
37,ClC2(Cl)C5(Cl)C1(Cl)C4(Cl)C(=O)C3(Cl)[C@@]1(Cl)C2(Cl)[C@]3(Cl)C45Cl,1,0
