,Unnamed: 0,can,active,decoy,other,score,time
0,0,Nc3nc(c1ccccc1)c(C#N)c(c2ccccc2)n3,1,0,0,-8.6,8.77950119972229
1,1,Nc3nc(c1cccnc1)cc4nc(c2ccco2)nn34,1,0,0,-8.7,8.362242698669434
2,2,Nc3nc(C(=O)NCc1ccccc1)cn4nc(c2ccco2)nc34,1,0,0,-9.3,12.772916078567505
3,3,CN(C[C@H]1CCCCN1Cc2cc(C)on2)c5nc(N)n4nc(c3ccco3)nc4n5,1,0,0,-9.5,22.422569274902344
4,4,Nc3nc(N\N=C\CCC1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,1,0,0,-8.3,26.839012384414673
5,5,CN(C)C[C@@H]4CCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,1,0,0,-8.3,21.429829359054565
6,6,Nc5nc3n(CCCc2ccc1OC(CO)(CO)Oc1c2)ncc3c6nc(c4ccco4)nn56,1,0,0,-9.3,28.85133695602417
7,7,OCCNc3nc(C(=O)c1cccs1)c2sccc2n3,1,0,0,-7.1,10.755305290222168
8,8,Nc5nc(N3CCN2C[C@@H](COc1ccncc1)CC[C@H]2C3)nc6nc(c4ccco4)nn56,1,0,0,-8.8,17.771833419799805
9,9,CCCn5c(=O)n(CCC)c4[nH]c(c3ccc(OCc2noc(c1ccccc1OC)n2)cc3)nc4c5=O,1,0,0,-9.4,29.27748966217041
10,10,Nc5nc3n(CCN2CCc1ncncc1C2)ncc3c6nc(c4ccco4)nn56,1,0,0,-9.5,14.958194255828857
11,11,COC[C@H]6O[C@@H](n4cnc5c(NCC(c1ccccc1)c2ccccc2)nc(CCNC3CCCCC3)nc45)[C@H](O)[C@@H]6O,1,0,0,-9.5,59.76665806770325
12,12,Nc5nc(NC[C@H]1CCCN1Cc3ccc2ccccc2n3)nc6nc(c4ccco4)nn56,1,0,0,-10.4,24.223721981048584
13,13,CC(O)(C#Cc3cn2nc(c1ccco1)nc2c(N)n3)c4ccccc4,1,0,0,-9.2,13.211280107498169
14,14,Nc3nc(C#CC1(O)CCCCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,1,0,0,-8.4,23.16238784790039
15,15,Nc5nc(c1ccccc1)c4c(=O)c3ccc(CNN2CCCCCC2)cc3c4n5,1,0,0,-9.9,15.205018997192383
16,16,CN5CCN(NCc4ccc3c(=O)c2c(c1ccccc1)nc(N)nc2c3c4)CC5,1,0,0,-9.6,15.636159181594849
17,17,CCNC(=O)[C@H]4O[C@@H](n2cnc3c(N)nc(\C=C\CCCc1ccccc1)nc23)[C@H](O)[C@@H]4O,1,0,0,-9.0,29.485894203186035
18,18,Nc4nc(c1ccco1)c3c(=O)c2ccccc2c3n4,1,0,0,-9.2,6.66817307472229
