,Unnamed: 0,can,active,decoy,other,score,time
0,0,Clc4cccc(N3CCN(CCCCNC(=O)c2cccc(C#Cc1ccccc1)c2)CC3)c4Cl,1,0,0,-10.3,254.41099858283997
1,1,CCCN(CCC)C1CCC(C#C[Si](C)(C)C)=CC1,1,0,0,-10.3,0.08674907684326172
2,2,CCCN(CCN3CCN(c2ccc1ccccc1c2)CC3)C5CCc4ccc(O)cc4C5,1,0,0,-10.2,159.72532558441162
3,3,Cc2[nH]c1ccccc1c2CN4CCC(O)(c3ccc(Cl)cc3)CC4,1,0,0,-8.6,135.09158372879028
4,4,CC(C)(C)c4nc(N3CCN(CCCCn2ccc(C1CCC1)nc2=O)CC3)cc(C(F)(F)F)n4,1,0,0,-10.0,251.8924515247345
5,5,CCCN(CCC)[C@H]3CCc2nn1ccccc1c2C3,1,0,0,-7.0,74.60110139846802
6,6,CCN1CC[C@@H]3[C@@H](C1)c2cc(F)ccc2N3c4ccc(F)cc4,1,0,0,-8.0,65.91772794723511
7,7,COc3c(C(=O)NCCN2CCN(c1cccc(Cl)c1Cl)CC2)cc(Br)c4ccccc34,1,0,0,-9.4,209.18220281600952
8,8,C2CC(Nc1ncccn1)CCC2CCN4CCN(c3ccccn3)CC4,1,0,0,-8.9,151.17863488197327
9,9,COc3c(C(=O)NC[C@H]1CCCN1Cc2ccccc2)cc(Br)c4ccccc34,1,0,0,-9.0,84.47989010810852
10,10,CCCN(CCCCNC(=O)c2ccc1ccccc1c2)[C@H]4CCc3nc(N)sc3C4,1,0,0,-10.3,115.53623914718628
11,11,OC(CNC(=O)c2cc1ccccc1o2)N4CCN(c3cccc(Cl)c3Cl)CC4,1,0,0,-9.7,71.52316665649414
12,12,Oc4ccc(C3=CCC[C@@H](CN2CCC(c1ccccc1)=CC2)C3)cc4,1,0,0,-10.3,54.1230890750885
13,13,CSc1ccccc1N4CCN(CCCNC(=O)c2cnn3ccccc23)CC4,1,0,0,-9.0,76.89281988143921
14,14,Cc3ccc(CC2(O)CCN(CCCC(=O)c1ccc(F)cc1)CC2)cc3,1,0,0,-9.9,73.65111637115479
15,15,CCCN(CCN3CCN(c1cccc2ncccc12)CC3)[C@H]5CCc4nc(N)sc4C5,1,0,0,-10.2,86.81881666183472
16,16,Cc6ccc5c(c4nnc(SCCCN3CCc2ccc1oc(C(F)(F)F)nc1c2CC3)n4C)cccc5n6,1,0,0,-14.0,140.60956859588623
17,17,CCN2CCN(C)CC(NC(=O)c1cc(Br)c(NC)nc1OC)C2,1,0,0,-7.1,50.754512786865234
18,18,COc1ccccc1N4CCN(CCCCNc3ccc2ccccc2n3)CC4,1,0,0,-9.3,81.18083190917969
19,19,COc1ccccc1N3CCN(CCCCNC(=O)\C=C\c2ccsc2)CC3,1,0,0,-8.1,89.26775574684143
20,20,Fc5ccc(N3C2CN(CCCCCCN1C(=O)CNC1=O)CCC2c4cc(F)ccc34)cc5,1,0,0,-9.7,100.96179819107056
21,21,Clc5cccc(N4CCN(CCCNC(=O)C2c1ccccc1c3ccccc23)CC4)c5Cl,1,0,0,-10.1,88.26881885528564
22,22,COc6ccc5N4CCN(CCC3CCC(NC(=O)c1ccnc2ccccc12)CC3)CC4CCc5c6,1,0,0,-9.1,101.66951584815979
23,23,CN4CCN(c2cn1cccc1sc3ccc(Br)cc23)CC4,1,0,0,-7.3,28.94478416442871
24,24,CCCN(CCC)C3CCc2ccc1NC(=O)Cc1c2C3,1,0,0,-7.5,39.20293068885803
25,25,CCCN(CCC)C3CCc2cc1CCOc1cc2C3,1,0,0,-7.7,37.751044034957886
26,26,CN4CCN(c2nc1ccccc1oc3ccc(Cl)cc23)CC4,1,0,0,-8.4,28.94083547592163
27,27,Clc5ccc(C(N3CCN(CCCCn2c(=O)c1ccccc1c2=O)CC3)c4ccccc4)cc5,1,0,0,-9.9,109.2214093208313
28,28,Fc5ccc(C(=O)CCCN1CCc3c(C1)c2cc(F)ccc2n3c4ccc(F)cc4)cc5,1,0,0,-10.6,77.77527832984924
29,29,Clc5cccc(N4CCN(CCN1C[C@@H]3CC[C@H]1Cc2ccccc2C3)C4=O)c5,1,0,0,-10.0,56.28256893157959
30,30,CN4CCCN(c2cn1cccc1sc3ccc(Cl)cc23)CC4,1,0,0,-7.7,29.695154905319214
31,31,FC(F)(F)S(=O)(=O)Oc3cccc([C@@H]2CCCN(CCc1ccccc1)C2)c3,1,0,0,-10.4,68.82474637031555
32,32,Clc6cccc(N5CCN(CCC4CCC(NC(=O)C23CC1CC(CC(C1)C2)C3)CC4)CC5)c6Cl,1,0,0,-12.2,107.01882290840149
33,33,C3CN(c1ccccc1)[C@@H]2Cc4c[nH]c5cccc(C2O3)c45,1,0,0,-8.5,50.25524163246155
34,34,COc1ccccc1N4CCN(CCCCNC(=O)c3ccc(c2cccc([18F])n2)cc3)CC4,1,0,0,-9.9,290.308260679245
35,35,FC(F)(F)c4cccc(N3CCN(CCCCN2Cc1ccccc1C2=O)CC3)c4,1,0,0,-9.7,217.059636592865
36,36,Fc5ccc(n3c2CCN(CCCCCCNC(=O)c1ccccc1)Cc2c4cc(F)ccc34)cc5,1,0,0,-10.7,291.05772495269775
37,37,Cc1ccoc1c5nnc(SCCCN4C[C@@H]2C[C@]2(c3ccc(C(F)(F)F)cc3)C4)n5C,1,0,0,-13.0,196.3445246219635
38,38,COc3cccc(C(=O)NCCCCN2CCN(c1cccc(C)c1C)CC2)c3,1,0,0,-9.5,197.4528045654297
39,39,OC3(c1ccc(Cl)cc1)CCN(CCCC(=O)c2ccc(F)cc2)CC3,1,0,0,-7.9,157.89745378494263
