,Unnamed: 0,can,active,decoy,other,score,time
0,0,NCCCn3ccc4c(c2ccnc(Nc1cccc(OC(F)(F)C(F)F)c1)n2)cccc34,1,0,0,-9.6,24.680689573287964
1,1,Oc3ccc(O)c(CNc2ccc(O)c(C(=O)NOCc1ccccc1)c2)c3,1,0,0,-9.4,21.14206027984619
2,2,CCN(CC)CCOc3ccc(Nc2cc(NC(=O)Nc1c(Cl)cccc1Cl)ncn2)cc3,1,0,0,-7.7,31.535861015319824
3,3,COc3cc2ncnc(Nc1ccc(F)c(Cl)c1)c2cc3CNC(=O)[C@H]4CCCCN4C,1,0,0,-9.5,21.79420781135559
4,4,COc4ccc(CNc2[nH]nc3ncnc(Nc1cccc(Cl)c1)c23)cc4,1,0,0,-9.1,14.46208381652832
5,5,CCO/N=C/c1c(N)ncnc1Nc4ccc3n(Cc2cccc(F)c2)ncc3c4,1,0,0,-10.2,20.55622696876526
6,6,Brc4cccc(Nc2ncnc3ccc(NC(=O)C#CCN1CCSCC1)cc23)c4,1,0,0,-9.1,19.485502243041992
7,7,Cc5ccc(Oc4ccc(Nc2ncnc3[nH]nc(OCCN1CCC(O)CC1)c23)cc4Cl)cn5,1,0,0,-11.0,27.432286977767944
8,8,CC(C)c4c(c1nnc(C)o1)cn5ncnc(Nc3cnc2[nH]ccc2c3)c45,1,0,0,-9.4,13.558591604232788
9,9,Oc2ccc(\C=C(/C#N)C(=O)NCCCCCNC(=O)C(=C/c1ccc(O)c(O)c1)/C#N)cc2O,1,0,0,-10.0,48.434699058532715
10,10,CC(=O)Nc4cccc(C#Cc1cncnc1Nc3ccc(OCc2cccc(F)c2)c(Cl)c3)c4,1,0,0,-10.6,24.270321369171143
11,11,CN4CCN(CCCCNc3ncc2cc(c1c(Cl)cccc1Cl)c(=O)n(C)c2n3)CC4,1,0,0,-8.3,20.171943187713623
12,12,N#Cc4cnc3ccc(c2cccc(CN1CCOCC1)c2)cc3c4N[C@@H]5C[C@H]5c6ccccc6,1,0,0,-11.0,19.91451382637024
13,13,Brc4cccc(Nc2ncnc3cc1[nH]ccc1cc23)c4,1,0,0,-8.3,7.977062225341797
14,14,COc5cc4CNc3c(Nc2ccc1ccccc1c2)ncnc3Oc4cc5OC,1,0,0,-10.2,13.11217212677002
15,15,CS(=O)(=O)CCNCc6nc(c5ccc4ncnc(Nc3ccc2n(Cc1ccccc1)ncc2c3)c4c5)cs6,1,0,0,-11.0,35.07803678512573
16,16,CCOC(=O)c4cn3ncnc(Nc2ccc(Oc1ccccc1)cc2)c3c4CC,1,0,0,-9.7,18.83293056488037
17,17,COc3cc2ncnc(Sc1cccc(Cl)c1)c2cc3OC,1,0,0,-8.2,10.934292316436768
18,18,Fc6cccc(Cn4ncc5cc(Nc2ncnn3ccc(COCC1CCNCC1)c23)ccc45)c6,1,0,0,-13.2,27.425434112548828
19,19,CCOc5cc4ncc(C#N)c(Nc3ccc(O[C@@H]1CCc2ccccc12)c(Cl)c3)c4cc5NC(=O)\C=C\CN(C)C,1,0,0,-9.9,37.43392038345337
20,20,COc3cc2ncnc(C#CCOc1ccccc1)c2cc3OC,1,0,0,-8.1,12.335737466812134
21,21,Brc4cccc(Nc2ncnc3cnc(NCCCN1CCOCC1)cc23)c4,1,0,0,-8.3,18.206578254699707
22,22,CCN(CC)CCCCNc3ncc2cc(c1c(Cl)cccc1Cl)c(NC(=O)NC(C)(C)C)nc2n3,1,0,0,-8.3,32.11170029640198
23,23,O=C(c1ccccc1)c5cc4ncnc(Nc3ccc2[nH]ccc2c3)c4s5,1,0,0,-10.2,12.720000982284546
24,24,Nc3ncnc4n(C1CCCC1)cc(c2cccc(O)c2)c34,1,0,0,-9.2,11.006415843963623
25,25,Cn3c(=O)c(c1c(Cl)cccc1Cl)cc4cnc(Nc2cccnc2)nc34,1,0,0,-10.3,11.770903825759888
26,26,CO/N=C/c1c(N)ncnc1Nc3ccc(OCc2cccc(F)c2)c(Cl)c3,1,0,0,-9.5,19.482351779937744
27,27,Oc2ccc(\C=C(/C#N)C(=O)NCCCNC(=O)C(=C/c1ccc(O)c(O)c1)/C#N)cc2O,1,0,0,-9.8,42.414793252944946
28,28,Fc4ccc(Nc2ncnc3cnc(NC(=O)C#CCCN1CCOCC1)cc23)cc4Cl,1,0,0,-8.7,23.20388674736023
29,29,COc4cc(OC1CCOC1)c3c(Nc2ccc(F)c(Cl)c2)ncnc3c4,1,0,0,-8.6,14.58912467956543
30,30,Fc4ccc(Nc2ncnc3cnc(NC(=O)C#CCCN1CCCCC1)cc23)cc4Cl,1,0,0,-10.4,22.573090314865112
31,31,Cc2ccc(Br)c3c(C#N)cc(C(=O)C1CC1)n23,1,0,0,-7.5,7.752805709838867
32,32,Oc3ccc(CN(Cc1cccc(Cl)c1O)C(=S)Nc2ccccc2)cc3,1,0,0,-8.6,20.03129243850708
33,33,Cc4ccn5ncnc(Nc3ccc2n(Cc1ccccn1)ncc2c3)c45,1,0,0,-10.7,11.67087459564209
34,34,Nc4ncnc(Nc3ccc2n(Cc1cccc(F)c1)ncc2c3)c4\C=N\N5CCOCC5,1,0,0,-11.2,23.904026985168457
35,35,Brc4cccc(Nc2ncnc3cnc(NC(=O)\C=C\c1ccccc1)cc23)c4,1,0,0,-9.4,15.436355352401733
36,36,Oc3ccc(O)c(CNc2ccc(O)c(C(=O)Oc1ccccc1)c2)c3,1,0,0,-9.5,17.1806423664093
37,37,CCOc4cc3ncnc(Nc2cccc(c1cncs1)c2)c3cc4OCC,1,0,0,-9.1,20.110554695129395
38,38,Clc4cc(Nc2ncnc3[nH]nc(OCCN1CCCC1)c23)ccc4OCc5ccccn5,1,0,0,-9.7,25.74701952934265
39,39,COc3cc(\C=C(/C#N)C(N)=O)cc(CSc2nc1ccccc1s2)c3O,1,0,0,-9.3,19.542903423309326
40,40,CN4CCC(O)(c3nc(c1ccc(F)cc1)c(c2ccncc2)o3)CC4,1,0,0,-9.4,13.209587335586548
41,41,Fc4ccc(Nc2ncnc3cc(OCCCN1CCOCC1)c(NC(=O)C=C)nc23)cc4Cl,1,0,0,-9.1,24.983497858047485
42,42,Brc4cccc(Nc2ncnc3cc(NCCN1CCOCC1)ncc23)c4,1,0,0,-8.8,15.815257549285889
43,43,CN5CCC(Oc3cccc4ncnc(Nc2ccc(OCc1ccccn1)c(Cl)c2)c34)CC5,1,0,0,-10.3,22.17509961128235
44,44,CN(c1cccc(Cl)c1)c2[nH]cnc3nc(C)c(C)c23,1,0,0,-8.0,8.30842399597168
45,45,Oc2ccc(\C=C(/C#N)C(=O)c1ccc(O)c(O)c1)cc2O,1,0,0,-9.2,14.91354513168335
46,46,Nc4ncnc(Nc3ccc2n(Cc1cccc(F)c1)ncc2c3)c4\C=N\N5CCN(CCO)CC5,1,0,0,-10.6,30.291365146636963
47,47,Oc3cc(O)c2c(O)c(c1cccc(Cl)c1)cnc2c3,1,0,0,-9.0,9.296854972839355
48,48,O=C(Cc1ccccc1)Nc7cccc(c3nc2sccn2c3c6ccnc(Nc5cccc(N4CCOCC4)c5)n6)c7,1,0,0,-12.4,38.00222992897034
49,49,CCOc4cc3ncnc(C#Cc1[nH]ccc1c2ccccc2)c3cc4OCC,1,0,0,-9.1,16.95469093322754
50,50,CN5CCC(Oc3cccc4ncnc(Nc2ccc(OCc1cnccn1)c(Cl)c2)c34)CC5,1,0,0,-9.9,27.30741786956787
51,51,CN(C)c3cc2ncnc(Nc1cccc(Br)c1)c2cn3,1,0,0,-8.7,9.327094554901123
52,52,Brc4cccc(Nc2ncnc3cnc(NCCCn1ccnc1)cc23)c4,1,0,0,-8.5,16.472352743148804
53,53,Brc4cccc(Nc2ncnc3ccc(C(CCCN1CCOCC1)C(=O)C=C)cc23)c4,1,0,0,-9.7,25.360201120376587
54,54,Cc4c(C(=O)NCCN1CCOCC1)[nH]c5cnnc(Nc3ccc(OCc2ccccn2)c(Cl)c3)c45,1,0,0,-11.1,30.202078342437744
55,55,Brc4cccc(Nc2ncnc3cc(NCCCCN1CCOCC1)ncc23)c4,1,0,0,-9.1,20.66540837287903
56,56,COc4cc3ncc(C#N)c(N[C@@H]1C[C@H]1c2ccccc2)c3cc4OC,1,0,0,-9.0,12.709740400314331
57,57,N[C@H]6CCN(Cc4ccn5ncnc(Nc3ccc2n(Cc1cccc(F)c1)ncc2c3)c45)C6,1,0,0,-11.7,20.433895587921143
58,58,Nc4ncnc(Nc3ccc2n(Cc1cccc(F)c1)ncc2c3)c4\C=N\OCc5ccccc5,1,0,0,-11.7,28.313430547714233
59,59,CN(C)CCc6ccc(Nc5nccc(c3c(c2cccc(NC(=O)c1c(F)cccc1F)c2)nc4sccn34)n5)cc6,1,0,0,-11.3,38.20217847824097
60,60,Nc4nc(Nc1cccc(Br)c1)c3cc(Cc2ccc(Cl)cc2Cl)[nH]c3n4,1,0,0,-10.1,15.815296173095703
61,61,Brc4cccc(Nc2ncnc3cc1NCc1cc23)c4,1,0,0,-8.9,8.33818244934082
62,62,CCN4CCN(Cc3ccc(NC(=O)Nc2ccc(Oc1cc(NC)ncn1)cc2)cc3C(F)(F)F)CC4,1,0,0,-9.7,38.54183292388916
63,63,CS(=O)(=O)CCNCc5ccc(c4ccc3ncnc(Nc2ccc(OCc1cccc(F)c1)c(Cl)c2)c3c4)o5,1,0,0,-12.4,32.46235227584839
64,64,Clc5cc(Nc3ncnc4cc(C#C[C@@H]2C[C@@H](OC(=O)N1CCOCC1)CN2)sc34)ccc5OCc6ccccn6,1,0,0,-10.8,36.301843881607056
65,65,COc5cc4ncnc(Nc3ccc(c2nc1ccccc1s2)c(OC)c3)c4cc5OCCCN6CCN(C)CC6,1,0,0,-12.3,33.50190472602844
66,66,O=C(O[C@H]5CN[C@H](C#Cc4cc3ncnc(NCc2cccc(Oc1ccccc1)c2)c3s4)C5)N6CCOCC6,1,0,0,-10.2,35.28139352798462
67,67,CCOC(=O)c3cn2ncnc(Nc1cccc(Br)c1)c2c3CC,1,0,0,-8.5,13.627224922180176
68,68,Brc4cccc(Nc2ncnc3ccc(NC(=O)C#CCN1CCOCC1)cc23)c4,1,0,0,-9.5,18.471415996551514
69,69,CCOc4cc3ncc(C#N)c(Nc2ccc(OCc1cccs1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C,1,0,0,-8.9,37.74030661582947
70,70,Brc4cccc(Nc2ncnc3ccc(NN=NCc1ccccn1)cc23)c4,1,0,0,-10.0,15.65208101272583
71,71,Cc1cccc(C)c1c5cc(C)c4nc(Nc3ccc(OCCN2CCCC2)cc3)nnc4c5,1,0,0,-9.8,19.66247057914734
72,72,CNc3ccc2c(Nc1cccc(Br)c1)ncnc2n3,1,0,0,-8.3,8.539230108261108
73,73,CCOc4cc3ncnc(Nc2cc(=O)c(OCc1cccc(F)c1)cc2=O)c3cc4NC(=O)\C=C\CN(C)C,1,0,0,-10.8,37.855265378952026
74,74,COc4cc3ncnc(NC1CCc2ccccc12)c3cc4OC,1,0,0,-9.1,10.8076810836792
75,75,COc4cc3ncnc(Nc1cncc2ccccc12)c3cc4OC,1,0,0,-9.2,11.263017177581787
76,76,Brc4cccc(Nc2ncnc3ccc(NC(=O)Cn1sccc1=O)cc23)c4,1,0,0,-9.9,16.52611470222473
77,77,CCOc4cc3ncc(C#N)c(Nc2ccc(Oc1ccccc1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C,1,0,0,-8.7,32.693480253219604
78,78,Fc4ccc(Nc2ncnc3cc(CCCCN1CCOCC1)c(NC(=O)C=C)nc23)cc4Cl,1,0,0,-9.3,25.316141366958618
79,79,COc3cc2ncnc(Nc1ccc(F)c(Cl)c1)c2cc3CN4CCC[C@@H]4C(N)=O,1,0,0,-9.7,18.59831714630127
80,80,Brc3cccc(Nc1ncnc2ccsc12)c3,1,0,0,-7.4,7.631881475448608
81,81,C6CO[C@H](COCc4ccn5ncnc(Nc3ccc2n(Cc1cccnc1)ncc2c3)c45)CN6,1,0,0,-13.3,26.36234974861145
82,82,Oc3ccc(O)c(CNc2ccc(O)c(C(=O)OCCc1ccccc1)c2)c3,1,0,0,-9.5,22.275811672210693
83,83,OCc4ccc(C#Cc1cncnc1Nc3ccc(OCc2cccc(F)c2)c(Cl)c3)o4,1,0,0,-10.1,25.022905349731445
84,84,Fc4ccc(Nc2ncnc3nc(NCCN1CCOCC1)sc23)cc4Cl,1,0,0,-8.7,16.483925342559814
85,85,Oc3ccc(O)c(CNc2ccc(O)c(C(=O)OCCCCc1ccccc1)c2)c3,1,0,0,-9.6,26.748488664627075
86,86,COc4cc3ncc(C#N)c(N[C@@H]1C[C@H]1c2ccccc2)c3cc4OCc5ccccc5,1,0,0,-9.7,18.590558767318726
87,87,O=c3[nH]c(=O)c4cc(Nc1ccccc1)c(Nc2ccccc2)cc34,1,0,0,-9.2,11.528589487075806
88,88,COc1ccccc1Cc7nc6ccc(c4nn(C3CCC(N2CCNCC2)CC3)c5ncnc(N)c45)cc6[nH]7,1,0,0,-12.1,27.98579740524292
89,89,Brc4ccc3CCN(c1ncnc2ccc(NC(=O)C=C)cc12)c3c4,1,0,0,-9.5,12.269700765609741
90,90,COc3cc2c(Nc1ccc(Cl)cc1F)ncnc2cc3OCCN(C)c4ccncc4,1,0,0,-9.5,23.873037099838257
91,91,Brc4cccc(Nc2ncnc3cnc(NCCc1c[nH]cn1)cc23)c4,1,0,0,-8.7,15.05353856086731
92,92,CN4CCN(c3cc2ncnc(Nc1cc(Cl)c(Cl)cc1F)c2cc3NC(=O)C=C)CC4,1,0,0,-10.0,17.156409978866577
93,93,COCCN4CC(N(C)Cc3cc2c(Nc1cccc(Cl)c1F)ncnc2cc3OC)(C(N)=O)C4,1,0,0,-8.9,28.600732803344727
