,can,active,decoy,other
0,C[C@]34CC[C@H]1[C@@H](CCc2cc(O)ccc12)[C@@H]3CC[C@@H]4O,1,0,0
1,CC/C(=C(/CC)c1ccc(O)cc1)c2ccc(O)cc2,1,0,0
2,CC4=C(c1ccc(O)cc1)[C@H](c3ccc(OCCN2CCCCC2)cc3)Oc5cc(O)ccc45,1,0,0
3,Oc5ccc(c2sc1cc(O)ccc1c2C(=O)c4ccc(OCCN3CCCCC3)cc4)cc5,1,0,0
4,CC/C(=C(\c1ccc(O)cc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,1,0,0
5,Oc5ccc(c2sc1cc(O)ccc1c2Oc4ccc(OCCN3CCCCC3)cc4)cc5,1,0,0
6,CCC2C(c1ccc(O)cc1)=C(CC)c3ccc(O)cc23,1,0,0
7,CC[C@@H]([C@@H](C#N)c1ccc(O)cc1)c2ccc(O)cc2,1,0,0
8,C[C@@H]1CCCN1[C@@H](C)COc5ccc([C@@H]3Oc2ccc(O)c(F)c2[C@@H](C)[C@@H]3c4ccc(O)cc4)cc5,1,0,0
9,CC[C@@H]([C@H](C)c1ccc(O)cc1)c2ccc(O)cn2,1,0,0
10,Oc5ccc4[C@@H](c2ccc(OCCN1CCCC1)cc2)[C@@H](c3ccccc3)OCc4c5,1,0,0
11,O/N=C/c3ccc(c1ccccc1)c(c2ccccc2)c3,1,0,0
12,Oc5ccc4c(Oc2ccc(OCCN1CCCCC1)cc2)c(c3cccc(F)c3)ccc4c5,1,0,0
13,CC[C@H](COc4ccc([C@@H]2Oc1ccc(O)cc1S[C@@H]2c3ccc(O)cc3)cc4)N5CCCC5,1,0,0
14,Oc5ccc(c2ccc1cc(O)ccc1c2Cc4ccc(OCCN3CCCCC3)cc4)cc5,1,0,0
15,C[C@@H](COc4ccc(C(=O)c2c(c1ccc(O)cc1)sc3cc(O)ccc23)cc4)N5CCCC5,1,0,0
16,Oc6ccc(c2sc1cc(O)ccc1c2C(=O)c5ccc(N4CCN(c3ccc(Cl)cc3)CC4)cc5)cc6,1,0,0
17,Oc5ccc4[C@@H](c2ccc(OCCN1CCCC1)cc2)[C@@H](c3ccccc3)SCc4c5,1,0,0
18,Cc6cccc(C(=O)N5CCN(c4ccc(C(=O)c2c(c1ccc(O)cc1)sc3cc(O)ccc23)cc4)CC5)c6,1,0,0
19,Oc6ccc3c(CN(c2ccc(OCCN1CCCCC1)cc2)c4c3ccc5cc(O)ccc45)c6,1,0,0
