,can,active,decoy,other
0,Nc3nc(c1ccccc1)c(C#N)c(c2ccccc2)n3,1,0,0
1,Nc3nc(c1cccnc1)cc4nc(c2ccco2)nn34,1,0,0
2,Nc3nc(C(=O)NCc1ccccc1)cn4nc(c2ccco2)nc34,1,0,0
3,CN(C[C@H]1CCCCN1Cc2cc(C)on2)c5nc(N)n4nc(c3ccco3)nc4n5,1,0,0
4,Nc3nc(N\N=C\CCC1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,1,0,0
5,CN(C)C[C@@H]4CCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,1,0,0
6,Nc5nc3n(CCCc2ccc1OC(CO)(CO)Oc1c2)ncc3c6nc(c4ccco4)nn56,1,0,0
7,OCCNc3nc(C(=O)c1cccs1)c2sccc2n3,1,0,0
8,Nc5nc(N3CCN2C[C@@H](COc1ccncc1)CC[C@H]2C3)nc6nc(c4ccco4)nn56,1,0,0
9,CCCn5c(=O)n(CCC)c4[nH]c(c3ccc(OCc2noc(c1ccccc1OC)n2)cc3)nc4c5=O,1,0,0
10,Nc5nc3n(CCN2CCc1ncncc1C2)ncc3c6nc(c4ccco4)nn56,1,0,0
11,COC[C@H]6O[C@@H](n4cnc5c(NCC(c1ccccc1)c2ccccc2)nc(CCNC3CCCCC3)nc45)[C@H](O)[C@@H]6O,1,0,0
12,Nc5nc(NC[C@H]1CCCN1Cc3ccc2ccccc2n3)nc6nc(c4ccco4)nn56,1,0,0
13,CC(O)(C#Cc3cn2nc(c1ccco1)nc2c(N)n3)c4ccccc4,1,0,0
14,Nc3nc(C#CC1(O)CCCCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,1,0,0
15,Nc5nc(c1ccccc1)c4c(=O)c3ccc(CNN2CCCCCC2)cc3c4n5,1,0,0
16,CN5CCN(NCc4ccc3c(=O)c2c(c1ccccc1)nc(N)nc2c3c4)CC5,1,0,0
17,CCNC(=O)[C@H]4O[C@@H](n2cnc3c(N)nc(\C=C\CCCc1ccccc1)nc23)[C@H](O)[C@@H]4O,1,0,0
18,Nc4nc(c1ccco1)c3c(=O)c2ccccc2c3n4,1,0,0
19,Nc3nc(N/N=C/C1CCC=CC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,1,0,0
20,CN4CCC(Oc3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3)CC4,1,0,0
21,CCCn4c(=O)n(CCCNC(=O)c1ccc(S(F)(=O)=O)cc1)c3[nH]c(C2CCCCC2)nc3c4=O,1,0,0
22,Nc3nc(NCCc1ccc(O)cc1)cc4nc(c2ccco2)nn34,1,0,0
23,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CC(O)c1ccccc1)nc23)[C@H](O)[C@@H]4O,1,0,0
24,CN5CCN(C(=O)c4ccc3c(=O)c2c(c1ccccc1)nc(N)nc2c3c4)CC5,1,0,0
25,Nc4nc(c1cc[nH]n1)c3cnn(Cc2ccccc2F)c3n4,1,0,0
26,Nc4nc(c1ccco1)c3ncn(CCCc2ccccc2)c3n4,1,0,0
27,Nc5nc(c1ccccc1)c4c(=O)c3ccc(NCCN2CCOCC2)cc3c4n5,1,0,0
28,Nc3nc(N/N=C/C1=CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,1,0,0
29,Nc6nc(N4CCN3C[C@@H](CN(Cc1ccccn1)Cc2ccccn2)CC[C@H]3C4)nc7nc(c5ccco5)nn67,1,0,0
30,Nc4nc(c2cccc(c1ccccc1)c2)cc5nc(c3ccco3)nn45,1,0,0
31,Cc4cc(OCC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)cc(C)n4,1,0,0
32,Nc5nc(c1ccccc1)c4c(=O)c3ccc(CNCc2ccccn2)cc3c4n5,1,0,0
33,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CC1(O)CCCC1)nc23)[C@H](O)[C@@H]4O,1,0,0
34,Nc3nc(SCc1ncc[nH]1)c(C#N)c(c2cccc(O)c2)c3C#N,1,0,0
35,Nc4nc2nn(CCCc1ccccc1)cc2c5nc(c3ccco3)nn45,1,0,0
36,CN4CCN(CC(=O)Nc3cc(c1nccs1)nc(n2nc(C)cc2C)n3)CC4,1,0,0
37,COCCOc6ccc(N5CCN(CCn1cnc3c1nc(N)n4nc(c2cccc(F)c2)nc34)CC5)cc6,1,0,0
38,Cn4c(=O)n(C)c3cc(c2ccc(COC(=O)Nc1cccs1)cc2)[nH]c3c4=O,1,0,0
39,OC[C@H]4O[C@H](n2cnc3c(NC1CCCC1)ncnc23)[C@@H](O)[C@H]4O,1,0,0
40,CN4CCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2nccs2)n3)CC4,1,0,0
41,Cc3ccc(c2cc(C(=O)NCc1cscn1)nc(N)n2)o3,1,0,0
42,c5ccc(c4nc3c1[nH]cnc1nc(c2ccccc2)n3n4)cc5,1,0,0
43,Cc4nc(c2sc(NC(=O)Cc1ccccc1)nc2c3ccccc3)no4,1,0,0
44,Cc3nc2sc1CCCc1c2c(=O)n3CC#C,1,0,0
45,Fc4ccc(Cc3nc2sc1CCCCc1c2c(=O)n3CC#C)cc4,1,0,0
46,Nc5nc(N3CCN2C[C@@H](CNCc1ccc(F)cc1F)CC[C@H]2C3)nc6nc(c4ccco4)nn56,1,0,0
47,CCNC(=O)[C@H]6O[C@@H](n4cnc5c(NCC(c1ccccc1)c2ccccc2)nc(NCCc3c[nH]cn3)nc45)[C@H](O)[C@@H]6O,1,0,0
48,O=C(COc1cccc(C#N)c1)Nc4cc(c2nccs2)nc(c3ccccn3)n4,1,0,0
49,COCCOc6ccc(N5CCN(CCn1cnc3c1nc(N)n4nc(c2ccccn2)nc34)CC5)cc6,1,0,0
50,CCCn4c(=O)n(CCC)c3cc(c2ccc(COC(=O)Nc1ccon1)cc2)[nH]c3c4=O,1,0,0
51,Nc5nc(c3cccc(CN2CCC(c1ccccc1)CC2)c3)cc6nc(c4ccco4)nn56,1,0,0
52,CCCCn5cc3c(nc(NC(=O)Cc1ccsc1)n4nc(c2ccco2)nc34)n5,1,0,0
53,CCCn4c(=O)n(CCC)c3[nH]c(c2ccc(OCC(=O)NCCNC(=O)C(N)Cc1cccs1)cc2)nc3c4=O,1,0,0
54,Nc5nc(c1ccccc1)c4c(=O)c3ccc(CNN2CCCC2)cc3c4n5,1,0,0
55,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CNCCc1ccc(F)cc1)nc23)[C@H](O)[C@@H]4O,1,0,0
56,Cc4ccc(c2nc(NC(=O)C1CC1)ccc2c3ccncc3)o4,1,0,0
57,Nc4nc(c2cnn(Cc1ccccc1)c2)nc5n(C3O[C@H](CO)[C@@H](O)[C@H]3O)cnc45,1,0,0
58,CCc2nnc3c(N)nc1cc(Cl)c(Cl)cc1n23,1,0,0
59,O=C(c1ccccc1)c3sc(NCCc2cccs2)nc3c4ccco4,1,0,0
60,Nc5nc(N3CCN(Cc2cc1ccccc1nc2Cl)CC3)nc6nc(c4ccco4)nn56,1,0,0
61,Nc5nc(N3CCN2C[C@@H](COc1cccnc1)CC[C@H]2C3)nc6nc(c4ccco4)nn56,1,0,0
62,COc4ccc(CC(=O)Nc3cc(c1nccs1)nc(c2ccccn2)n3)cc4,1,0,0
63,CCCCNC(=O)c3cc(N)c2c(=O)c1ccccc1c(=O)c2c3N,1,0,0
64,Nc6nc4n(CCN3CCc2ncc(c1ccccc1)cc2C3)ncc4c7nc(c5ccco5)nn67,1,0,0
65,CCCn4c(=O)n(CCC)c3[nH]c(c2ccc(OCC(=O)NCc1ccccc1)cc2)nc3c4=O,1,0,0
66,CCCCn6cc4c(nc(NC(=O)Cc2ccc1ccccc1c2)n5nc(c3ccco3)nc45)n6,1,0,0
67,Nc3nc(C(=O)NCCc1ccc(O)cc1)cn4nc(c2ccco2)nc34,1,0,0
68,Nc4nc(c2cccc(N1CCC(=O)CC1)c2)cc5nc(c3ccco3)nn45,1,0,0
69,CN4CCN(CC(=O)Nc3cc(c1ccccn1)nc(c2cccs2)n3)CC4,1,0,0
70,CN(C)C[C@@H]4CCCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,1,0,0
71,Nc3nc1ccc(Cl)cc1n4c(c2ccccc2)nnc34,1,0,0
72,CCCn3c(=O)n(CCC)c2[nH]c(c1ccc(OCC(=O)NCCN(C)C)cc1)nc2c3=O,1,0,0
73,Nc4nc(c1ccco1)c3nnn(Cc2ccco2)c3n4,1,0,0
74,Cn3c(c1cccc(C#N)c1)nc4c(N)nc(C#CC2(O)CCCCC2)nc34,1,0,0
75,CC(=O)Nc3cc(n1cccn1)nc(c2ccco2)n3,1,0,0
76,CN4CCC(Oc3cc(F)cc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3)C4,1,0,0
77,COc6ccc(c5ccc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5)cc6,1,0,0
78,Nc4nc(c1ccco1)c3nnn(Cc2cccnc2)c3n4,1,0,0
