,can,active,decoy,other
0,Cc5cn(c4cc(NC(=O)c3ccc(C)c(Nc2nccc(c1cccnc1)n2)c3)cc(C(F)(F)F)c4)cn5,1,0,0
1,Cn4c(=O)c(c1c(Cl)cccc1Cl)cc5cnc(Nc3ccc(OC2OC(CO)C(O)C(O)C2O)cc3)nc45,1,0,0
2,COc6cc5[nH]nc(c4nc3cc(N2CCC(N1CCCCC1)CC2)ccc3[nH]4)c5cc6OCc7ccccc7,1,0,0
3,Cc5ccc(n1nc(C(C)(C)C)cc1NC(=O)Nc3ccc(OCCN2CCOCC2)c4ccccc34)cc5,1,0,0
4,Cc2ccc(NC(=O)N1CCCCC1)cc2Nc4nccc(c3cccnc3)n4,1,0,0
5,CC(C)(C)N2CN(c1ccc(Cl)cc1)C(N)=c3cnnc23,1,0,0
6,CN5CCC(c4nc(Nc1ccc(P(C)(C)=O)cc1)c3ncn(/C=C/c2c(C)cccc2C)c3n4)CC5,1,0,0
7,Cc2ccc(NC(=O)c1cccc(C(F)(F)F)c1)cc2C(=O)Nc3cncnc3,1,0,0
8,CN(C)[C@@H]5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(Nc2nccc(c1cncnc1)n2)c3)cc4C(F)(F)F)C5,1,0,0
9,Nc3ncnc4n(c1ccccc1)cc(c2ccccc2)c34,1,0,0
10,COc4cc(Nc2c(C#N)cnc3cc(c1coc(CN(C)C)c1)c(OC)cc23)c(Cl)cc4Cl,1,0,0
11,CN5CCN(Cc4ccc(NC(=O)c3ccc(C)c(C#Cc1cnc2ncccn12)c3)cc4C(F)(F)F)CC5,1,0,0
12,Clc3ccc(c2cnc(NC(=O)c1cccs1)s2)cc3,1,0,0
13,Cc1nc(N)sc1c3ccnc(Nc2cccc(N(=O)=O)c2)n3,1,0,0
14,COc5cc(Nc3c(C#N)cnc4cc2cc(OCCN1CCOCC1)c(OC)cc2cc34)c(Cl)cc5Cl,1,0,0
15,OCc3ccc(C(=O)N/N=C/c2cc(C(O)=O)c(Nc1ccc(I)cc1F)c(F)c2F)o3,1,0,0
16,COc4cc3nccc(Oc2ccc1c(C(N)=O)cccc1c2)c3cc4OC,1,0,0
17,COC(=O)CN4CCC(n2cc(c1cccc(O)c1)c3c(N)ncnc23)CC4,1,0,0
18,Cc5cc(c1cccc2[nH]ccc12)cc6nnc(Nc4ccc(S(=O)(=O)NCCN3CCCC3)cc4)nc56,1,0,0
19,COCCOc4cc3ncc(C#N)c(N[C@@H]1C[C@H]1c2ccccc2)c3cc4OC,1,0,0
20,Cc2ccc(C(=O)Nc1cccc(C(F)(F)F)c1)cc2C#Cc3cnc4cccnn34,1,0,0
21,CN5CCN(Cc4ccc(NC(=O)c3ccc(C)c(C#Cc1cnc2ccccn12)c3)cc4C(F)(F)F)CC5,1,0,0
22,O=C(NC1CC1)Nc2c[nH]nc2c5nc4cc(CN3CCOCC3)ccc4[nH]5,1,0,0
23,O=C(Nc2ccc(N1CCOCC1)cc2)\C=C\c5ccc(\C=c4/oc3ccccc3[nH]c4=O)s5,1,0,0
24,COc5cc(Nc3c(C#N)cnc4cc(c2coc(CN1CCN(C)CC1)c2)c(OC)cc34)c(Cl)cc5Cl,1,0,0
25,CP(C)(=O)c5ccc(Nc3ncnc4n(/C=C/c1cccc2[nH]ccc12)cnc34)cc5,1,0,0
26,C7CCN(C6CCN(c5ccc4[nH]c(c2[nH]nc3ccc(Oc1ccccc1)cc23)nc4c5)CC6)CC7,1,0,0
27,CN(Cc1ccccc1NC(=O)Nc4ccc(C)c(Nc3nccc(c2cccnc2)n3)c4)C5CCCCC5,1,0,0
28,CN(CCN1CCOCC1)S(=O)(=O)c5ccc(Nc4nnc3cc(c2cc(O)ccc2Cl)cc(C)c3n4)cc5,1,0,0
29,CC(C)(C)NC(=O)Nc6ccc5[nH]nc(c4nc3cc(N2CCC(N1CCCCC1)CC2)ccc3[nH]4)c5c6,1,0,0
30,CCn3cnc4c(Nc1ccc(P(O)(=O)CP(O)(O)=O)cc1)nc(C2CCC(N)CC2)nc34,1,0,0
31,CN5CCCN(Cc4ccc(NC(=O)c3ccc(C)c(C#Cc1cnc2ccccn12)c3)cc4C(F)(F)F)CC5,1,0,0
32,CCN4CCN(Cc3ccc(NC(=O)Nc2ccc(Oc1cc(NC)ncn1)cc2)cc3C(F)(F)F)CC4,1,0,0
33,C7CCN(C6CCN(c5ccc4[nH]c(c2n[nH]c3ccc(NCc1nccs1)cc23)nc4c5)CC6)CC7,1,0,0
34,CNC(=O)c4cc(Oc3ccc(NC(=O)Nc2ccc(CN1CCN(C)CC1)cc2)cc3)ccn4,1,0,0
35,c1n[nH]cc1c4cnc3ncc(c2cn[nH]c2)n3c4,1,0,0
36,Cc2ccc1[nH]ncc1c2\C=C\n4cnc5c(Nc3ccc(P(C)(C)=O)cc3)ncnc45,1,0,0
37,CNc5ncc4CN(c3cc(NC(=O)c2cc(n1cnc(C)c1)cc(C(F)(F)F)c2)ccc3C)C(=O)N(C)c4n5,1,0,0
38,CC(C)COC(=O)Nc5ccc(c4cnc3c(c2ccc(N1CCN(C)CC1)cc2)cnn3c4N)cc5,1,0,0
39,O=C(Nc6ccc5[nH]nc(c4nc3cc(N2CCC(N1CCCCC1)CC2)ccc3[nH]4)c5c6)c7ccco7,1,0,0
40,Cc4ccc(C(=O)Nc3cc(n2cnc(CN1CCCC1)c2)cc(C(F)(F)F)c3)cc4C#Cc5cnc6ccccn56,1,0,0
41,CN5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(Nc2nccc(c1cncnc1)n2)c3)cc4C(F)(F)F)CC5,1,0,0
42,Cc4cc(c1c(Cl)cccc1Cl)cc5nnc(Nc3ccc(OCCN2(=O)CCCC2)cc3)nc45,1,0,0
43,COc4cc(Nc2c(C#N)cnc3cc(OCCC1CCN(C)CC1)c(OC)cc23)c(Cl)cc4Cl,1,0,0
44,CCSc4nc(Nc1cccc(Cl)c1)c3cnn(CC(Cl)c2ccccc2)c3n4,1,0,0
45,CN5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(C#Cc1cnc2ccccn12)c3)cc4C(F)(F)F)CC5,1,0,0
46,CN4C(=O)N(c2cc(NC(=O)c1cccc(C(F)(F)F)c1)ccc2C)Cc5cnc(Nc3ccc(C)nc3)nc45,1,0,0
47,Nc2nc(Nc1ccc(S(N)(=O)=O)cc1)nn2C(=O)c3c(F)cccc3F,1,0,0
