,can,active,decoy,other
0,Cn4cc(C(=O)NCCCCCCCNc2c1CCCCc1nc3cc(Cl)ccc23)c5ccccc45,1,0,0
1,COc4cc(CCC(=O)NCC(=O)NNc2c1CCCCc1nc3ccccc23)cc(OC)c4OC,1,0,0
2,C(CCCCc2c1CCCCc1nc3ccccc23)CCCNc5c4CCCCc4nc6ccccc56,1,0,0
3,COc4cc3occ(c2ccc(N1CCCCC1)cc2)c(=O)c3cc4OC,1,0,0
4,COc4ccc5CN(CCCCOc2cccc(C(C)N1CCOCC1)c2)CC[C@@]36C=C[C@H](O)C[C@@H]3Oc4c56,1,0,0
5,O=C5Cc4cc3c(CCC2CCN(Cc1ccccc1)CC2)noc3cc4N5,1,0,0
6,CN5CCC=C(c1nsnc1OCCCOCC(=O)NCCCNc3c2CCCCc2nc4ccccc34)C5,1,0,0
7,C/N=C1/CCc2c1n(C)c3ccc(OC(=O)N(C)C)c(Br)c23,1,0,0
8,CCN(CCCCC2Cc1cc(OC)c(OC)cc1C2=O)Cc3ccccc3OC,1,0,0
9,Clc6ccc5C(NCCCCCCCC/N=c2\n1CCCc1nc3cc(Cl)ccc23)N4CCCC4=Nc5c6,1,0,0
10,CN3CCc4cc(C(=O)CCC2CCN(Cc1ccccc1)CC2)ccc34,1,0,0
11,CN5CCC=C(c1nsnc1OCCCOCCCC(=O)NCCCNc3c2CCCCc2nc4ccccc34)C5,1,0,0
12,CC[N+](C)(CC)CCCC(=O)Nc1ccc2c(c1)c(=O)c4cccc3ccnc2c34,1,0,0
13,COCC[N+]3(C)CCC(CCC(=O)c2cc1cc(OC)c(OC)cc1s2)CC3,1,0,0
14,C(CCCNc2c1CCCc1nc3ccccc23)CCCNc5c4CCCc4nc6ccccc56,1,0,0
15,C(CCC/N=c2\n1CCCCCc1nc3ccccc23)CCC/N=c5/n4CCCCCc4nc6ccccc56,1,0,0
16,O=c2[nH]c1ccccc1c(=O)n2CCC4CCN(Cc3ccccc3)CC4,1,0,0
17,Clc5ccc4c(NCCCCCCNC(=O)CCCc1c[nH]c2ccccc12)c3CCCCc3nc4c5,1,0,0
18,CN5CCC=C(c1nsnc1OCCCCNCCCCCNc3c2CCCCc2nc4ccccc34)C5,1,0,0
19,CN(C)C(=O)Oc3ccc2[C@@H](CCOc1ccc(N(=O)=O)cc1)N(C)CC=Cc2c3,1,0,0
20,COc4ccc5CN(CCCCOc2ccc(CN1CCCCC1)cc2)CC[C@@]36C=C[C@H](O)C[C@@H]3Oc4c56,1,0,0
21,CCN(CC)CCC(=O)Nc5ccc4nc3c2[nH]c1ccccc1c2CCn3c(=O)c4c5,1,0,0
22,N#CC(C#N)=C1NCCN1CCNCc3ccc(CN2CCCCC2)o3,1,0,0
23,COc4cc3cc(C(=O)CCc2cc[n+](Cc1ccc(F)cc1)cc2)sc3cc4OC,1,0,0
24,COc6cc5CC(CC4CCN(CCNc2c1CCCCc1nc3cc(Cl)ccc23)CC4)Cc5cc6OC,1,0,0
25,C(CCCCCC[n+]1ccc3c(c1)[nH]c2ccccc23)CCCCC[n+]4ccc6c(c4)[nH]c5ccccc56,1,0,0
26,CNC(=O)Oc5cccc(CN(C)CCCCCCCOc4ccc3c(=O)c(=C/c1cccc2ccccc12)/oc3c4)c5,1,0,0
27,O=S(=O)(Nc4ccc3c(CCC2CCN(Cc1ccccc1)CC2)noc3c4)c5ccccc5,1,0,0
28,CC1=CC2CC(C1)c4c(C2)nc3cc(Cl)ccc3c4NCCCCCCNc6c5CCCCc5nc7ccccc67,1,0,0
29,COc4ccc3c(=O)c(=C/c2cc[n+](Cc1ccccc1F)cc2)/oc3c4,1,0,0
30,CNC(=O)Oc5cccc(CN(C)CCCOc4ccc3c(=O)c(=C/c1cccc2ccccc12)/oc3c4)c5,1,0,0
31,O=C(NC(=S)NCCC2CCN(Cc1ccccc1)CC2)c3cccc(N(=O)=O)c3,1,0,0
32,COc4cc(C(=O)NNc2c1CCCCc1nc3ccccc23)cc(OC)c4OC,1,0,0
33,Clc6cc(Cl)c5c(NCCCCCCCSc2c1CCCCc1nc3ccccc23)c4CCCCc4nc5c6,1,0,0
34,O=C3N(CCC2CCN(Cc1ccccc1)CC2)Cc4ccccc34,1,0,0
35,COc4cc(C(=O)NCCCC(=O)NNc2c1CCCCc1nc3ccccc23)cc(OC)c4OC,1,0,0
36,C/C=C2\[C@@H]3Cc1[nH]c(=O)ccc1[C@@]2(N)CC(C)=C3,1,0,0
37,C(CCCCNc1ccncc1)CCCCNc3c2CCCCc2nc4ccccc34,1,0,0
38,CN(CCOCCNC(=S)NC(=O)c3ccc2c(=O)c1ccccc1c2c3)Cc4ccccc4,1,0,0
