,can,active,decoy,other
0,Cn4cc(c2ccc1C(=N\O)\NCCc1c2)c(c3ccncc3)n4,1,0,0
1,CN(C)CCOc5ccc(c4nc(c2ccc1C(=N\O)\CCc1c2)c(c3ccncc3)[nH]4)cc5,1,0,0
2,O/N=C/c4ccc(c2[nH]c(c1ccccc1)nc2c3ccncc3)cc4,1,0,0
3,Cn4cc(c2ccc1C(=N\O)\CCc1c2)c(c3ccncc3)n4,1,0,0
4,CNc4nccc(CNc1ccccc1C(=O)Nc3ccc2OC(F)(F)Oc2c3)n4,1,0,0
5,FC(F)(F)c6cccc(C(=O)Nc5cccc(c3ccnc4c(c2coc(CN1CCCC1)c2)cnn34)c5)c6,1,0,0
6,O/N=C4\CCc5cc(c2nc(CN1CCOCC1)[nH]c2c3ccncc3)ccc45,1,0,0
7,O/N=C4\CCc5cc(c2cn(CC1CCCNC1)nc2c3ccncc3)ccc45,1,0,0
8,FC5(F)Oc4ccc(NC(=O)c1ccccc1NCc3ccnc(C2=NCCN2)c3)cc4O5,1,0,0
9,FC(F)(F)c6cccc(C(=O)Nc5cccc(c3ccnc4cc(c2ccnc(NCCCN1CCCC1=O)c2)nn34)c5)c6,1,0,0
10,CCOC(=O)N1C7CCC1CC(c5ccnc6c(c3ccc2cc[nH]c2c3)c(c4ccncc4)nn56)C7,1,0,0
11,FC(F)(F)c6cccc(C(=O)Nc5cccc(c3ccnc4cc(c2ccnc(NCCN1CCOCC1)c2)nn34)c5)c6,1,0,0
12,Cc2ccc(C(=O)Nc1cccc(C(F)(F)F)c1)cc2Nc3ncccc3c4ccncn4,1,0,0
13,Cc2ccc(NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)cc2Nc4nccc(c3cccnc3)n4,1,0,0
14,CC(C)(C)c3cc(NC(=O)Nc2ccc(Cc1ccncc1)cc2)no3,1,0,0
15,CN(C)CCOc4cc(c1ccncc1)c(c3ccc2C(=N\O)\CCc2c3)o4,1,0,0
16,Fc4c(F)c(NC(=O)c1cccc(OC(F)(F)F)c1)cc(Oc2cccc3[nH]c(=O)[nH]c23)c4F,1,0,0
17,CC(C)(C)c3cc(NC(=O)Nc2ccc(Oc1ccncc1)cc2)no3,1,0,0
18,Cn1cncc1c5cc4nccc(c3cccc(NC(=O)c2cccc(C(F)(F)F)c2)c3)n4n5,1,0,0
19,Cc3c(Cc1ccccc1)c(=O)oc4cc(OC(=O)C2CC2)ccc34,1,0,0
20,O/N=C4\CCc5cc(c2cn([C@H]1CCC[C@@H]1O)nc2c3ccncc3)ccc45,1,0,0
21,CC(=O)Nc4cccc(c3cncc(Nc2ccc1OCOc1c2)n3)c4,1,0,0
22,CN(c2ccc1c(C)n(C)nc1c2)c4ccnc(Nc3ccc(C)c(S(N)(=O)=O)c3)n4,1,0,0
23,CN(C)CCNc5ccc(c3cnn4c(c2cccc(NC(=O)c1cccc(C(F)(F)F)c1)c2)ccnc34)cn5,1,0,0
24,FC4(F)Oc3ccc(NC(=O)c1ccccc1NCc2ccncc2)cc3OC4(F)F,1,0,0
25,Oc4cc(c2[nH]c(c1ccccc1)nc2c3ccncn3)ccc4Cl,1,0,0
26,CCn5cc(c1ccnc2[nH]ccc12)c(c4cccc(NC(=O)NCc3ccccc3)c4)n5,1,0,0
27,CN5C6Cc4cnc3c(c1ccc(Cl)c(O)c1)c(c2ccncc2)nn3c4C5CC6CO,1,0,0
28,CC(C)(C)c3cc(NC(=O)Nc2ccc(Oc1ccncc1)cc2)on3,1,0,0
29,FC(F)(F)c5cc(NC(=O)Nc4cccc(c2ccnc3c(C(=O)NCCN1CCOCC1)cnn23)c4)ccc5Cl,1,0,0
30,CCn5cc(c1ccnc2[nH]ccc12)c(c4cccc(NC(=S)Nc3ccccc3)c4)n5,1,0,0
31,O/N=C4\CCc5cc(c2cn(C1CCNCC1)nc2c3ccncc3)ccc45,1,0,0
32,CN(C)Cc5ccc(c3cnn4c(c2cccc(NC(=O)c1cccc(C(F)(F)F)c1)c2)ccnc34)cc5,1,0,0
33,Cn4cc(c2ccc1cn[nH]c1c2)c(c3ccncc3)n4,1,0,0
34,CNc5ncc4cc(c2c(C)ccc3c(Nc1cc(C(C)(C)C)nn1C)nccc23)ccc4n5,1,0,0
35,CN5C6Cc4cnc3c(c1ccc(Cl)c(O)c1)c(c2ccncc2)nn3c4C5CC6S(=O)(=O)c7ccccc7,1,0,0
36,FC(F)(F)c5cccc(NC(=O)Nc4cccc(c2ccnc3cc(c1ccncc1)nn23)c4)c5,1,0,0
37,CNC(=O)Nc4ccc(CNc3c(C(=O)Nc2ccc1OC(F)(F)C(F)(F)Oc1c2)cnn3C)cn4,1,0,0
