,can,active,decoy,other
0,COc3cc2ncnc(N(C)c1cccc(C)c1)c2cc3OC,1,0,0
1,O=C(Nc2ccc(c1ccncc1)cc2C3=CCCCC3)c4nc(C#N)c[nH]4,1,0,0
2,CN5CCN(c4ccc(Nc3ncc2c(=O)c(C(N)=O)cn(C1CCCCC1)c2n3)cc4)CC5,1,0,0
3,O=C(Nc2ccc(C1CCNCC1)cc2C3=CCCC3)c4ncc(C#N)[nH]4,1,0,0
4,CN6CCN(Cc5ccc(Nc4ncc3c(=O)c(C(N)=O)cn(c2ccc1CCCc1c2)c3n4)cc5)CC6,1,0,0
5,CONC(=O)c5cn(C1CCC(C)(C)CC1)c4nc(Nc3ccc(C2CCN(C)CC2)cc3)ncc4c5=O,1,0,0
6,CN(c1cccc(C)c1)c2[nH]cnc3nncc23,1,0,0
7,Cc2ccc(C(=O)NC1CC1)cc2c4ccc3ccncc3c4,1,0,0
8,CN5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(c2ccc(c1nnc(C)o1)cc2C)c3)cc4)CC5,1,0,0
9,CN4C(=O)CC(c3ccc(NC(=O)c1nc(C#N)c[nH]1)c(C2=CCCCC2)c3)CC4=O,1,0,0
10,CN5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(c2ccc1c(N)noc1c2)c3)cc4)CC5,1,0,0
11,NC(=O)c4cnc3cc(c2ccc(C(=O)C1CC1)cc2)ccc3c4Nc5ccccc5,1,0,0
12,CC4CCN(c2nc(N1CCN(C)CC1)ccc2NC(=O)c3ccc(C#N)o3)CC4,1,0,0
13,COc4ccc(COc3ncc(Oc2nc(c1cnn(C)c1)cnc2N)cc3OC)cc4,1,0,0
14,C[C@H](Nc1cncc(Cl)n1)c3cccc(NC(=O)c2cccc(C)c2)c3,1,0,0
15,CC(C)(C)c3cc(NC(=O)Nc2ccc(NC(=O)c1ncccc1O)cc2)no3,1,0,0
16,CN(c4cccc(C(=O)Nc3ccc(C)c(NC(=O)c2ccc1ncccc1c2)c3)c4)S(C)(=O)=O,1,0,0
17,O=C(Nc3cccc(c1cncc2ccccc12)c3)c4ccccc4NCc5ccncc5,1,0,0
18,CN5CCN(c4ccc(Nc3ncc(NC(=O)c2cc(NC(=O)c1cccc(C(F)(F)F)c1)ccc2C)cn3)cc4)CC5,1,0,0
19,CN5CCN(c4ccc(Nc3ncc2c(=O)c(C(N)=O)cn(C1CCCC1)c2n3)cc4)CC5,1,0,0
20,CCOc3cc2ncc(C(N)=O)c(Nc1cccc(Cl)c1Cl)c2cc3NCCN4CCCCC4,1,0,0
21,NC(=O)c3cnc2cc(c1ccncc1)ccc2c3Nc4ccccc4,1,0,0
22,NC(=O)c3cnc2cc(c1ccncc1)ccc2c3Nc4cccc5[nH]ncc45,1,0,0
23,Cc2ccc(C(=O)Nc1cccc(C(F)(F)F)c1)cc2NC(=O)c3cccnc3,1,0,0
24,O=C(Nc2cc(N1CCCCC1)ccc2N3CCCCC3)c4ccc(C#N)o4,1,0,0
25,CN5CCN(c4ccc3nc(c2c(N)c1c(F)cccc1[nH]c2=O)[nH]c3c4)CC5,1,0,0
26,Cn4c(Nc1ccc(C(F)(F)F)cc1)nc5cc(Oc3ccnc(c2ncc(C(F)(F)F)[nH]2)c3)ccc45,1,0,0
27,OC[C@H]1CCCN1CCCOc5ccc4c(Nc3cnn(CC(=O)Nc2cccc(F)c2F)c3)nncc4c5,1,0,0
28,COc3cc2ncc(C(N)=O)c(Nc1cccc(Cl)c1Cl)c2cc3NCCN(C)C,1,0,0
29,COc3cc2ncc(C(N)=O)c(Nc1ccc(F)cc1F)c2cc3NCCN4CCOCC4,1,0,0
30,NC(=O)c3cnc2cc(c1ccncc1)ccc2c3Nc4n[nH]c5ccccc45,1,0,0
31,C[C@H](Nc1cncc(Cl)n1)c3cccc(NC(=O)c2ccnc(C)c2)c3,1,0,0
32,COc4ccc(COc3cnc(COc2nc(c1cnn(C)c1)cnc2N)cc3OC)cc4,1,0,0
33,Cc5nnc(c4ccc(c3cc(C(=O)Nc2cccc(N1CCOCC1)c2)ccc3C)c(C)c4)o5,1,0,0
34,CC4(C)CNc3cc(NC(=O)c1cccnc1NCc2ccncc2)ccc34,1,0,0
35,Clc4ccc(Nc2nnc(Cc1ccncc1)c3ccccc23)cc4,1,0,0
36,CCN6CCCC(O)(c5cccc(Nc4ncc3c(=O)c(C(=O)NOC)cn(c2cnc1CCCc1c2)c3n4)c5)C6,1,0,0
37,NC(=O)c4cnc3cc(c2ccc(C(=O)N1CCOCC1)cc2)ccc3c4Nc5ccccc5,1,0,0
38,Nc3ncc(c1cccnc1)c4scc(c2ccc(F)c(Cl)c2)c34,1,0,0
39,CN6CCN(c5ccc(Nc4cc3n(c2ccc1CCCc1c2)cc(C(N)=O)c(=O)c3cn4)cc5)CC6,1,0,0
40,COc3cc2c(Nc1ccc(F)c(Cl)c1)c(C(N)=O)cnc2cc3OCCCN4CCN(C)CC4,1,0,0
41,CN4CCN(c3ccc(NC(=O)c1ccc(C#N)o1)c(C2=CCCCC2)c3)CC4,1,0,0
42,COc3ccc(c2ccc(NC(=O)Nc1cc(C)ccc1F)cc2)c4c(N)noc34,1,0,0
43,CN4CCN(C(=O)N(C)c3ccc(NC(=O)c1ccc(C#N)o1)c(N2CCCCC2)c3)CC4,1,0,0
44,CN5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(c2ccc(c1csc(N)n1)cc2)c3)cc4)CC5,1,0,0
45,CN5CCN(c4ccc(Nc3ncc2c(=O)c(C(N)=O)cn(c1ccccc1)c2n3)cc4)CC5,1,0,0
46,CN(c2ccc1c(C)n(C)nc1c2)c4ccnc(Nc3ccc(C)c(S(N)(=O)=O)c3)n4,1,0,0
47,O=C(Nc1ccccc1N2CCCCC2)c3cc(C#N)c[nH]3,1,0,0
48,CN4CC(c3ccc(NC(=O)c1nc(C#N)c[nH]1)c(C2=CCC(C)(C)CC2)c3)CN(C)C4=NC#N,1,0,0
49,COc3cc2c(Nc1ccc(F)cc1F)c(C(N)=O)cnc2cc3N4CCN(C)CC4,1,0,0
50,CC3CCN(c1cc(/C=C/C(O)=O)ccc1NC(=O)c2ccc(C#N)o2)CC3,1,0,0
51,Cc4cc(c3c(C1CCCCC1)c2cc(Cl)ccc2[nH]c3=O)on4,1,0,0
52,CN[C@@H]1CC5O[C@@](C)([C@@H]1OC)n7c2ccccc2c8c3CNC(=O)c3c6c4ccccc4n5c6c78,1,0,0
53,CC4CCN(c2cc(C#CCN1CCOCC1)ccc2NC(=O)c3ccc(C#N)o3)CC4,1,0,0
54,CC(C)(C)c4cc(NC(=O)Nc3ccc(NC(=O)c2cc1ccccc1cn2)cc3)no4,1,0,0
55,O=C(Nc2ccc(N1CCS(=O)(=O)CC1)cc2N3CCCCC3)c4ccc(C#N)o4,1,0,0
56,FC(F)(F)c4cccc(C(=O)Nc3ccc(Cl)c(C(=O)Nc2cnc(C1CC1)s2)c3)c4,1,0,0
57,Cc4nc(Nc2ncc(C(=O)Nc1c(C)cccc1Cl)s2)cc(N3CCN(CCO)CC3)n4,1,0,0
58,O=C(Nc2ccc(c1ccn(=O)cc1)cc2C3=CCCCC3)c4nc(C#N)c[nH]4,1,0,0
59,NC(=O)c4cnc3cc(c2ccc(C(=O)C1CCCC1)cc2)ccc3c4Nc5ccccc5,1,0,0
