,can,active,decoy,other
0,Clc4cccc(N3CCN(CCCCNC(=O)c2cccc(C#Cc1ccccc1)c2)CC3)c4Cl,1,0,0
1,CCCN(CCC)C1CCC(C#C[Si](C)(C)C)=CC1,1,0,0
2,CCCN(CCN3CCN(c2ccc1ccccc1c2)CC3)C5CCc4ccc(O)cc4C5,1,0,0
3,Cc2[nH]c1ccccc1c2CN4CCC(O)(c3ccc(Cl)cc3)CC4,1,0,0
4,CC(C)(C)c4nc(N3CCN(CCCCn2ccc(C1CCC1)nc2=O)CC3)cc(C(F)(F)F)n4,1,0,0
5,CCCN(CCC)[C@H]3CCc2nn1ccccc1c2C3,1,0,0
6,CCN1CC[C@@H]3[C@@H](C1)c2cc(F)ccc2N3c4ccc(F)cc4,1,0,0
7,COc3c(C(=O)NCCN2CCN(c1cccc(Cl)c1Cl)CC2)cc(Br)c4ccccc34,1,0,0
8,C2CC(Nc1ncccn1)CCC2CCN4CCN(c3ccccn3)CC4,1,0,0
9,COc3c(C(=O)NC[C@H]1CCCN1Cc2ccccc2)cc(Br)c4ccccc34,1,0,0
10,CCCN(CCCCNC(=O)c2ccc1ccccc1c2)[C@H]4CCc3nc(N)sc3C4,1,0,0
11,OC(CNC(=O)c2cc1ccccc1o2)N4CCN(c3cccc(Cl)c3Cl)CC4,1,0,0
12,Oc4ccc(C3=CCC[C@@H](CN2CCC(c1ccccc1)=CC2)C3)cc4,1,0,0
13,CSc1ccccc1N4CCN(CCCNC(=O)c2cnn3ccccc23)CC4,1,0,0
14,Cc3ccc(CC2(O)CCN(CCCC(=O)c1ccc(F)cc1)CC2)cc3,1,0,0
15,CCCN(CCN3CCN(c1cccc2ncccc12)CC3)[C@H]5CCc4nc(N)sc4C5,1,0,0
16,Cc6ccc5c(c4nnc(SCCCN3CCc2ccc1oc(C(F)(F)F)nc1c2CC3)n4C)cccc5n6,1,0,0
17,CCN2CCN(C)CC(NC(=O)c1cc(Br)c(NC)nc1OC)C2,1,0,0
18,COc1ccccc1N4CCN(CCCCNc3ccc2ccccc2n3)CC4,1,0,0
19,COc1ccccc1N3CCN(CCCCNC(=O)\C=C\c2ccsc2)CC3,1,0,0
20,Fc5ccc(N3C2CN(CCCCCCN1C(=O)CNC1=O)CCC2c4cc(F)ccc34)cc5,1,0,0
21,Clc5cccc(N4CCN(CCCNC(=O)C2c1ccccc1c3ccccc23)CC4)c5Cl,1,0,0
22,COc6ccc5N4CCN(CCC3CCC(NC(=O)c1ccnc2ccccc12)CC3)CC4CCc5c6,1,0,0
23,CN4CCN(c2cn1cccc1sc3ccc(Br)cc23)CC4,1,0,0
24,CCCN(CCC)C3CCc2ccc1NC(=O)Cc1c2C3,1,0,0
25,CCCN(CCC)C3CCc2cc1CCOc1cc2C3,1,0,0
26,CN4CCN(c2nc1ccccc1oc3ccc(Cl)cc23)CC4,1,0,0
27,Clc5ccc(C(N3CCN(CCCCn2c(=O)c1ccccc1c2=O)CC3)c4ccccc4)cc5,1,0,0
28,Fc5ccc(C(=O)CCCN1CCc3c(C1)c2cc(F)ccc2n3c4ccc(F)cc4)cc5,1,0,0
29,Clc5cccc(N4CCN(CCN1C[C@@H]3CC[C@H]1Cc2ccccc2C3)C4=O)c5,1,0,0
30,CN4CCCN(c2cn1cccc1sc3ccc(Cl)cc23)CC4,1,0,0
31,FC(F)(F)S(=O)(=O)Oc3cccc([C@@H]2CCCN(CCc1ccccc1)C2)c3,1,0,0
32,Clc6cccc(N5CCN(CCC4CCC(NC(=O)C23CC1CC(CC(C1)C2)C3)CC4)CC5)c6Cl,1,0,0
33,C3CN(c1ccccc1)[C@@H]2Cc4c[nH]c5cccc(C2O3)c45,1,0,0
34,COc1ccccc1N4CCN(CCCCNC(=O)c3ccc(c2cccc([18F])n2)cc3)CC4,1,0,0
35,FC(F)(F)c4cccc(N3CCN(CCCCN2Cc1ccccc1C2=O)CC3)c4,1,0,0
36,Fc5ccc(n3c2CCN(CCCCCCNC(=O)c1ccccc1)Cc2c4cc(F)ccc34)cc5,1,0,0
37,Cc1ccoc1c5nnc(SCCCN4C[C@@H]2C[C@]2(c3ccc(C(F)(F)F)cc3)C4)n5C,1,0,0
38,COc3cccc(C(=O)NCCCCN2CCN(c1cccc(C)c1C)CC2)c3,1,0,0
39,OC3(c1ccc(Cl)cc1)CCN(CCCC(=O)c2ccc(F)cc2)CC3,1,0,0
40,COc3c(C(=O)N[C@H]2CCN(C1CCCCC1)C2)cc(Br)c4ccccc34,1,0,0
41,C(COc3ccc(c2nc1ccccc1[nH]2)cc3)CN5CCN(c4ncccn4)CC5,1,0,0
42,CCCN(CCN2CCN(c1ccccc1)CC2)C5CCc4ccc3NC(=O)Cc3c4C5,1,0,0
43,COc2cc(NC(=O)C1CC1)c(Cl)cc2C(=O)N[C@H]4CCN(C3CCCCCC3)C4,1,0,0
44,COc1ccccc1N5CCN(CCCCOc4ccc(c3cn2ccccc2n3)cc4)CC5,1,0,0
45,C2CC(\C=C\c1ccccc1)=CCN2CCc4cc3ccc[nH]c3n4,1,0,0
46,CCCN(CCCc1ccccc1)C3Cc2cc(OC)c(OC)cc2C3,1,0,0
47,COc1ccccc1N4CCN(CCCCN3CCCc2ccccc2C3=O)CC4,1,0,0
48,FC(F)(F)c5cc(C#N)cc(N4CCN(CCC3CCC(NS(=O)(=O)c2ccc1NC(=O)CCc1c2)CC3)CC4)c5,1,0,0
49,CCCN(CCN3CCN(C(=O)c2cc1ccccc1[nH]2)CC3)C5CCc4c(O)cccc4C5,1,0,0
50,OC2(c1ccc(Cl)cc1)CC3CCC(C2)N3Cc4coc6c4ccc5ccccc56,1,0,0
51,CCCN(CCC)C2CCc1ccsc1C2,1,0,0
52,Clc5ccc4n(C3CCN(CCCn1c(=O)[nH]c2ccccc12)CC3)c(=O)[nH]c4c5,1,0,0
53,COc1ccccc1N4CCN(CCCCNC(=O)\C=C\c3cccc(Oc2ccccc2)c3)CC4,1,0,0
54,CCCN(CCN3CCN(c2ccc(c1ccccc1)cc2)CC3)C5CCc4nc(N)sc4C5,1,0,0
55,Clc2cc1NC(=O)Cc1cc2CCN5CCN(c3nsc4ccccc34)CC5,1,0,0
56,Clc4cccc(N3CCN(CCCCn2c(=O)c1ccccc1c2=O)CC3)c4Cl,1,0,0
57,COc4cccc(C(=O)NCCCCN3CCN(c1cccc2ccccc12)CC3)c4,1,0,0
58,CCCN(CCC)C2Cc1ccc(O)cc1C2,1,0,0
59,Clc5cccc(N4CCN(CCCCNC(=O)C2c1ccccc1c3ccccc23)CC4)c5Cl,1,0,0
60,Oc4cccc5[C@@H]3CCCN(CCCCNC(=O)c2ccc(c1ccccc1)cc2)[C@H]3CCc45,1,0,0
61,Fc5ccc(N3C2CN(CCN1C(=O)CNC1=O)CCC2c4cc(F)ccc34)cc5,1,0,0
62,Cc5nc(C)c(c4nnc(SCCCN3C[C@@H]1C[C@]1(c2ccc(C(F)(F)F)cc2)C3)n4C)s5,1,0,0
63,C2CC(Nc1ncccn1)CCC2CCN4CCC(c3ccccc3)=CC4,1,0,0
64,CCc4cc3c(N1CCN(C)CC1)nc2cc(F)ccc2[nH]c3s4,1,0,0
65,CN5CN(c1ccccc1)C4(CCN(Cc2coc3ccccc23)CC4)C5=O,1,0,0
