,can,active,decoy,other
0,Cc4c(CNC2c1ccccc1c3ccccc23)cnc5nc(N)nc(N)c45,1,0,0
1,COc3ccc(Sc2ccc1nc(N)nc(N)c1n2)cc3OC,1,0,0
2,CC1(C)N=C(N)N=C(N)N1c5cccc(OCC34CC2CC(CC(C2)C3)C4)c5,1,0,0
3,CN(Cc1coc2nc(N)nc(N)c12)c3ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc3,1,0,0
4,Cc3c(CNC1CCCc2ccccc12)cnc4nc(N)nc(N)c34,1,0,0
5,Nc5nc(N)c4nc(Cn2c1ccccc1ccc3cc(OCCCC(O)=O)ccc23)cnc4n5,1,0,0
6,CN(CC2CCc1nc(N)nc(N)c1C2)c3ccc(Cl)c(Cl)c3,1,0,0
7,Cc3c(CCc1cccc2ccccc12)cnc4nc(N)nc(N)c34,1,0,0
8,COc2ccc(CC1CN=C(N)N=C1N)cc2OCc3ccccc3,1,0,0
9,COc4ccc3C(c1cccc(N(=O)=O)c1)CN(Cc2cnc(N)nc2N)Cc3c4,1,0,0
10,Nc3ncc(Cc2ccc1OCOc1c2)c(N)n3,1,0,0
11,Nc4nc(N)c3nc(CNc2ccc(C(=O)NC(CCCNC(=O)c1ccccc1C(O)=O)C(O)=O)cc2)ccc3n4,1,0,0
12,COc2cc(c1ccccc1)ccc2NCc4cnc3nc(N)nc(N)c3c4C,1,0,0
13,COc2ccc(CCCOc1cccc(C(O)=O)c1)cc2Cc3cnc(N)nc3N,1,0,0
14,Nc4nc(N)c3nc(CNc2ccc(C(=O)NC(CCCCNC(=O)c1ccccc1C(O)=O)C(O)=O)cc2)cnc3n4,1,0,0
15,CN(Cc1ccc(C(=O)NC(=O)[C@H](N)CCC(O)=O)cc1)c3cnc2nc(N)nc(N)c2c3,1,0,0
16,C[C@](CCC(O)=O)(NC(=O)c3ccc(CCC2CNc1nc(N)nc(N)c1C2)cc3)C(O)=O,1,0,0
17,CN(Cc2cnc1nc(N)nc(N)c1n2)c4ccc(C(=O)NC(CCC(=O)NCc3ccccc3)C(O)=O)cc4,1,0,0
18,Nc3nc(N)c2C(CCCc1ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc1)CCc2n3,1,0,0
19,CCc1nc(N)nc(N)c1c4ccc(NCc3ccc(C2OCCO2)cc3)c(N(=O)=O)c4,1,0,0
20,CSc3nc2ccc(NC/C=C/c1ccccc1)cc2c(=O)n3Cc4ccccc4,1,0,0
21,Nc3nc(N)c2nc(COc1ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc1)cnc2n3,1,0,0
22,CN(c2ccc1ccccc1c2)c4ccc3nc(N)nc(N)c3n4,1,0,0
23,Nc3ncc(Cc2ccc(c1ccccc1)cc2)c(N)n3,1,0,0
24,CC2N(Cc1cnc(N)nc1N)CCn4c2cc(Cc3ccccc3)c4c5ccccc5,1,0,0
25,COc4cc(Cc1cnc(N)nc1N)c3C=CC(C2CC2)Oc3c4OC,1,0,0
26,CN(Cc2cnc1nc(N)nc(N)c1n2)c4ccc(C(=O)NC(CNC(=O)c3ccc(Cl)cc3)C(O)=O)cc4,1,0,0
27,CC1(C)N=C(N)N=C(N)N1c3ccc(SCc2ccccc2)cc3,1,0,0
28,Cc2c(CNc1ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc1)cnc3nc(N)nc(N)c23,1,0,0
29,Nc4cc(N)c3cc(CCc2ccc(C(=O)NC(CCCNC(=O)c1ccccc1C(O)=O)C(O)=O)cc2)ccc3c4,1,0,0
30,Nc6nc(N)c5nc(Cn3c1ccccc1ccc4cc(OCc2ccc(C(O)=O)cc2)ccc34)cnc5n6,1,0,0
31,CN(Cc2cnc1nc(N)nc(N)c1n2)c3ccc(C(=O)N[C@@H](CCC(O)=O)C(O)=O)cc3,1,0,0
32,CSc3c2CN(Cc1cnc(N)nc1N)CCn2c4cc(Cl)ccc34,1,0,0
33,COc2ccc(C#Cc1cccc(C(O)=O)c1)cc2Cc3cnc(N)nc3N,1,0,0
34,Nc3nc(O)c2NC(CNc1ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc1)CCc2n3,1,0,0
35,COc3ccc(OC)c(Cc2sc1nc(N)nc(N)c1c2C)c3,1,0,0
36,Nc5nc(N)c4nc(Cn2c1ccccc1c3ccccc23)cnc4n5,1,0,0
37,COc4cc(Nc2nc1cc(N)cc(N)c1nc2c3ccccc3)cc(OC)c4OC,1,0,0
38,C[C@](CCC(O)=O)(NC(=O)c3ccc(CCC2CNc1nc(N)nc(N)c1C2)o3)C(O)=O,1,0,0
39,Nc5nc(N)c4nc(CN2c1ccccc1CCc3ccccc23)cnc4n5,1,0,0
40,CCc2[nH]c1nc(N)nc(O)c1c2Sc3ccc(C(=O)N[C@@H](CCC(O)=O)C(O)=O)cc3,1,0,0
41,Nc3nc(N)c2c(CCc1ccccc1)cccc2n3,1,0,0
42,Cc2c(C)c(n1cccc1)c(C)c(C)c2NCc4cnc3nc(N)nc(N)c3c4C,1,0,0
43,NC3=NC(c1ccccc1)N(c2ccc(Cl)c(Cl)c2)C(N)=N3,1,0,0
44,Cc1nc(N)nc(N)c1NC(=O)C34CC2CC(CC(C2)C3)C4,1,0,0
45,CCc1nc(N)nc(N)c1c4ccc(NCc3ccc(C(=O)N2CCCCC2)cc3)c(N(=O)=O)c4,1,0,0
46,CCN(Cc2ccc1ccccc1c2)c4ccc3nc(N)nc(N)c3c4,1,0,0
47,Nc3nc(N)c2CC(Cc1cccs1)CCc2n3,1,0,0
48,COc2ccc(C#CCOc1ccccc1C(O)=O)cc2Cc3cnc(N)nc3N,1,0,0
49,CC(=O)Nc3cccc(OCc2cccc(N1C(N)=NC(N)=NC1(C)C)c2)c3,1,0,0
50,COc2cc(CC1CN=C(N)N=C1N)ccc2Cc3ccccc3,1,0,0
51,COc2cc(Cc1cnc(N)nc1N)cc(OCCCC(CCC(O)=O)C(O)=O)c2Br,1,0,0
52,CC1(C)N=C(N)N=C(N)N1c3ccc(CCCCc2ccc(S(F)(=O)=O)cc2Cl)c(Cl)c3,1,0,0
53,C=CCSc2nc1ccc(N(CC=C)CC=C)cc1c(=O)n2Cc3ccccc3,1,0,0
54,COc3cc(C(C)C#Cc1c(C)nc(N)nc1N)cc(c2cc(C)cc(C)c2)c3,1,0,0
55,CCc1nc(N)nc(N)c1c4ccc(Cl)c(N=NN(CCOC(=O)c2ccccc2)Cc3ccccc3)c4,1,0,0
56,CN(C)C(=O)c3cccc(COc2ccc(N1C(N)=NC(N)=NC1(C)C)cc2Cl)c3,1,0,0
57,Nc4nc(N)c3cc(CNc1ccc(C(=O)NC(CCC(O)=O)C(O)=O)c2ccccc12)ccc3n4,1,0,0
58,CC1(C)N=C(N)N=C(N)N1c3cccc(CNc2cc(C(N)=O)cc(C(N)=O)c2)c3,1,0,0
59,CCC(CC2=Nc1c(N)nc(N)nc1NC2)c3ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc3,1,0,0
