,can,active,decoy,other
0,OC(=O)Cn3c(=O)c(=O)[nH]c4cc(C(F)(F)F)c(n2ccc(CNC(=O)Nc1ccc(Br)cc1)c2)cc34,1,0,0
1,N[C@@H](CC1=CCCCc2onc(O)c12)C(O)=O,1,0,0
2,N[C@@H](C[C@@H](C/C=C/c1ccc(Cl)cc1)C(O)=O)C(O)=O,1,0,0
3,CCCn2nnc(c1onc(O)c1CC(N)C(O)=O)n2,1,0,0
4,CCC(C)CN1CCc3c(C1)c2nc(O)c(O)nc2cc3N(=O)=O,1,0,0
5,N[C@@H](Cn1cc(I)c(=O)[nH]c1=O)C(O)=O,1,0,0
6,N[C@@H](CC(C(O)=O)=C1CCCC1)C(O)=O,1,0,0
7,N[C@@H](Cn2c1CSCc1c(=O)[nH]c2=O)C(O)=O,1,0,0
8,CC(C)CCN3CCc2c(Br)cc1nc(O)c(O)nc1c2C3,1,0,0
9,N[C@@H](C\C(=C/C1CCCC1)C(O)=O)C(O)=O,1,0,0
10,CSc1ccc(\C=C\C[C@H](C[C@H](N)C(O)=O)C(O)=O)cc1,1,0,0
11,N[C@@H](C[C@@H](C/C=C/c1ccc(Br)cc1)C(O)=O)C(O)=O,1,0,0
12,Oc2nc1cc(N(=O)=O)c(N(=O)=O)cc1cc2P(O)(O)=O,1,0,0
13,N[C@@H](CC(C(O)=O)=C1CCC1)C(O)=O,1,0,0
14,CNC(=O)Nc1ccc2c(c1)C(CC(O)=O)c3c2nc(O)c4nccn34,1,0,0
15,CCOC(=O)c4cn3c2Cc1ccccc1c2nc(O)c3n4,1,0,0
16,N[C@@H](C[C@@H](C/C=C/c1cccc2ccccc12)C(O)=O)C(O)=O,1,0,0
17,N[C@@H](C[C@@H](C/C=C/c1ccc(Cl)c(Cl)c1)C(O)=O)C(O)=O,1,0,0
18,N[C@@H](Cn2cc(Br)c(=O)n(Cc1ccccc1C(O)=O)c2=O)C(O)=O,1,0,0
19,CC1(C)CCC/C1=C(\C[C@H](N)C(O)=O)C(O)=O,1,0,0
20,OC(=O)c4cn3c2Cc1ccccc1c2nc(O)c3n4,1,0,0
21,Oc2nc1cc(N(=O)=O)c(N(=O)=O)cc1cc2c3nn[nH]n3,1,0,0
22,Cc2cn(C[C@H](N)C(O)=O)c(=O)n(Cc1c(Br)c(Br)sc1C(O)=O)c2=O,1,0,0
23,OC(=O)[C@H]2NC[C@@H]1ON=C(C(O)=O)[C@@H]12,1,0,0
24,N[C@@H](Cn1oc(=O)nc1O)C(O)=O,1,0,0
25,OC(=O)[C@@H]3C[C@H]2C[C@@H](Cn1cnc(C(O)=O)c1)CC[C@H]2CN3,1,0,0
26,OC(=O)Cn3c(=O)c(=O)[nH]c4cc(N(=O)=O)c(n2ccc(CNCCCc1ccccc1)c2)cc34,1,0,0
27,Oc3nc2cc(N(=O)=O)c(n1ccnc1)cc2nc3O,1,0,0
28,Oc2nc1cc(N(=O)=O)c(N(=O)=O)cc1cc2NS(=O)(=O)C(F)(F)F,1,0,0
29,CC(C)n2nnc(c1onc(O)c1CC(N)C(O)=O)n2,1,0,0
