,can,active,decoy,other
0,CCN3CCC[C@@H](n1c(C)nc(C)c1c2cccc(/C=C/C(=O)NO)c2)C3,1,0,0
1,O=C(CCCCCCNC(=O)c2cc1ccccc1[nH]2)c3ncco3,1,0,0
2,ONC(=O)\C=C\c2ccc(CNC(=O)c1cccnc1)cc2,1,0,0
3,ONC(=O)\C=C\c3ccc(CNCCc2ccc1OCOc1c2)cc3,1,0,0
4,ONC(=O)CCCCCCC(=O)Nc3ccc(c1cnnn1c2ccccc2)cc3,1,0,0
5,ONC(=O)\C=C\c2ccc(CNCCCc1ccccc1)cc2,1,0,0
6,ONC(=O)c3ccc(c1cccc2ccccc12)cc3,1,0,0
7,ONC(=O)CCC2=CCCN(CCc1ccccc1)C2=O,1,0,0
8,Clc2ccc(NC(=O)CCCCCCC(=O)c1ncco1)cc2,1,0,0
9,O=C(CCCCCCSc2ccc1ccccc1c2)c3ncco3,1,0,0
10,OCCN(CCc2cnc1ccccc1c2)Cc3ccc(/C=C/C(=O)NO)cc3,1,0,0
11,CCC(C)[C@@H]4NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]3CCCCN3C4=O,1,0,0
12,Cc3c(c1ccccc1)nc(c2cccc(/C=C/C(=O)NO)c2)n3CCN4CCOCC4,1,0,0
13,ONC(=O)CCCCCCN3c1cccc2cccc(c12)S3(=O)=O,1,0,0
14,C[C@H](/C=C(C)/C=C/C(=O)NO)C(=O)c1ccc(N(C)C)cc1,1,0,0
15,ONC(=O)\C=C\c3ccc(CNCCc2cc1ccccc1[nH]2)cc3,1,0,0
16,Cc1cc(O)nc(SCCCCCC(=O)NO)n1,1,0,0
17,ONC(=O)CCCCCCNC(=O)c2cc1cc(Cl)ccc1o2,1,0,0
18,ONC(=O)c2ccc(NC(=O)CCCCc1ccccc1)cc2,1,0,0
19,COc1ccccc1NCCNCc2ccc(/C=C/C(=O)NO)cc2,1,0,0
20,ONC(=O)\C=C\c4ccc(CN(CCc1c[nH]c2ccccc12)C3CCCCC3)cc4,1,0,0
21,O=C(CCCCC/C=C/c2ccc(c1ccccc1)cc2)c3ncco3,1,0,0
22,Cc3nc(c1cccc(/C=C/C(=O)NO)c1)n(CCN2CCOCC2)c3c4ccccc4,1,0,0
23,ONC(=O)CCCCCNC(=O)C=c2c1ccccc1c3ccccc23,1,0,0
24,ONC(=O)c4ccc(CN2[C@H](Cc1cccs1)C(=O)Nc3ccccc23)cc4,1,0,0
25,CCc1ccccc1c2cc(O)nc(SCCCCCC(=O)NO)n2,1,0,0
26,O[C@@H]1C=C[C@]2(C(O)=O)C[C@H]1O[C@H](C(O)=O)C2,1,0,0
27,ONC(=O)\C=C\c3ccc(c2cc(CN1CCOCC1)on2)cc3,1,0,0
28,ONC(=O)\C=C\c4ccc(CN(CCOC(=O)NCc1ccoc1)CCc2c[nH]c3ccccc23)cc4,1,0,0
29,ONC(=O)CCCCCCC(=O)NO,1,0,0
30,ONC(=O)c4cnc(N3CCN(S(=O)(=O)c2ccc1ccccc1c2)CC3)nc4,1,0,0
31,CC(C)C[C@H]3CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N3,1,0,0
32,CC(C)(CCc1ccccc1)C(=O)Nc2ccc(C(=O)NO)cc2,1,0,0
33,ONC(=O)\C=C\c4ccc(CNCCn2c1ccccc1c3ccccc23)cc4,1,0,0
34,Oc2ccc(c1cc(=S)ss1)cc2,1,0,0
35,SCCCCCCNC(=O)c2ccc1ccccc1c2,1,0,0
36,ONC(=O)\C=C\c3ccc(CNCCCCc1c[nH]c2ccccc12)cc3,1,0,0
37,ONC(=O)CCCCCSc2nc(Cc1ccccc1)cc(=O)[nH]2,1,0,0
38,SCCCCCCC(=O)Nc2nc(c1ccccc1)cs2,1,0,0
39,ONC(=O)\C=C\c4cccc(c2nc1ccccc1n2CCN3CCCC3)c4,1,0,0
40,COc2ccc(CN1CCC=C(CCC(=O)NO)C1=O)c(OC)c2,1,0,0
