,can,active,decoy,other
0,CS(=O)(=O)Nc4ccc(c3ccnc(Nc2ccc(CN1CCCCC1)cc2)n3)cc4,1,0,0
1,Oc5ccc(C2NC(=O)c1ccccc1c3ccnc4[nH]cc2c34)c(F)c5,1,0,0
2,C[C@H](Nc4cc(N1CCN(C)CC1)nc(n2cnc3ccncc23)n4)c5ccccc5,1,0,0
3,CC(C)(C)NS(=O)(=O)c3ccc(c2ccc1[nH]nc(N)c1c2)c(Cl)c3,1,0,0
4,Fc5cccc6[C@H](n3c(=O)[nH]c4cnc(n1cnc2ccc(C#N)cc12)nc34)CCOc56,1,0,0
5,CN[C@@H]1CC5O[C@@](C)([C@@H]1OC)n7c2ccccc2c8c3CNC(=O)c3c6c4ccccc4n5c6c78,1,0,0
6,CS(=O)(=O)Nc4ccc(c3ccnc(Nc2cccc(CN1CCC(O)CC1)c2)n3)cc4,1,0,0
7,C[C@H](Nc3nc(Nc1ncc(C#N)s1)cc(N2CCOCC2)n3)c4ccc(F)cn4,1,0,0
8,C5CN(c4ccc(Nc3nccc(c2ccc1[nH]ccc1c2)n3)cc4)CCO5,1,0,0
9,Nc2nn1cccnc1c2c4cc(N3CCOCC3)ncn4,1,0,0
10,CN4CCN(Cc3cccc(Nc2nccc(c1ccc(NS(C)(=O)=O)cc1)n2)c3)CC4,1,0,0
11,COc3cc(Nc1ncc(C)s1)nc(N[C@@H](C)c2ncc(F)cn2)n3,1,0,0
12,C[C@H](Nc2cncc(Nc1ncc(C)s1)n2)c3ncc(F)cn3,1,0,0
13,CONC(=O)c5cc4c(N[C@@H](C)c1ccccc1)nc(n2cnc3ccncc23)nc4n5C,1,0,0
14,CS(=O)(=O)Nc4ccc(c3ccnc(Nc2ccc(CN1CCOCC1)cc2)n3)cc4,1,0,0
15,C[C@H](Nc3ccnc(n1cnc2cnccc12)n3)c4ccccc4,1,0,0
16,Oc5ccc(C2Nc1ccccc1c3ccnc4[nH]cc2c34)cc5F,1,0,0
17,C[C@H](Nc4nc(n1cnc2ccncc12)nc5n(C)c(C(=O)N3CCN(C)CC3)cc45)C(C)(C)O,1,0,0
18,CN4CCN(Cc3ccc(Nc2nccc(c1ccc(NS(C)(=O)=O)cc1)n2)cc3)CC4,1,0,0
19,COC(=O)CC2Nc1ccccc1c3ccnc4[nH]cc2c34,1,0,0
20,O=C(NC1CC1)Nc2c[nH]nc2c5nc4cc(CN3CCOCC3)ccc4[nH]5,1,0,0
21,C[C@H](Nc3nc(Nc2cc(C1CC1)[nH]n2)cnc3C#N)c4ccc(F)cn4,1,0,0
22,O=C(NCC#N)c4ccc(c3ccnc(Nc2cccc(N1CCOCC1)c2)n3)cc4,1,0,0
