,can,active,decoy,other
0,Cc1cccc(Cl)c1NC(=O)c5ccc4nc(Nc3cccc(CN2CCOCC2)n3)sc4c5,1,0,0
1,C[C@H](Nc4nccc(n2cnc3cc(c1ccncc1)ccc23)n4)c5ccccc5,1,0,0
2,CC1(C)C(=O)NC(=O)c3c1ccc4[nH]c(Nc2c(Cl)cccc2Cl)nc34,1,0,0
3,CNc6nccc(c1cccnc1Oc4ccc(Nc3nc2ccccc2s3)c5ccccc45)n6,1,0,0
4,CNc5ncc4cc(c2c(C)ccc3c(Nc1cc(C(C)(C)C)nn1C)nccc23)ccc4n5,1,0,0
5,CC(Nc3nccc(n1cnc2ccccc12)n3)C5CCCN(C(=O)Cc4ccccc4)C5,1,0,0
6,COc4cc3nccc(Oc2ccc1c(C(N)=O)cccc1c2)c3cc4OC,1,0,0
7,CN6CCN(CCCNc5cc(n3c(Nc2cc(C(=O)Nc1cccc(C)c1)ccc2C)nc4ccccc34)ncn5)CC6,1,0,0
8,CNc5ncc4cc(c3cc(C(=O)Nc2ccc(OC1CCN(C)CC1)cc2)ccc3C)ccc4n5,1,0,0
9,CN3CCN(C(=O)c2ccc1ccccc1c2)CC3CNc6nccc(n4cnc5ccccc45)n6,1,0,0
10,COc5cc(c3nn(C2CCN(C1CCOCC1)CC2)c4ncnc(N)c34)ccc5NC(=O)c7cc6ccccc6n7C,1,0,0
11,CN(C)CCCOc6ccc(Nc5ncc4c(=O)n(c1c(C)cccc1C)c3nc2ccccc2n3c4n5)cc6,1,0,0
12,Cc4nc(O)c3c(ccc2nc(Nc1c(Cl)cccc1Cl)n(C)c23)c4CCC(=O)N5CCOCC5,1,0,0
13,COc5cc(c3oc2ncnc(NCCN1CCNCC1)c2c3c4ccccc4)ccc5OCCN6CCCCC6,1,0,0
14,COc5cc(Nc4ncnc(n2c(Nc1c(C)cccc1C)nc3ccccc23)n4)cc(OC)c5OC,1,0,0
15,C[C@H]5CN(c4ccc3nc(Nc1c(C)cccc1Cl)c2cncn2c3n4)CCN5,1,0,0
16,Cc1cccc(Cl)c1NC(=O)c3cnc(NC2CCCCC2)s3,1,0,0
17,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(C)=O)C(=O)N[C@@H](C)c2ccc(C(C)C)cc2,1,0,0
18,N(c2ccc(Oc1ccccc1)cc2)c3ncnc4ccccc34,1,0,0
19,Cc3cc(C)c(NC(=O)c2cnc(Nc1cnccn1)s2)c(C)c3,1,0,0
