,can,active,decoy,other
0,COC(=O)CC1CC2CC1CN2CCOc4ccc(Cc3ccccc3)cc4,1,0,0
1,OC(=O)c5ccc(CN4CCC(CNc3ccc(Oc2ccc(c1ncco1)cc2)cc3)CC4)cc5,1,0,0
2,C4CCN(CCOc3ccc(Oc2nc1ccccc1[nH]2)cc3)CC4,1,0,0
3,NCc2ccc(c1cccs1)cc2,1,0,0
4,N[C@@H](CCC(=O)Nc2ccc(OCC(=O)c1ccccc1)cc2)C(O)=O,1,0,0
5,CN(CCCN(C)CC(=O)Nc2ccc(Oc1ccccc1)cc2)CCc3ccc(C(O)=O)cc3,1,0,0
6,C4CCCN(CCOc3ccc(Oc2nc1ccccc1o2)cc3)CC4,1,0,0
7,CN(CC(=O)Nc2ccc(Oc1ccccc1)cc2)C4CCN(Cc3ccc(C(O)=O)cc3)CC4,1,0,0
8,CN(CCCN(C)Cc1ccc(C(O)=O)o1)CC(=O)Nc3ccc(Oc2ccccc2)cc3,1,0,0
9,C3CCN(CCOc2ccc(SCc1ccccc1)cc2)C3,1,0,0
10,C3CCC(Cc2ccc(OCCN1CCCC1)cc2)CC3,1,0,0
11,O=n4ccc3n(CCOc2ccc(Cc1ccccc1)cc2)cnc3c4,1,0,0
12,OC(=O)c4ccc(CN3CCC(C(=O)Nc2ccc(Oc1ccccc1)cc2)CC3)cc4,1,0,0
13,C4CCN(CCOc3ccc(Oc2ccc(c1ncco1)cc2)cc3)C4,1,0,0
14,C4CC[C@H](COc3ccc(Oc2ccc(c1ccccc1)cc2)cc3)NC4,1,0,0
15,N[C@@H](CCC(=O)Nc2ccc(Oc1ccccc1)cc2)Cn3cccc3,1,0,0
16,C3CCN(CCOc2ccc(NCc1ccccc1)cc2)C3,1,0,0
17,C[C@H](CS)C(=O)N[C@@H](CSC(c1ccccc1)c3ccc(C2CCCCC2)cc3)C(O)=O,1,0,0
18,C4CC[C@@H](COc3ccc(Oc2ccc(c1ccsc1)cc2)cc3)NC4,1,0,0
19,C3CCN(CCOc2ccc(Cc1nccs1)cc2)C3,1,0,0
20,C4CCN(CCOc3ccc(Oc2nc1ccccc1s2)cc3)C4,1,0,0
21,CN(CCCN(C)Cc2ccc(c1nnn[nH]1)cc2)CC(=O)Nc4ccc(Oc3ccccc3)cc4,1,0,0
22,OC(=O)c5ccc(CN1[C@@H]4CC[C@H]1CC(Nc3ccc(OCc2ccccc2)cc3)C4)cc5,1,0,0
23,O=C1CCCN1C5CCN(CCc4ccc(Oc3nc2ccccc2s3)cc4)CC5,1,0,0
24,OC4CCN(CCOc3ccc(Oc2nc1ccccc1o2)cc3)CC4,1,0,0
25,C3CCN(CCOc2ccc(Cc1ccccc1)s2)C3,1,0,0
26,C3CN(CCOc2ccc(Cc1ccccc1)cc2)CCO3,1,0,0
27,C[C@H](N(C)C(=O)[C@@H](CC(=O)NO)Cc1ccccc1)C(O)=O,1,0,0
28,OC(=O)c6ccc(CN1[C@@H]5CC[C@H]1CC(Nc4ccc(Oc3ccc(c2nccs2)cc3)cc4)C5)cc6,1,0,0
29,OC(=O)CCN1CCC[C@@H]1COc3ccc(Oc2ccc(Cl)cc2)cc3,1,0,0
30,OC(=O)c6ccc(CCN1[C@@H]5CC[C@H]1CC(Nc4ccc(Oc3ccc(c2ncco2)cc3)cc4)C5)cc6,1,0,0
31,O=C1CCCCN1C5CCN(CCOc4ccc(Oc3nc2ccccc2s3)cc4)CC5,1,0,0
32,C[C@H](N)C(=O)CCCC[C@@H](C)C(O)=O,1,0,0
33,CC(C)c2ccc(CCS[C@H]1CC[C@@H](C(O)=O)N1C(=O)[C@H](C)CS)cc2,1,0,0
34,O=C1OCCN1C5CCN(Cc4ccc(Oc3nc2ccccc2s3)cc4)CC5,1,0,0
35,O=n4ccc3ncn(CCOc2ccc(Cc1ccccc1)cc2)c3c4,1,0,0
36,CN(C[C@H]1CCCN1Cc2ccc(C(O)=O)cc2)CC(=O)Nc4ccc(Oc3ccccc3)cc4,1,0,0
37,C3CN(CCOc2ccc(Cc1ccccc1)cc2)CCN3,1,0,0
38,OC(=O)c5ccc(CN4CCC(Nc3ccc(Oc2ccc(c1ncco1)cc2)cc3)CC4)cc5,1,0,0
39,OC(=O)c6ccc(CN1[C@@H]5CC[C@H]1CC(Nc4ccc(Oc3ccc(c2ccccc2)cc3)cc4)C5)cc6,1,0,0
40,C3CCN(CCOc2ccc(CSc1ccccc1)cc2)C3,1,0,0
41,N[C@@H](Cc2ccc(OCc1ccccc1)cc2)C(=O)C(=O)OCc3ccccc3,1,0,0
42,ONC(=O)C[C@@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(O)=O,1,0,0
43,N[C@@H](CCC(=O)Nc2ccc(Oc1ccccc1)cc2)CC(O)=O,1,0,0
44,C4CN[C@@H](COc3ccc(Cc2ccc(c1ccsc1)cc2)cc3)C4,1,0,0
45,CN(CCCN(C)Cc1ccc(C(O)=O)cc1)CC(=O)Nc3ccc(OCC(O)c2ccccc2)cc3,1,0,0
46,ONC(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(O)=O,1,0,0
47,OC(=O)c5ccc(CN4CCCC(Nc3ccc(Oc2ccc(c1ncco1)cc2)cc3)C4)cc5,1,0,0
48,Oc4ccc3ncn(CCOc2ccc(Cc1ccccc1)cc2)c3n4,1,0,0
49,OC4CCN(CCc3ccc(Oc2nc1ccccc1s2)cc3)CC4,1,0,0
50,CN(CCCOc3ccc(Oc2ccc(c1ccccc1)cc2)cc3)CCC(O)=O,1,0,0
51,N[C@@H](CCC(=O)Nc2ccc(OCC(O)c1ccccc1)cc2)C(O)=O,1,0,0
52,C(Cn1cnc2cncnc12)Oc4ccc(Cc3ccccc3)cc4,1,0,0
53,CN(CCCNc3ccc(Oc2ccc(c1ncco1)cc2)cc3)Cc4ccc(C(O)=O)cc4,1,0,0
54,C3CCN(CCOc2ccc(CNc1ccccc1)cc2)C3,1,0,0
55,C(Cn2ccc1ncnc1c2)Oc4ccc(Cc3ccccc3)cc4,1,0,0
56,C[C@H](CS)C(=O)N3[C@@H](SCc2ccc(C1CCCCC1)cc2)CC[C@H]3C(O)=O,1,0,0
57,OC(=O)c5ccc(CN1[C@@H]4CC[C@H]1CC(Nc3ccc(Cc2ccncc2)cc3)C4)cc5,1,0,0
58,C4CC[C@@H](COc3ccc(Cc2ccc(c1cccs1)cc2)cc3)NC4,1,0,0
59,OC(=O)c5ccc(CN1[C@@H]4CC[C@H]1CC(Nc3ccc(Oc2ccccc2F)cc3)C4)cc5,1,0,0
60,C(CN1CC2CCC1C=C2)Oc4ccc(Cc3ccccc3)cc4,1,0,0
61,OC(=O)c5ccc(CN4CCC(Nc3ccc(Oc2ccc(c1ncco1)cc2)cc3)C4)cc5,1,0,0
62,C4CCN(CCOc3ccc(Oc2ccc(c1ccccc1)cc2)cc3)C4,1,0,0
63,C(Cn1cnc2ncncc12)Oc4ccc(Cc3ccccc3)cc4,1,0,0
64,O=C(c2ccc(OC[C@@H]1CCCN1)cc2)c4ccc(c3ccsc3)cc4,1,0,0
65,O=C1OCCN1C5CCN(CCOc4ccc(Oc3nc2ccccc2s3)cc4)CC5,1,0,0
66,C(CN1CC2CC1CN2)Oc4ccc(Cc3ccccc3)cc4,1,0,0
67,N[C@@H](CCC(=O)Nc2ccc(Oc1ccccc1)cc2)c3nnc[nH]3,1,0,0
68,OC(=O)c5ccc(CCN4CCC(Nc3ccc(Oc2ccc(c1ncco1)cc2)cc3)CC4)cc5,1,0,0
69,C3CCN(CCOc2ccc(Cc1ccsc1)cc2)C3,1,0,0
70,CN(CCN(C)Cc1ccc(C(O)=O)cc1)CC(=O)Nc3ccc(Oc2ccccc2)cc3,1,0,0
71,C4CCN(CCCOc3ccc(Oc2nc1ccccc1[nH]2)cc3)CC4,1,0,0
72,CN(CCCOc3ccc(Oc2ccc(c1nccs1)cc2)cc3)CCC(O)=O,1,0,0
73,C3CCCN(CCOc2ccc(Cc1ccccc1)cc2)CC3,1,0,0
74,C(Cc1ccncc1)Oc3ccc(Cc2ccccc2)cc3,1,0,0
75,OC(=O)c6ccc(CN1[C@@H]5CC[C@H]1CC(Nc4ccc(Oc3ccc(n2cccc2)cc3)cc4)C5)cc6,1,0,0
76,C3CCN(CCOc2ccc(Cc1ccoc1)cc2)C3,1,0,0
77,ONC(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC2CCCCC2)C(O)=O,1,0,0
78,OC(=O)c5ccc(CN4CCCC(Nc3ccc(Oc2ccc(c1ncco1)cc2)cc3)CC4)cc5,1,0,0
79,CN(CCCN(C)Cc1ccc(C(O)=O)cc1)CC(=O)Nc3ccc(Cc2ccccc2)cc3,1,0,0
80,C[C@H](CS)C(=O)N2[C@@H](SCc1ccc(C(C)(C)C)cc1)CC[C@H]2C(O)=O,1,0,0
