,can,active,decoy,other
0,CC4CNC(=O)c5cc3ccc(C(=O)Nc2nc(C(=O)NC1CCOCC1)cs2)cc3n45,1,0,0
1,NCC4CNC(=O)c3cc2ccc(C(=O)Nc1nccs1)cc2n3C4,1,0,0
2,NC4=CC3Oc2cc1OCCOc1cc2CC3C(N)=C4C#N,1,0,0
3,CC4CNC(=O)c5[nH]c3ccc(C(=O)Nc2nc(C(=O)NC1CCN(C)CC1)cs2)cc3c45,1,0,0
4,Oc4ccc(c3cc(c2cc1C(=O)NCCc1[nH]2)ccn3)cc4,1,0,0
5,O=C(NC1CCCCC1)c5ccc(c4cc(c3cc2C(=O)NCCc2[nH]3)ccn4)cc5,1,0,0
6,C[C@H]4CNc2c(sc3ccc1OCCc1c23)C(=O)N4,1,0,0
7,CC3CNC(=O)c4[nH]c2ccc(C(=O)Nc1cnccn1)cc2c34,1,0,0
8,C[C@H]4CNc2c(sc3ccc1ncccc1c23)C(=O)N4,1,0,0
9,CN[C@@H]1CC5O[C@@](C)([C@@H]1OC)n7c2ccccc2c8c3CNC(=O)c3c6c4ccccc4n5c6c78,1,0,0
10,CC4CNC(=O)c5[nH]c3ccc(C(=O)Nc2nc(C(=O)NC1CCCCC1)cs2)cc3c45,1,0,0
11,C[C@H]5CNc3c(sc4ccc2nc(c1ccccc1)ccc2c34)C(=O)N5,1,0,0
12,C[C@H]5CNc3c(sc4ccc2nc(c1ccccc1F)ccc2c34)C(=O)N5,1,0,0
13,NCCn5cc(c4cc(c2cc1ccccc1s2)c3[nH]ncc3c4)c6nc(N)ncc56,1,0,0
14,Nc4nn(c3cccc(c2ccc1cc[nH]c1c2)c3)cc4c6ccc5C(=O)NCCc5c6,1,0,0
15,Nc3nn(c2cccc(c1cccc(O)c1)c2)cc3c5ccc4C(=O)NCCc4c5,1,0,0
16,CN6CCC(NC(=O)c5csc(NC(=O)c4ccc3cc2C(=O)NCC1(CCC1)n2c3c4)n5)CC6,1,0,0
17,COc3ccc2sc1C(=O)N[C@H](CO)CNc1c2c3,1,0,0
18,Nc7ncc6n(CCC1CCNCC1)cc(c5cc(c3cc2ccccc2s3)c4[nH]ncc4c5)c6n7,1,0,0
19,CC3CNC(=O)c4[nH]c2ccc(C(=O)Nc1nc(C(=O)NCCN)cs1)cc2c34,1,0,0
20,O=C4NCCc5[nH]c(c3ccnc(c2cc1ccccc1s2)c3)cc45,1,0,0
21,CC4CNC(=O)c5cc3ccc(C(=O)Nc2nc(C(=O)NC1CCCCC1)cs2)cc3n45,1,0,0
22,CN5CCN(c4ccc(Nc2ccnc3ccc(c1ccc(Cl)cc1)cc23)cc4)CC5,1,0,0
23,Cn4cc(\C=c2/oc1cccc(O)c1c2=O)c5c(c3ccc(C(=O)NCCO)cc3)ccnc45,1,0,0
24,C[C@H]5CNc3c(sc4ccc2nc(c1ccncc1)ccc2c34)C(=O)N5,1,0,0
25,CN5CCN(c4ccc(Nc2ccnc3ccc(c1ccc(Br)cc1)cc23)cc4)CC5,1,0,0
26,O=C(NCc1ccccc1)c5ccc(c4cc(c3cc2C(=O)NCCc2[nH]3)ccn4)cc5,1,0,0
27,O=C3NCCc4[nH]c(c2ccnc(c1cncnc1)c2)cc34,1,0,0
28,OCC4CNC(=O)c3cc2ccc(C(=O)Nc1nccs1)cc2n3C4,1,0,0
29,Nc5nccc(Nc4cc(c2ccc1ccccc1c2)c3[nH]ncc3c4)n5,1,0,0
30,NC(=O)C(Nc2c(Nc1ccncc1)c(=O)c2=O)c3cccc(O)c3,1,0,0
31,OC(=O)c4ccc(c3cc(c2cc1C(=O)NCCc1[nH]2)ccn3)cc4,1,0,0
32,COc4ccc3sc2C(=O)N[C@H](CNCc1ccccc1)CNc2c3c4,1,0,0
