,can,active,decoy,other
0,OC4CCC(c1n[nH]cc1c3ccnc(NC2CCCC2)n3)CC4,1,0,0
1,CC(=O)N4CCC(C(=O)Nc3cc(c2ccnc(Nc1ccccc1)c2)ccn3)CC4,1,0,0
2,N#C/C(c2ccnc(NCCc1ccccn1)n2)=c4/[nH]c3ccccc3s4,1,0,0
3,Fc1ccc(Br)cc1c5nc(Nc2ccncc2C(=O)NCCCN3CCCC3=O)c4nccnc4n5,1,0,0
4,N#CC(c2ccnc(NCCc1cccnc1)n2)c4nc3ccccc3s4,1,0,0
5,N#C/C(c2ccnc(NCCCn1ccnc1)n2)=c4/[nH]c3ccccc3s4,1,0,0
6,Fc4ccc(Nc3cc(c2ccnc(Nc1ccc(F)cc1)c2)ccn3)cc4,1,0,0
7,N#C/C(c2ccnc(NCc1ccccn1)n2)=c4/[nH]c3ccccc3s4,1,0,0
8,N#C/C(c2ccnc(NCCn1cncn1)n2)=c4/[nH]c3ccccc3s4,1,0,0
9,Clc4cccc(c1cn[nH]c1c3c[nH]c(C(=O)NCc2ccccc2)c3)c4,1,0,0
10,OC4CCC(Nc3nccc(c1c[nH]nc1C2CCCOC2)n3)CC4,1,0,0
11,N#Cc6cc(N1CCOCC1)cc(c5ccnc(Nc4ccc(n3cnc(c2ccccn2)n3)cc4)n5)c6,1,0,0
12,O/N=c4\c(=O)n(Cc2cc(F)cc1COCOc12)c5cccc(/C=C/c3ccccc3)c45,1,0,0
13,N#C/C(c2ccnc(NCc1cccnc1)n2)=c4/[nH]c3ccccc3s4,1,0,0
14,N(c2ccc(n1cncn1)cc2)c4nccc(c3ccccc3)n4,1,0,0
15,CS(=O)(=O)Nc4ccc(c3cnc2cccc(Nc1ccc(Cl)cn1)c2c3)cc4,1,0,0
16,Clc1ccccc1Nc5ccc4c(c3cccc(C(=O)NCCCN2CCOCC2)c3)[nH]nc4c5,1,0,0
17,CC(=O)N1CCCCC1C(=O)Nc4cc(c3ccnc(Nc2ccccc2)c3)ccn4,1,0,0
18,CN6CCN(c5ncn(c4ccc(Nc3nccc(c2cc(F)cc(N1CCOCC1)c2)n3)cc4)n5)CC6,1,0,0
19,Fc6cc(N1CCOCC1)cc(c5ccnc(Nc4ccc(n3cnc(N2CCOCC2)n3)cc4)n5)c6,1,0,0
20,CS(=O)(=O)c3ccc(CNC(=O)c2cc(N)c(C#N)c(OCC1CC1)n2)cc3,1,0,0
21,COc4ccc(CCNc3nccc(C(\C#N)=c2/[nH]c1ccccc1s2)n3)cc4,1,0,0
22,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc2cc(N)c(C#N)c(OC(C)C)n2,1,0,0
23,O=c2c1ccccc1c4n[nH]c3cccc2c34,1,0,0
24,O=C(Nc4ccc3[nH]nc(c2cc1ccccc1s2)c3c4)C5CCOC5,1,0,0
25,CS(=O)(=O)Nc4ccc(c3cnc2cccc(Nc1ncccn1)c2c3)cc4,1,0,0
26,CCCNc5nccc(c4c(c1ccc(F)cc1)nc3CC[C@@H](Cc2ccc(OC)cc2)n34)n5,1,0,0
27,CS(=O)(=O)c3ccc(CNC(=O)c2cc(N)c(C#N)c(/C=C/c1ccccc1)n2)cc3,1,0,0
28,CC(C)c2onc(c1ccc(F)cc1)c2c3ccncc3,1,0,0
29,Cc4ccc3c(=N\O)\c(=O)n(Cc2cc(F)cc1COCOc12)c3c4,1,0,0
30,CCCNc5nccc(c4c(c1ccc(F)cc1)nc3CC[C@@H](COCc2ccc(OC)cc2)n34)n5,1,0,0
31,NCc5ccc(c4cnc3[nH]cc(c2cccc(NC(=O)Nc1ccc(C(F)(F)F)cc1F)c2)c3c4)cc5,1,0,0
32,CCCn3c(C1CCNCC1)nc(c2ccc(Cl)c(Cl)c2)c3c5ccnc(NC4CCCCC4)n5,1,0,0
33,Cc4cnc(C(=O)Nc3cc(c2ccnc(Nc1ccccc1)c2)ccn3)cn4,1,0,0
34,NC(=O)N(c2ccc(C(N)=O)c(c1ccc(F)cc1F)n2)c3c(F)cccc3F,1,0,0
35,N#C/C(c3ccnc(NCCn1ccc2ccccc12)n3)=c5/[nH]c4ccccc4s5,1,0,0
36,C5CCC(Nc4nccc(c2c(CN1CCCCC1)onc2c3ccccc3)n4)CC5,1,0,0
37,Clc3nccc(C(\C#N)=c2/[nH]c1ccccc1s2)n3,1,0,0
38,Clc1ccccc1Nc5ccc4c(c3cccc(C(=O)NC2CCNCC2)c3)[nH]nc4c5,1,0,0
39,CS(=O)(=O)c3ccc(CNC(=O)c2cc(N)c(C#N)c(OCC1CCCC1)n2)cc3,1,0,0
40,CN(C)c3c(c2ccnc(NC1CCC(O)CC1)n2)cnn3Cc4ccccc4,1,0,0
41,Cc5ccc(n1nc(C(C)(C)C)cc1NC(=O)Nc3ccc(OCCN2CCOCC2)c4ccccc34)cc5,1,0,0
42,CN[C@@H]1CC5O[C@@](C)([C@@H]1OC)n7c2ccccc2c8c3CNC(=O)c3c6c4ccccc4n5c6c78,1,0,0
43,Cn5nnc(c4ccc(Nc3nccc(c2cc(C#N)cc(N1CCOCC1)c2)n3)cc4)n5,1,0,0
44,CNc3nccc(C(C#N)c2nc1ccccc1s2)n3,1,0,0
45,CN(C)CCNC(=O)c4ccc(c2n[nH]c3cc(Nc1ccccc1Cl)ccc23)cc4,1,0,0
46,CS(=O)(=O)c3ccc(CNC(=O)c2cc(N)c(C#N)c(NC1CCCC1)n2)cc3,1,0,0
