,SPLIT,QED,logP,TPSA,HBD,HBA,valence,maxCharge,minCharge,jIndex,molWt,can
362228,train,0.920909549,1.9289,67.87,1,4,124,0.230802145,-0.453593029,1.688809512,318.373,CC(C)C(C)NC(=O)C1CC(=O)N(c2ccc3c(c2)OCO3)C1
255242,train,0.792167182,0.1817,81.91,1,7,104,0.329317843,-0.382834796,2.736238392,284.341,CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCOC
1031627,train,0.760844433,1.3368,88.91,2,5,116,0.271415208,-0.350485543,1.640100974,309.329,Cn1ccc2c(NC(=O)CNC(=O)c3cnccn3)cccc21
599963,train,0.794651084,2.394,76.57,0,5,126,0.337386584,-0.465417023,1.966692813,346.408,COC(=O)c1cccc(S(=O)(=O)N2CCCC2c2ccncc2)c1
433368,train,0.945118498,2.45458,63.99,1,4,108,0.262042371,-0.276420631,2.547909689,293.392,Cc1cc(C)c(C)c(S(=O)(=O)Nc2cnn(C)c2)c1C
129089,train,0.794908808,2.0431,76.02,2,5,120,0.253107306,-0.349239732,1.610433483,330.413,Cn1ccnc1SCC(=O)Nc1ccccc1C(=O)NC1CC1
845634,train,0.750973139,1.76758,48.29,1,4,104,0.09647474,-0.375552615,2.363302108,253.39,CCCNC(C#N)CCN1CC(C)OCC1CC
38903,train,0.572385035,3.4951,71.53,1,5,110,0.183994397,-0.293236381,1.635302703,330.8,O=C(CSc1nc(-c2ccncc2)n[nH]1)c1ccc(Cl)cc1
773022,train,0.83011925,2.39722,70.67,2,3,134,0.405277522,-0.382850043,2.786261853,347.337,COCCN(C)C(=O)Nc1cc(C(=O)NCC(F)(F)F)ccc1C
999957,train,0.889006292,2.77572,71.19,2,3,122,0.38703214,-0.434832624,2.132185363,322.311,Cc1ccc(C(=O)NC(C)c2cccc(OC(F)F)c2)c(=O)[nH]1
596217,train,0.836929432,2.3886,38.77,0,3,104,0.222365701,-0.492859216,2.223555403,263.337,CCCC(=O)N1CCc2cc(OC)c(OC)cc2C1
724671,train,0.751826715,0.4124,89.26,2,3,100,0.235440702,-0.368278242,2.758933985,270.354,CCCS(=O)(=O)NC(Cc1ccccc1)C(N)=O
