,can,active,decoy,other
0,C[C@@H](Oc4cc(n2cnc3ccc(c1cccnc1)cc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
1,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c4ccc(CNC(C)(C)C)cc4C5CC5,1,0,0
2,C[C@H](Oc4cc(n2cnc3ccc(OCC1CCN(C)CC1)cc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
3,COc4cc3ncn(c2cc(OCc1ccncc1)c(C(N)=O)s2)c3cc4OC,1,0,0
4,C[C@@H](Nc3cc2c(c1cscc1C)noc2cn3)c4ccccc4,1,0,0
5,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c5ccc(CNC4CC4)cc5Cl,1,0,0
6,C[C@@H](Oc4cc(n2cnc3ccc(c1ccncc1)cc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
7,C[C@@H](Nc4cc3c(c2ccc1OCOc1c2)noc3cn4)c5ccccc5,1,0,0
8,COc2ccc(N1CCN(C)CC1)cc2Nc5ncc4CCc3c(C(N)=O)nn(C)c3c4n5,1,0,0
9,C[C@H](Oc4cc(n2cnc3ccc(OC1CCN(C)CC1)cc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
10,C[C@H](Oc4cc(n2cnc3ccc(OC[C@@H](O)CN1CCCC1)cc23)sc4C(N)=O)c5ccccc5Cl,1,0,0
11,C[C@@H](Nc3cc2c(c1cc(Cl)cc(CCCO)c1)noc2cn3)c4ccccc4,1,0,0
12,OCCCc2cc1OCCCCCOc3nc(NC(=O)Nc1cc2Cl)cnc3C#N,1,0,0
13,C[C@@H](Oc5cc(n3cnc4cc(c2ccnc(N1CCN(C)CC1)c2)ccc34)sc5C(N)=O)c6ccccc6Cl,1,0,0
14,COc4cc3ncn(c2cc(OCc1ccsc1)c(C(N)=O)s2)c3cc4OC,1,0,0
15,COc5cc4ncn(c3cc(OCc1ccccc1C(F)(F)F)c(c2nnn[nH]2)s3)c4cc5OC,1,0,0
16,C[C@@H](Nc3cc2c(c1cc(Cl)cc(CCC(N)=O)c1)noc2cn3)c4ccccc4,1,0,0
17,COc4cc3ncn(c2cc(OCCc1ccccc1)c(C(N)=O)s2)c3cc4OC,1,0,0
18,CCn2c(=O)c(=C\Nc1ccccc1)/s/c2=C(\C#N)C(=O)N3CCCC3,1,0,0
19,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c4ccccc4Cl,1,0,0
20,C[C@@H](Oc4cc(n2cnc3cc(c1cnc(N)nc1)ccc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
21,C[C@H](Nc4cc3n(c2cc(Cl)cc(c1ccccc1NC(C)=O)c2)nc(C)c3cn4)c5ccccc5,1,0,0
22,C[C@@H](Oc4cc(n2cnc3cc(c1ccc[nH]1)ccc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
23,COc4cc3ncn(c2cc(OCc1ccoc1)c(C(N)=O)s2)c3cc4OC,1,0,0
24,C[C@@H](Oc4cc(n2cnc3cc(c1ccccn1)ccc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
25,Cn5nc(C(N)=O)c4CCc3cnc(Nc1ccccc1Cc2ccccc2)nc3c45,1,0,0
26,C[C@H](Nc3cc2n(c1cc(Cl)cc(CCC(N)=O)c1)nc(C)c2cn3)c4ccccc4,1,0,0
27,C[C@@H](Oc5cc(n3cnc4cc(c2ccnc(NC1CCN(C)CC1)c2)ccc34)sc5C(N)=O)c6ccccc6Cl,1,0,0
28,C[C@@H](Oc4cc(n2cnc3ccc(c1ccccc1)cc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
29,COc4cc3ncn(c2cc(OCC1CCCCC1)c(C(N)=O)s2)c3cc4OC,1,0,0
30,COc4ccc(Nc3ncc2CC(=O)Nc1cc(OC)ccc1c2n3)cc4,1,0,0
31,CCN2C(=O)C(CNc1ccc(C(C)=O)cc1)S/C2=C(\C#N)C(=O)OCC=C,1,0,0
32,CN5CCN(c4ccc(C(C)=O)c(Nc3ncc2CCc1c(C(N)=O)nn(C)c1c2n3)c4)CC5,1,0,0
33,Cc4cc(NC(=O)Nc3ncc(CCNc2cc(Nc1nc[nH]n1)ncn2)s3)c(C(F)(F)F)o4,1,0,0
34,CN5CCN(c4ccc(Nc3ncc2CCc1c(C(N)=O)nn(C)c1c2n3)c(C(C)=O)c4)CC5,1,0,0
35,C[C@H](Oc4cc(n2cnc3ccc(O[C@@H]1CCCN(C)CC1)cc23)sc4C(N)=O)c5ccccc5Cl,1,0,0
36,CCN(CC)CCNC(=O)c2c[nH]c3ccc(N/C=c1/s/c(=C(\C#N)C(=O)NCC(F)(F)F)n(CC)c1=O)cc23,1,0,0
37,CCn3c(=O)c(=C\Nc2ccc(CCN1CCCC1)cc2)/s/c3=C(\C#N)C(=O)NCC(F)(F)F,1,0,0
38,C[C@@H](Oc5cc(n3cnc4cc(c2cnn(CCN1CCN(C)CC1)c2)ccc34)sc5C(N)=O)c6ccccc6Cl,1,0,0
39,COc4cc3ncn(c2cc(OCC1CCCC1)c(C(N)=O)s2)c3cc4OC,1,0,0
40,CCNC(=O)C(\C#N)=c3/s\c(=C\Nc2cccc(C(=O)NCCCN1CCCC1)c2)c(=O)n3CC,1,0,0
41,CC(C)(C)c4ccc(Nc2nc(NCc1cccnc1)ncc2c3nn[nH]n3)cc4,1,0,0
42,CCn2c(=O)c(=C\Nc1cccc(NC(=O)C(C)(C)C)c1)/s/c2=C(\C#N)C(=O)NC3(CO)CCCC3,1,0,0
43,O=C2NCCc3[nH]c(c1ccncc1)cc23,1,0,0
44,C[C@@H](Oc4cc(n2cnc3cc(c1cccnc1)ccc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
45,COc4cc3ncn(c2cc(OCc1ccnc(Br)c1)c(C(N)=O)s2)c3cc4OC,1,0,0
46,C[C@@H](Oc4cc(n2cnc3ccc(c1cnn(C)c1)cc23)sc4C(N)=O)c5ccccc5Cl,1,0,0
47,COc5cc(Nc4ncc3c(C)nc(c2cccc(C(=O)c1ccccc1)c2)n3n4)cc(OC)c5OC,1,0,0
48,CCN3C(=O)[C@H](CNc2ccc(NC(=O)NCCN1CCCC1)cc2)S/C3=C(\C#N)C(=O)OCC=C,1,0,0
49,COc4ccc3ncn(c2cc(O[C@@H](C)c1ccccc1Cl)c(C(N)=O)s2)c3c4,1,0,0
50,Nc3nccc(c2cc1C(=O)NC[C@H](CCF)c1[nH]2)n3,1,0,0
51,COc2cc(N1CCN(C)CC1)ccc2Nc5ncc4CCc3c(C(N)=O)nn(C)c3c4n5,1,0,0
52,COc4cc3ncn(c2cc(OCc1sccc1Cl)c(C(N)=O)s2)c3cc4OC,1,0,0
53,C[C@@H](Oc5cc(n3cnc4cc(c2ccnc(N1CCOCC1)c2)ccc34)sc5C(N)=O)c6ccccc6C(F)(F)F,1,0,0
54,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c4ccc(CO)cc4Cl,1,0,0
55,CN[C@@H]1CC5O[C@@](C)([C@@H]1OC)n7c2ccccc2c8c3CNC(=O)c3c6c4ccccc4n5c6c78,1,0,0
56,Cn1cncc1c3cc(OCc2ccccc2C(F)(F)F)c(C(N)=O)s3,1,0,0
57,CCCOC(=O)C(\C#N)=c2/s\c(=C\Nc1ccc(O)cc1)c(=O)n2CC,1,0,0
58,COc4cc3ncn(c2cc(OCCCc1ccccc1)c(C(N)=O)s2)c3cc4OC,1,0,0
59,C[C@@H](Oc4cc(n2cnc3cc(c1ccncc1)ccc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
60,C[C@@H](Oc5cc(n3cnc4cc(c2ccc(NC1CCN(C)CC1)nc2)ccc34)sc5C(N)=O)c6ccccc6Cl,1,0,0
61,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c5ccc(CN4CCNC(=O)C4)cc5Cl,1,0,0
62,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c5ccc(CN4CCN(C)CC4)cc5Cl,1,0,0
63,COc4cc3ncn(c2cc(OCc1cccs1)c(C(N)=O)s2)c3cc4OC,1,0,0
64,COc3cccc(Nc2nc(NC(C)c1ccccc1)ncc2C#N)c3,1,0,0
65,CN(C(C)=O)c4cccc(Nc2nc(NCCc1cccs1)ncc2c3nn[nH]n3)c4,1,0,0
66,C[C@@H](Oc5cc(n3cnc4cc(c2ccnc(NC1CCN(C)CC1)n2)ccc34)sc5C(N)=O)c6ccccc6Cl,1,0,0
67,NC(=O)c3sc(c1cnn2ccccc12)cc3OCc4ccccc4C(F)(F)F,1,0,0
68,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c5ccc(CNC4CCCC4)cc5Cl,1,0,0
69,COC[C@H]3OC(=O)c4coc5C(=O)C1=C([C@H](OC(C)=O)C[C@@]2(C)[C@H]1CCC2=O)[C@]3(C)c45,1,0,0
70,Cc1ccccc1Nc4ncc3CCc2c(C(N)=O)nn(C)c2c3n4,1,0,0
71,CCOC(=O)C(\C#N)=c2\s\c(=C\Nc1cccc(C)c1)c(=O)n2CC,1,0,0
72,C[C@@H](Oc4cc(n2cnc3cc(c1cnn(C)c1)ccc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
73,C[C@@H](Oc4cc(n2cnc3cc(c1ccncc1)ccc23)sc4C(N)=O)c5ccccc5Cl,1,0,0
74,C[C@@H](Oc4cc(n2cnc3cc(c1cccs1)ccc23)sc4C(N)=O)c5ccccc5C(F)(F)F,1,0,0
75,CCOC(=O)C(\C#N)=c3\s\c(=C\Nc2ccc(NC(=O)NCCN1CCCC1)cc2)c(=O)n3CC,1,0,0
76,C[C@@H](Oc4cc(n2cnc3ccc(c1ccncc1)cc23)sc4C(N)=O)c5ccccc5Cl,1,0,0
77,C[C@H](Nc3cc2n(c1cc(Cl)cc(CCC(O)=O)c1)nc(C)c2cn3)c4ccccc4,1,0,0
78,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c5ccc(CN4CCC(O)CC4)cc5Cl,1,0,0
79,C[C@H](Oc3cc(c1cnc2ccccn12)sc3C(N)=O)c5ccc(CN4CCS(=O)(=O)CC4)cc5Cl,1,0,0
80,CN5CCN(c4ccc(C(=O)Nc3n[nH]c2CN(C(=O)Cc1cccs1)Cc23)cc4)CC5,1,0,0
81,C[C@@H](Oc5cc(n3cnc4cc(c2cnn(CCN1CCOCC1)c2)ccc34)sc5C(N)=O)c6ccccc6Cl,1,0,0
82,Cn5nc(C(N)=O)c4CCc3cnc(Nc1ccccc1Oc2ccccc2)nc3c45,1,0,0
83,C[C@@H](Oc5cc(n3cnc4cc(c2ccnc(N1CCNCC1)c2)ccc34)sc5C(N)=O)c6ccccc6Cl,1,0,0
