,can,active,decoy,other
0,CC3CCCC(Cc1c[nH]c2c(O)nc(N)nc12)C3,1,0,0
1,OC[C@@H]3N[C@H](c2cc1nc[nH]c(=O)c1[nH]2)[C@H](O)[C@@H]3O,1,0,0
2,Nc2nc(O)c1[nH]cc(CN(CCO)CCO)c1n2,1,0,0
3,Cc1ccsc1CC3=Nc2c(O)nc(N)nc2C3,1,0,0
4,O[C@H]3C(c1c[nH]c2c(O)ncnc12)O[C@H](CI)[C@H]3O,1,0,0
5,Nc3nc(O)c2[nH]cc(CC1CCCC(C(F)(F)F)C1)c2n3,1,0,0
6,Nc5nc(O)c4[nH]cc(CC2C1CC3CC(C1)CC2C3)c4n5,1,0,0
7,OCC1CCN1Cc2c[nH]c3c(=O)[nH]cnc23,1,0,0
8,Nc3nc2c(Cc1cccc(Cl)c1)c[nH]c2c(=O)[nH]3,1,0,0
9,Nc3nc(O)c2[nH]c(Cc1cccs1)nc2n3,1,0,0
10,Nc3nc(O)c2[nH]cc(C1=CCCCC1)c2n3,1,0,0
11,Nc3nc(O)c2[nH]cc(CC1CCCCCC1)c2n3,1,0,0
12,Nc3nc(O)c2[nH]cc(CC1CCCC1)c2n3,1,0,0
13,Nc3nc(O)c2N=C(Cc1ccccc1)Cc2n3,1,0,0
14,Nc3nc(O)c2[nH]cc(CC1CCCO1)c2n3,1,0,0
15,Nc3nc(O)c2ncn(CC[C@@H]1C[C@H]1C(F)(F)P(O)(O)=O)c2n3,1,0,0
16,Nc4nc(O)c3[nH]cc(Cc2ccc(c1ccccc1)cc2)c3n4,1,0,0
17,Nc3nc(O)c2[nH]cc(Oc1ccccc1)c2n3,1,0,0
18,Oc3[nH]cnc4c(Cc2cccc(OCc1ccccc1)c2)cnc34,1,0,0
19,Nc2nc(O)c1ncn(CCCCCP(O)(=O)CP(O)(O)=O)c1n2,1,0,0
20,Cc1ccsc1Cc3nc2[nH]c(N)nc(O)c2n3,1,0,0
21,Nc3nc(O)c2[nH]cc(C1CCCCC1)c2n3,1,0,0
22,Nc3nc(O)c2[nH]cc(CC1CCCSS1)c2n3,1,0,0
23,Oc2[nH]cnc3c(Cc1ccccc1)cnc23,1,0,0
24,Nc2nc(O)c1[nH]c(N)nc1n2,1,0,0
25,Nc3nc2c(Cc1ccncc1)c[nH]c2c(=O)[nH]3,1,0,0
26,Oc2ncnc3n(CC[C@@H]1C[C@H]1C(F)(F)P(O)(O)=O)cnc23,1,0,0
