,can,active,decoy,other
0,NC(=N)NCc2ccc(C1CC\C(=C\I)OC1=O)cc2,1,0,0
1,NC(=N)Nc4ccc(CC(NC(=O)c1ccccc1)P(=O)(Oc2ccccc2)Oc3ccccc3)cc4,1,0,0
2,C[C@H]1CCC[C@@H]1Oc4cccc(c3nc2cc(C(N)=N)c(F)cc2[nH]3)c4O,1,0,0
3,COc2ccc1ccc(C(N)=N)cc1c2c3cnn(S(C)(=O)=O)c3,1,0,0
4,CSc1sc(C(N)=N)cc1c3csc(NCCCc2ccccc2)n3,1,0,0
5,NC(=N)c5cc4c(OC(COC(=O)Nc1ccccc1CN2CCNCC2)c3ccccc3)cccc4s5,1,0,0
6,C[C@H](NC(=O)[C@@H](CO)NS(=O)(=O)c1ccccc1)C(=O)N[C@H]2CCCN(C(N)=N)C2O,1,0,0
7,NC(=N)c2ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)CC1CCCCC1)cc2,1,0,0
8,NC(=N)c4cc3c(OC(C(=O)NCc1ccccc1)c2ccccc2)cccc3s4,1,0,0
9,NC(=N)Nc4ccc(CC(NC(=O)OCc1ccccc1)P(=O)(Oc2ccccc2)Oc3ccccc3)cc4,1,0,0
10,CSc1sc(C(N)=N)cc1c4csc(Nc3ccc(Oc2ccc(C(F)(F)F)cn2)cc3)n4,1,0,0
11,CSc1sc(C(N)=N)cc1c3csc(NCc2ccc(C)cc2)n3,1,0,0
12,COc1ccccc1NC(=O)C(Oc2cccc3sc(C(N)=N)cc23)c4ccccc4,1,0,0
13,C[C@H](N(Cc1ccccc1)S(=O)(=O)c3ccc2c(Cl)cnc(N=C(N)N)c2c3)C(O)=O,1,0,0
14,NC(=N)c6ccc5cc(C1CC1c4ccc3CCN=C(C2CCCCC2)c3c4)ccc5c6,1,0,0
15,NC(=N)c4ccc3cc(/C=C/c2ccc1CNCCc1c2)ccc3c4,1,0,0
16,CC(C)C3NCCc4ccc(NC(=O)c2ccc1cc(C(N)=N)ccc1c2)cc34,1,0,0
17,NCc3ccc(C#Cc2ccc1cc(C(N)=N)ccc1c2)cc3,1,0,0
18,NC(=N)c4cc3c(/C=C/c2ccc1OCOc1c2)cccc3s4,1,0,0
19,CSc1sc(C(N)=N)cc1c4csc(Nc3ccc(OCc2ccccc2)cc3)n4,1,0,0
20,CCS(=O)(=O)c5cc(c3cc(C(=O)Nc2cccc(OC1CCCC1)c2)cc4ccc(C(N)=N)cc34)co5,1,0,0
21,NC(=N)c4ccc3cc(C(=O)Nc2ccc1OCOc1c2)ccc3c4,1,0,0
