,can,active,decoy,score,time
0,Oc2ccc1CN(C(=O)C(F)(F)F)CCc1c2,1,0,-7.9,4.195405245
1,Oc5ccc4[C@@H](c2ccc(SCCN1CCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0,-10.1,17.45230174
2,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](C3CCCC3)Sc4c5,1,0,-10.2,20.54392934
3,Oc2ccc1C4=C(COc1c2)c3ccc(O)cc3OC4c6ccc(OCCN5CCCCCC5)cc6,1,0,-9.7,24.68218231
4,Oc4ccc3C(C1CCCCC1)N(c2ccccc2)CCc3c4,1,0,-7.1,7.059239149
5,CCCCCS(=O)(=O)CCCCCCCCCCn2c(c1ccc(O)cc1)c(C)c3cc(O)ccc23,1,0,-8.8,49.98879433
6,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](C3CCCCC3)Sc4c5,1,0,-10.9,21.40200925
7,CC4=CC3=CC[C@H]2[C@@H]1CC[C@H](O)[C@@]1(C)CC[C@@H]2[C@@]3(C)CC4,1,0,-10,3.463269472
8,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN4C[C@H]3CCC[C@H]3C4)cc5)cc6,1,0,-11.5,16.76191401
9,CC(C)CN(C)c3cc(c1ccccc1)cc(c2ccc(O)c(C)c2)n3,1,0,-9,10.42505312
10,Oc6ccc5C(c2ccc(OCCN1CCCC1)cc2)N(S(=O)(=O)c3cccc4ccccc34)CCc5c6,1,0,-9.9,28.76738214
11,Oc5ccc(C2CCc1cc(O)ccc1N2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0,-10.8,15.54430842
12,Oc4ccc3C(c1cccs1)N(c2ccccc2)CCc3c4,1,0,-9.1,9.484681845
13,Cc7ccc(S(=O)(=O)N6Cc5ccc([C@]4(O)CC[C@H]3[C@@H]2CCc1cc(O)ccc1[C@H]2CC[C@@]34C)cc5C6)cc7,1,0,-8.9,26.94749522
14,CC2CCc1ccccc1N2S(=O)(=O)c3ccc(O)cc3,1,0,-9.3,6.566939592
15,CCc2c(c1ccc(O)cc1)c4ccc3c(O)ccc2n34,1,0,-8.4,6.338738203
16,OC(CCN1CCCCC1)c6ccc(c4c2cc(O)ccc2cc5sc3cc(O)ccc3c45)cc6,1,0,-10.3,22.39001822
17,Oc4ccc(c2nn(C1CCCC1)c3c(F)cccc23)cc4,1,0,-8.7,6.282868147
18,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCCCN3CCCCC3)cccc45,1,0,-9.8,56.65493011
19,Oc6ccc5c(c1cccc2ccccc12)c(C(=O)c4ccc3OCCOc3c4)oc5c6,1,0,-11.1,15.7481997
20,Oc4ccc([C@H]3Oc1ccc(O)cc1[C@H]2CCCC[C@H]23)cc4,1,0,-7.7,5.820635796
21,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCC4CC3CC3C4)cc5)cc6,1,0,-12.6,20.34657884
22,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCN3CCCC3)ccc45,1,0,-7.8,43.58254123
23,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](CC3CCCCC3)Sc4c5,1,0,-11.5,30.27325511
24,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCN3CCCCC3)ccc45,1,0,-9.1,40.23307657
25,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCCN3CCCCC3)ccc45,1,0,-9.5,56.53842497
26,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCN3CCCCC3)cccc45,1,0,-9.9,43.74529648
27,C[C@]34CC[C@H]1[C@@H](CCc2cc(O)ccc12)[C@@H]3CC[C@@H]4O,1,0,-9.2,3.738664865
28,Oc5ccc(C1=c4ccc3=CC=CC(C1CCc2ccccc2)n34)cc5,1,0,-10.3,9.444901466
29,COC(=O)C2=C(N)Oc1cc(O)ccc1C2c4ccc(OCc3ccccc3F)cc4,1,0,-10.7,18.37649655
30,Oc5ccc([C@@H]2Sc1c(F)cc(O)cc1O[C@@H]2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0,-8.8,23.77552199
31,Oc6ccc5C(c2ccc(OCCN1CCCC1)cc2)N(S(=O)(=O)c4ccc3ccccc3c4)CCc5c6,1,0,-8.3,29.76976705
32,Oc1ccc4c(c1)oc3oc2cc(O)cc(O)c2c(=O)c34,1,0,-8.8,6.05414772
33,Oc6ccc5C3=C(c2ccc(OCCN1CCCCC1)cc2)C(=O)CCC3(Cc4ccccc4)Cc5c6,1,0,-10.3,29.72596812
34,Oc5ccc4[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0,-10.4,21.25893188
35,Oc5ccc4c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(c3cccs3)sc4c5,1,0,-10.3,19.62949324
36,Cc2c(\C=N\O)c1ccccc1n2c3ccc(O)cc3,1,0,-7.5,6.381248951
37,ClC2(Cl)C5(Cl)C1(Cl)C4(Cl)C(=O)C3(Cl)[C@@]1(Cl)C2(Cl)[C@]3(Cl)C45Cl,1,0,-7.6,3.422512054
38,CCc3c(c1ccc(O)cc1)oc(c2ccc(O)cc2)c3c4ccc(OC)cc4,1,0,-8,17.41159749
39,C[C@]34CCc1c(ccc2cc(O)ccc12)[C@@H]3CC[C@H]4O,1,0,-9.9,4.104276896
40,O/N=C/c3ccc(c1ccccc1)c(c2ccccc2)c3,1,0,-10.1,8.352474451
41,Oc4ccc3C(c2ccc(OCCN1CCCCC1)cc2)c5c(Cc3c4)ccc6cc(O)ccc56,1,0,-12.5,19.2139163
42,C[C@H]4[C@H](c1ccc(O)cc1)[C@H](c3ccc(OCCN2CCCCCC2)cc3)Oc5ccc(O)c(F)c45,1,0,-11.3,23.35215831
43,OC(=O)COc3ccc(C(Cc1ccccc1)c2ccc(O)cc2)cc3,1,0,-9.8,13.31946969
44,Oc5ccc(c2sc1cc(O)ccc1c2C(=O)c4ccc(NCCN3CCCCC3)cc4)cc5,1,0,-10.8,26.03620124
45,Oc6ccc5c(c1cccc2ccccc12)c(C(=O)c4ccc(c3ccccc3)cc4)oc5c6,1,0,-10.4,14.11944795
46,Oc6ccc5C3=C(c2ccc(OCCN1CCOCC1)cc2)C(=O)CCC3(Cc4ccccc4)Cc5c6,1,0,-8.6,31.04430914
47,CN(CCCc1ccc(Cl)cc1)c5nc(NCCc2ccc(O)cc2)nc(N4CCN(Cc3cccnc3)CC4)n5,1,0,-9.1,48.91805029
48,CC/C(=C(\c1ccc(I)cc1)c3ccc(OCCN2CCCC2)cc3)c4ccccc4,1,0,-8.5,18.5493896
49,CCC3=C(c1ccc(O)cc1)C(C(=O)Nc2ccc(OCCN(C)C)cc2)c4cc(O)ccc34,1,0,-7.5,33.22416687
50,Oc6ccc5c(ccc4cc1ccc(O)cc1c(c3ccc(OCCN2CCCCC2)cc3)c45)c6,1,0,-8.7,20.14598513
51,Oc3ccc(S(=O)(=O)N(c1ccccc1)c2ccccc2)cc3,1,0,-10,7.999003649
52,C[C@]45CC[C@H]1[C@@H](CC=C2[C@H]3CC[C@@]12CCC3=O)[C@@H]4CC[C@@H]5O,1,0,-7.2,3.819756031
53,Oc4ccc3cc(c1noc2cc(O)ccc12)ccc3c4,1,0,-9.4,6.23190999
54,CN(C)C(=O)\C=C\c4ccc(N2CCc1cc(O)ccc1C2c3ccccc3)cc4,1,0,-8.5,14.7024014
55,Oc3ccc(c2cc(Br)c1cc(O)ccc1n2)cc3,1,0,-7,5.04959178
56,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3C4CCCC3CC4)cc5)cc6,1,0,-12.7,24.76107025
57,Oc1ccc3c(c1)oc4c(=O)c2c(O)cc(O)cc2oc34,1,0,-7.8,5.597553492
58,Oc5ccc(C1=c4ccc3=CC=C2CCCC1C2n34)cc5,1,0,-8.7,5.12022543
59,CC(=O)c5ccc4N[C@@H](c2cc1OCOc1cc2Br)[C@H]3CC=C[C@H]3c4c5,1,0,-9,8.092632771
60,O/N=C/c2ccc(c1ccc(O)cc1)c3ccoc23,1,0,-9.2,6.014091253
61,CC(C)N(CCOc3ccc(C(=C1CCCCC1)c2ccc(O)cc2)cc3)C(C)C,1,0,-10.1,17.60775447
62,CCC(C(c1ccc(O)cc1)c3ccc(OCCN(C)CCO/N=C/c2ccc(O)c(C(N)=O)c2)cc3)c4ccccc4,1,0,-10.1,70.26056337
63,Oc5ccc(C4=C2c1ccc(O)cc1CC2(Cc3ccccc3)CCC4=O)cc5,1,0,-10.7,17.76638269
64,Oc6ccc5c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(c4ccc3ccccc3c4)sc5c6,1,0,-11.6,24.37414837
65,COc1ccccc1Cc3c(C(=O)c2ccccc2Cl)oc4cc(O)ccc34,1,0,-9.8,16.72846842
66,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3CC4CC3CO4)cc5)cc6,1,0,-10.3,24.28214478
67,CC[C@H](COc4ccc([C@@H]2Oc1ccc(O)cc1S[C@@H]2c3ccc(O)cc3)cc4)N5CCCC5,1,0,-10.9,23.69065428
68,CC(C)N5CCN(c4ccc(C(=O)c2c(c1ccc(O)cc1)sc3cc(O)ccc23)cc4)CC5,1,0,-8.8,28.62101936
69,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCCN3CCCCC3)cccc45,1,0,-9.7,74.62641215
70,Oc2ccc1C4=C(CCCOc1c2)c3ccc(O)cc3OC4c6ccc(OCCN5CCCCC5)cc6,1,0,-9.6,23.22202945
71,O=C5CCC4(Cc1ccccc1)Cc2c(ccc3[nH]ncc23)C4=C5c7ccc(OCCN6CCCCC6)cc7,1,0,-10.2,28.35284114
72,Oc5ccc4c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(C3CCCC3)sc4c5,1,0,-10.1,24.1460557
73,Oc5ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c4ccc(OCCN3CCS(=O)(=O)CC3)cc4)cc5,1,0,-11.1,23.61080694
74,Oc4ccc(c2nn1c(C(F)(F)F)cc(C(F)(F)F)nc1c2c3ccc(O)cc3)cc4,1,0,-8.9,17.07075667
75,CC(C)N5CCN(c4ccc(C2N(c1cccc(O)c1)CCc3cc(O)ccc23)cc4)CC5,1,0,-10.9,16.0652051
76,Oc5ccc(C3=C(c2ccc(OCCN1CCCC1)cc2)CCOc4cc(F)ccc34)cc5,1,0,-9.3,19.98051357
77,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3CC4CCC3CC4)cc5)cc6,1,0,-9.5,26.17614651
78,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3C4CCCC3CCC4)cc5)cc6,1,0,-12.3,35.71681643
79,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3C4CCC3CC4)cc5)cc6,1,0,-11.1,22.25055838
80,CC5(c2ccc(OCCN1CCCCC1)cc2)N(c3cccc(O)c3)CCc4cc(O)ccc45,1,0,-10.6,22.38921547
81,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCN3CCCCC3)ccc45,1,0,-10.4,40.41759276
82,Oc5ccc(c2sc1cc(O)ccc1c2C(=O)c4ccc(SCCN3CCCCC3)cc4)cc5,1,0,-11.7,25.32579565
83,Oc3ccc(c2cccc(c1ccc(O)cc1)c2)cc3,1,0,-8.9,5.836380005
84,Oc4ccc([C@H]2Sc1cc(O)ccc1O[C@H]2CCCN3CCCCC3)cc4,1,0,-6.9,17.27899909
85,CCCN(c1c(CC)cccc1CC)S(=O)(=O)c2ccc(O)c(C)c2,1,0,-8,12.01505566
86,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN4CC3CC3C4)cc5)cc6,1,0,-12.4,20.30349016
87,Oc3ccc(c2coc1cc(O)cc(O)c1c2=O)cc3,1,0,-8.9,5.908658981
88,CN6CCN(CCOc5ccc([C@H]2Oc1cc(O)ccc1C4=C2c3ccc(O)cc3OCC4)cc5)CC6,1,0,-11.6,21.46955037
89,COc6ccc5C2CC[C@@]1(C)C(CC[C@@H]1O)C2[C@H](Sc4ccc(OCCN3CCCCC3)cc4)Cc5c6,1,0,-8.3,30.50301671
90,Oc5ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c4ccc(C3CCNCC3)cc4)cc5,1,0,-11.1,18.72061157
91,Oc4ccc(CCNc3nc(SCCCc1ccc(Cl)cc1)nc(N2CCNCC2)n3)cc4,1,0,-8.4,26.51972294
92,CN(C)CCOc5ccc([C@H]2Oc1cc(O)ccc1C4=C2c3ccc(O)cc3OCC4)cc5,1,0,-10.5,18.22332954
93,Oc5ccc(C4=C(c2ccc(OCCN1CCC1)cc2)c3ccccc3OCC4)cc5,1,0,-11.2,23.7152071
94,Oc5ccc4[C@@H](c2ccc(OCCN1CCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0,-10.3,17.37477684
95,Oc5ccc4C2=C(c1ccco1)C(=O)CCC2(c3ccccc3)Cc4c5,1,0,-7.6,9.400808096
96,Oc5ccc(c2nn1c(C(F)(F)F)cc(C(F)(F)F)nc1c2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0,-9.6,33.48857951
97,Oc5ccc4c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(c3ccsc3)sc4c5,1,0,-11.4,16.78072
98,Cc3c(c1ccc(O)cc1)nn(c2ccc(O)cc2)c3c5ccc(CCCN4CCCCC4)cc5,1,0,-8.5,26.60285091
99,Oc2ccc1C4=C(CCOc1c2)c3ccc(O)cc3O[C@@H]4c6ccc(OCCN5CCCCCC5)cc6,1,0,-10.4,21.65543246
100,C[C@H](c1ccccc1Br)Nc2cc(ccc2Br)Br,0,1,-7.3,4.757757902
101,Cc1cc(c(c(c1)Cl)NC(=S)N(C)[C@H](C)c2ccc(cc2)F)C,0,1,-7.7,9.673834324
102,Cc1cc(c(c(c1)C)NS(=O)(=O)c2cccc3c2nccc3)C,0,1,-8.4,6.667598724
103,CCCC1=C([C@@]2(c3cc(ccc3NC2=O)Br)C(=C(O1)N)C(=O)OCc4ccccc4)C(=O)OCC,0,1,-7.2,26.02163363
104,c1ccc2c(c1)[C@H](CCS2)Nc3cc(cc(c3)F)F,0,1,-8.6,4.812592268
105,C[NH+]1CCN(CC1)C(=O)c2ccc(c(c2)NC(=O)c3ccc(cc3)SC(F)(F)F)OC,0,1,-7.1,17.4958334
106,Cn1c2c(cn1)[C@@H](CCC2)Nc3cccc(c3)I,0,1,-8.1,4.79976368
107,Cc1ccc(c(c1)[C@@H](C)Nc2ccc3cn[nH]c3c2)C,0,1,-8.4,5.70831728
108,COC(=O)c1cc(ccc1Cl)NC(=S)N2CCCC3=C[C@@H]4C[C@H]([C@H]32)C[NH+]5[C@H]4CCCC5,0,1,-7.3,16.776335
109,c1ccc(cc1)c2ccc(cc2)c3cn(nn3)C[C@H]4C[C@H]5CC[NH+]4C[C@@H]5C(=O)NC6CCCCC6,0,1,-9.4,19.31942344
110,Cc1cc(oc-2cc(=[NH+]C(=S)NNC(=O)[C@H](C)Oc3ccc(cc3)C(C)(C)C)ccc12)O,0,1,-9.4,21.76801181
111,C[NH2+][C@H](Cc1cccc(c1)Br)c2ccc(c(c2)Br)OC,0,1,-7.9,6.816093206
112,C[C@H](c1ccccc1)/[NH+]=C(/NC2CCCCC2)\[S-],0,1,-7.5,5.863766432
113,Cc1ccc(cc1)c2nc(on2)C[NH+]3CCC[C@@H](C3)C(=O)NCCSCc4ccccc4F,0,1,-7.8,25.32289624
114,Cc1ccc2=[NH+]CC(=c2c1)CCNC(=O)c3ccccc3NC(=O)C4=C(OCCS4)C,0,1,-9.9,19.92606449
115,Cc1cc[nH+]c(c1)N[C@@H](c2ccc3cccnc3c2O)c4c(cccc4Cl)Cl,0,1,-9.5,12.25533938
