,Unnamed: 0,can,active,decoy,other,score,time
0,0,Cc5cn(c4cc(NC(=O)c3ccc(C)c(Nc2nccc(c1cccnc1)n2)c3)cc(C(F)(F)F)c4)cn5,1,0,0,-10.866666666666665,38.82893371582031
1,1,Cn4c(=O)c(c1c(Cl)cccc1Cl)cc5cnc(Nc3ccc(OC2OC(CO)C(O)C(O)C2O)cc3)nc45,1,0,0,-11.233333333333334,41.925668478012085
2,2,COc6cc5[nH]nc(c4nc3cc(N2CCC(N1CCCCC1)CC2)ccc3[nH]4)c5cc6OCc7ccccc7,1,0,0,-10.233333333333334,33.853827238082886
3,3,Cc5ccc(n1nc(C(C)(C)C)cc1NC(=O)Nc3ccc(OCCN2CCOCC2)c4ccccc34)cc5,1,0,0,-8.533333333333333,41.58905053138733
4,4,Cc2ccc(NC(=O)N1CCCCC1)cc2Nc4nccc(c3cccnc3)n4,1,0,0,-10.066666666666668,20.407997369766235
5,5,CC(C)(C)N2CN(c1ccc(Cl)cc1)C(N)=c3cnnc23,1,0,0,-7.666666666666667,13.591758489608765
6,6,CN5CCC(c4nc(Nc1ccc(P(C)(C)=O)cc1)c3ncn(/C=C/c2c(C)cccc2C)c3n4)CC5,1,0,0,-10.133333333333333,29.133355855941772
7,7,Cc2ccc(NC(=O)c1cccc(C(F)(F)F)c1)cc2C(=O)Nc3cncnc3,1,0,0,-9.299999999999999,21.583986282348633
8,8,CN(C)[C@@H]5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(Nc2nccc(c1cncnc1)n2)c3)cc4C(F)(F)F)C5,1,0,0,-10.1,52.73160219192505
9,9,Nc3ncnc4n(c1ccccc1)cc(c2ccccc2)c34,1,0,0,-9.533333333333333,13.30258822441101
10,10,COc4cc(Nc2c(C#N)cnc3cc(c1coc(CN(C)C)c1)c(OC)cc23)c(Cl)cc4Cl,1,0,0,-8.266666666666666,28.107303380966187
11,11,CN5CCN(Cc4ccc(NC(=O)c3ccc(C)c(C#Cc1cnc2ncccn12)c3)cc4C(F)(F)F)CC5,1,0,0,-9.799999999999999,38.23962998390198
12,12,Clc3ccc(c2cnc(NC(=O)c1cccs1)s2)cc3,1,0,0,-7.7,12.974931478500366
13,13,Cc1nc(N)sc1c3ccnc(Nc2cccc(N(=O)=O)c2)n3,1,0,0,-8.933333333333332,17.621248960494995
14,14,COc5cc(Nc3c(C#N)cnc4cc2cc(OCCN1CCOCC1)c(OC)cc2cc34)c(Cl)cc5Cl,1,0,0,-9.433333333333334,31.769769191741943
15,15,OCc3ccc(C(=O)N/N=C/c2cc(C(O)=O)c(Nc1ccc(I)cc1F)c(F)c2F)o3,1,0,0,-9.333333333333334,31.340476512908936
16,16,COc4cc3nccc(Oc2ccc1c(C(N)=O)cccc1c2)c3cc4OC,1,0,0,-10.433333333333332,17.839881896972656
17,17,COC(=O)CN4CCC(n2cc(c1cccc(O)c1)c3c(N)ncnc23)CC4,1,0,0,-8.3,24.01812481880188
18,18,Cc5cc(c1cccc2[nH]ccc12)cc6nnc(Nc4ccc(S(=O)(=O)NCCN3CCCC3)cc4)nc56,1,0,0,-10.166666666666666,35.12431526184082
19,19,COCCOc4cc3ncc(C#N)c(N[C@@H]1C[C@H]1c2ccccc2)c3cc4OC,1,0,0,-8.299999999999999,23.698663234710693
20,20,Cc2ccc(C(=O)Nc1cccc(C(F)(F)F)c1)cc2C#Cc3cnc4cccnn34,1,0,0,-10.800000000000002,22.719653367996216
21,21,CN5CCN(Cc4ccc(NC(=O)c3ccc(C)c(C#Cc1cnc2ccccn12)c3)cc4C(F)(F)F)CC5,1,0,0,-10.633333333333333,37.450196981430054
22,22,O=C(NC1CC1)Nc2c[nH]nc2c5nc4cc(CN3CCOCC3)ccc4[nH]5,1,0,0,-9.033333333333333,19.97425651550293
23,23,O=C(Nc2ccc(N1CCOCC1)cc2)\C=C\c5ccc(\C=c4/oc3ccccc3[nH]c4=O)s5,1,0,0,-9.700000000000001,25.649071216583252
24,24,COc5cc(Nc3c(C#N)cnc4cc(c2coc(CN1CCN(C)CC1)c2)c(OC)cc34)c(Cl)cc5Cl,1,0,0,-9.0,31.88866400718689
25,25,CP(C)(=O)c5ccc(Nc3ncnc4n(/C=C/c1cccc2[nH]ccc12)cnc34)cc5,1,0,0,-10.4,21.360087156295776
26,26,C7CCN(C6CCN(c5ccc4[nH]c(c2[nH]nc3ccc(Oc1ccccc1)cc23)nc4c5)CC6)CC7,1,0,0,-11.5,22.463532209396362
27,27,CN(Cc1ccccc1NC(=O)Nc4ccc(C)c(Nc3nccc(c2cccnc2)n3)c4)C5CCCCC5,1,0,0,-9.533333333333333,42.894184589385986
28,28,CN(CCN1CCOCC1)S(=O)(=O)c5ccc(Nc4nnc3cc(c2cc(O)ccc2Cl)cc(C)c3n4)cc5,1,0,0,-10.9,40.5896360874176
29,29,CC(C)(C)NC(=O)Nc6ccc5[nH]nc(c4nc3cc(N2CCC(N1CCCCC1)CC2)ccc3[nH]4)c5c6,1,0,0,-11.5,30.447417736053467
30,30,CCn3cnc4c(Nc1ccc(P(O)(=O)CP(O)(O)=O)cc1)nc(C2CCC(N)CC2)nc34,1,0,0,-9.133333333333333,40.00336313247681
31,31,CN5CCCN(Cc4ccc(NC(=O)c3ccc(C)c(C#Cc1cnc2ccccn12)c3)cc4C(F)(F)F)CC5,1,0,0,-9.766666666666667,37.07067656517029
32,32,CCN4CCN(Cc3ccc(NC(=O)Nc2ccc(Oc1cc(NC)ncn1)cc2)cc3C(F)(F)F)CC4,1,0,0,-9.266666666666667,41.92446231842041
33,33,C7CCN(C6CCN(c5ccc4[nH]c(c2n[nH]c3ccc(NCc1nccs1)cc23)nc4c5)CC6)CC7,1,0,0,-11.066666666666668,29.113893032073975
34,34,CNC(=O)c4cc(Oc3ccc(NC(=O)Nc2ccc(CN1CCN(C)CC1)cc2)cc3)ccn4,1,0,0,-10.133333333333333,38.33525490760803
35,35,c1n[nH]cc1c4cnc3ncc(c2cn[nH]c2)n3c4,1,0,0,-7.866666666666667,11.545252561569214
36,36,Cc2ccc1[nH]ncc1c2\C=C\n4cnc5c(Nc3ccc(P(C)(C)=O)cc3)ncnc45,1,0,0,-10.9,22.545785903930664
37,37,CNc5ncc4CN(c3cc(NC(=O)c2cc(n1cnc(C)c1)cc(C(F)(F)F)c2)ccc3C)C(=O)N(C)c4n5,1,0,0,-10.533333333333333,38.90989542007446
38,38,CC(C)COC(=O)Nc5ccc(c4cnc3c(c2ccc(N1CCN(C)CC1)cc2)cnn3c4N)cc5,1,0,0,-10.366666666666667,32.59536266326904
39,39,O=C(Nc6ccc5[nH]nc(c4nc3cc(N2CCC(N1CCCCC1)CC2)ccc3[nH]4)c5c6)c7ccco7,1,0,0,-11.033333333333333,27.901120901107788
40,40,Cc4ccc(C(=O)Nc3cc(n2cnc(CN1CCCC1)c2)cc(C(F)(F)F)c3)cc4C#Cc5cnc6ccccn56,1,0,0,-10.766666666666666,43.06507730484009
41,41,CN5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(Nc2nccc(c1cncnc1)n2)c3)cc4C(F)(F)F)CC5,1,0,0,-9.6,47.521820068359375
42,42,Cc4cc(c1c(Cl)cccc1Cl)cc5nnc(Nc3ccc(OCCN2(=O)CCCC2)cc3)nc45,1,0,0,-11.966666666666669,28.480390548706055
43,43,COc4cc(Nc2c(C#N)cnc3cc(OCCC1CCN(C)CC1)c(OC)cc23)c(Cl)cc4Cl,1,0,0,-9.366666666666667,30.932753801345825
44,44,CCSc4nc(Nc1cccc(Cl)c1)c3cnn(CC(Cl)c2ccccc2)c3n4,1,0,0,-8.766666666666667,23.464412450790405
45,45,CN5CCN(Cc4ccc(C(=O)Nc3ccc(C)c(C#Cc1cnc2ccccn12)c3)cc4C(F)(F)F)CC5,1,0,0,-9.333333333333334,39.87180805206299
