,Unnamed: 0,can,active,decoy,other,score,time
0,0,Clc4cccc(N3CCN(CCCCNC(=O)c2cccc(C#Cc1ccccc1)c2)CC3)c4Cl,1,0,0,-10.0,41.223079442977905
1,1,CCCN(CCC)C1CCC(C#C[Si](C)(C)C)=CC1,1,0,0,-10.0,0.05667400360107422
2,2,CCCN(CCN3CCN(c2ccc1ccccc1c2)CC3)C5CCc4ccc(O)cc4C5,1,0,0,-11.5,28.701785802841187
3,3,Cc2[nH]c1ccccc1c2CN4CCC(O)(c3ccc(Cl)cc3)CC4,1,0,0,-8.7,16.076050281524658
4,4,CC(C)(C)c4nc(N3CCN(CCCCn2ccc(C1CCC1)nc2=O)CC3)cc(C(F)(F)F)n4,1,0,0,-10.0,39.8370156288147
5,5,CCCN(CCC)[C@H]3CCc2nn1ccccc1c2C3,1,0,0,-6.5,14.14699101448059
6,6,CCN1CC[C@@H]3[C@@H](C1)c2cc(F)ccc2N3c4ccc(F)cc4,1,0,0,-8.0,11.46454930305481
7,7,COc3c(C(=O)NCCN2CCN(c1cccc(Cl)c1Cl)CC2)cc(Br)c4ccccc34,1,0,0,-9.5,27.4664945602417
8,8,C2CC(Nc1ncccn1)CCC2CCN4CCN(c3ccccn3)CC4,1,0,0,-9.0,21.198244333267212
9,9,COc3c(C(=O)NC[C@H]1CCCN1Cc2ccccc2)cc(Br)c4ccccc34,1,0,0,-9.2,22.507789850234985
10,10,CCCN(CCCCNC(=O)c2ccc1ccccc1c2)[C@H]4CCc3nc(N)sc3C4,1,0,0,-10.3,35.39043736457825
11,11,OC(CNC(=O)c2cc1ccccc1o2)N4CCN(c3cccc(Cl)c3Cl)CC4,1,0,0,-9.8,23.18254041671753
12,12,Oc4ccc(C3=CCC[C@@H](CN2CCC(c1ccccc1)=CC2)C3)cc4,1,0,0,-10.0,18.67566680908203
13,13,CSc1ccccc1N4CCN(CCCNC(=O)c2cnn3ccccc23)CC4,1,0,0,-9.2,26.00401997566223
14,14,Cc3ccc(CC2(O)CCN(CCCC(=O)c1ccc(F)cc1)CC2)cc3,1,0,0,-9.8,23.438166856765747
15,15,CCCN(CCN3CCN(c1cccc2ncccc12)CC3)[C@H]5CCc4nc(N)sc4C5,1,0,0,-10.7,27.55448007583618
16,16,Cc6ccc5c(c4nnc(SCCCN3CCc2ccc1oc(C(F)(F)F)nc1c2CC3)n4C)cccc5n6,1,0,0,-14.3,44.694993019104004
17,17,CCN2CCN(C)CC(NC(=O)c1cc(Br)c(NC)nc1OC)C2,1,0,0,-7.0,17.440160274505615
18,18,COc1ccccc1N4CCN(CCCCNc3ccc2ccccc2n3)CC4,1,0,0,-9.3,26.710088968276978
19,19,COc1ccccc1N3CCN(CCCCNC(=O)\C=C\c2ccsc2)CC3,1,0,0,-8.2,30.02113389968872
20,20,Fc5ccc(N3C2CN(CCCCCCN1C(=O)CNC1=O)CCC2c4cc(F)ccc34)cc5,1,0,0,-9.6,31.46930241584778
21,21,Clc5cccc(N4CCN(CCCNC(=O)C2c1ccccc1c3ccccc23)CC4)c5Cl,1,0,0,-9.6,28.24881935119629
22,22,COc6ccc5N4CCN(CCC3CCC(NC(=O)c1ccnc2ccccc12)CC3)CC4CCc5c6,1,0,0,-10.8,34.80834126472473
23,23,CN4CCN(c2cn1cccc1sc3ccc(Br)cc23)CC4,1,0,0,-7.2,10.682856321334839
24,24,CCCN(CCC)C3CCc2ccc1NC(=O)Cc1c2C3,1,0,0,-7.8,13.16269302368164
25,25,CCCN(CCC)C3CCc2cc1CCOc1cc2C3,1,0,0,-7.6,12.941201210021973
26,26,CN4CCN(c2nc1ccccc1oc3ccc(Cl)cc23)CC4,1,0,0,-8.0,11.580220460891724
27,27,Clc5ccc(C(N3CCN(CCCCn2c(=O)c1ccccc1c2=O)CC3)c4ccccc4)cc5,1,0,0,-10.0,38.3694806098938
28,28,Fc5ccc(C(=O)CCCN1CCc3c(C1)c2cc(F)ccc2n3c4ccc(F)cc4)cc5,1,0,0,-10.6,24.279874324798584
29,29,Clc5cccc(N4CCN(CCN1C[C@@H]3CC[C@H]1Cc2ccccc2C3)C4=O)c5,1,0,0,-10.1,20.499263525009155
30,30,CN4CCCN(c2cn1cccc1sc3ccc(Cl)cc23)CC4,1,0,0,-8.0,11.0851571559906
31,31,FC(F)(F)S(=O)(=O)Oc3cccc([C@@H]2CCCN(CCc1ccccc1)C2)c3,1,0,0,-10.4,21.314234256744385
32,32,Clc6cccc(N5CCN(CCC4CCC(NC(=O)C23CC1CC(CC(C1)C2)C3)CC4)CC5)c6Cl,1,0,0,-12.2,32.805567264556885
33,33,C3CN(c1ccccc1)[C@@H]2Cc4c[nH]c5cccc(C2O3)c45,1,0,0,-8.6,10.689975023269653
34,34,COc1ccccc1N4CCN(CCCCNC(=O)c3ccc(c2cccc([18F])n2)cc3)CC4,1,0,0,-9.8,37.34195375442505
35,35,FC(F)(F)c4cccc(N3CCN(CCCCN2Cc1ccccc1C2=O)CC3)c4,1,0,0,-9.5,25.036250114440918
36,36,Fc5ccc(n3c2CCN(CCCCCCNC(=O)c1ccccc1)Cc2c4cc(F)ccc34)cc5,1,0,0,-10.2,39.40837121009827
