,Unnamed: 0,Unnamed: 0.1,true_index,SPLIT,QED,logP,TPSA,HBD,HBA,valence,maxCharge,minCharge,jIndex,molWt,can,score,time
0,67830,67830,250759,train,0.5785899535007525,0.8083999999999996,96.97,2,6,94,0.3158683215773602,-0.4653525001725116,2.401250577090213,258.30299999999994,CCOC(=O)CSc1nc(NC(=O)CC)n[nH]1,-7,199
1,67831,67831,327902,train,0.8823582262252954,3.463020000000002,42.09,1,2,94,0.3394671948156185,-0.4653623226254416,2.3583845167766087,308.175,COC(=O)c1c(Cc2ccccc2Br)c[nH]c1C,0,0
2,67832,67832,1089511,train,0.798979946516466,3.710440000000003,59.81,1,4,118,0.2581695725850098,-0.3067142809423976,1.924171076216548,308.3850000000001,CCCn1nccc1NC(=O)c1cc2ccc(C)cc2nc1C,0,0
3,67833,67833,515512,train,0.7191044855164834,3.546080000000001,80.52,1,5,126,0.4161002218340019,-0.3824080521375831,2.2055853855066143,347.275,N#Cc1c(-c2ccccc2F)nn(-c2cc(C(F)(F)F)ccn2)c1N,0,0
4,67834,67834,363181,train,0.8050221935980674,2.424300000000001,38.33,1,2,98,0.2240391023042756,-0.4917627073406256,1.6453386873299878,255.31699999999995,O=C(Cc1ccccc1)NCCOc1ccccc1,0,0
5,67835,67835,106825,train,0.7815622468195611,1.8318,56.59,0,6,122,0.23270713494316106,-0.4967658832001482,1.6437994353587235,333.4130000000001,COc1ccc(-n2ccnc2SCC(=O)N2CCOCC2)cc1,0,0
6,67836,67836,1534810,train,0.8592237413598143,2.3329200000000005,54.46000000000001,1,5,106,0.40989105616181215,-0.4436874454390021,1.9901201642418047,283.39699999999993,Cc1nc(C2CN(C(=O)OC(C)(C)C)CCN2)cs1,0,0
7,67837,67837,509053,train,0.7343338349516686,1.2959999999999998,49.85000000000001,0,3,118,0.2264701456622653,-0.3777742108868979,2.0918770099489743,294.3950000000001,CCN(CC)C(=O)C1CC=CCC1C(=O)N1CCOCC1,0,0
8,67838,67838,1337427,train,0.8208371327213237,2.3469999999999995,54.12,2,2,102,0.2299046567812795,-0.4786653545412598,2.076251194393267,272.27899999999994,C#CCOc1cc(F)ccc1NC(=O)Cc1ccc[nH]1,0,0
9,67839,67839,97395,train,0.7482860976586616,2.4818,69.56,3,3,102,0.26552599434149443,-0.5075294794769996,2.292907678468099,338.13199999999995,O=C1Nc2ccc(F)cc2C1(O)c1cc(Br)ccc1O,0,0
10,67840,67840,454849,train,0.9196551705521392,3.2045000000000017,51.22,1,4,106,0.27028698026246584,-0.4960216548667848,2.1815555204561248,290.388,COc1ccccc1-c1nc(C(=O)NCC(C)C)cs1,0,0
11,67841,67841,1555041,train,0.6906656480400792,0.09539999999999982,95.5,3,4,106,0.2511083253804345,-0.3942540011463069,2.97673800225317,286.353,CCNS(=O)(=O)c1cccc(C(=O)NC(C)CO)c1,0,0
12,67842,67842,1067725,train,0.8668209544628203,1.9137999999999995,85.59,1,7,116,0.2395488989663094,-0.3060225027199743,1.6517561539962589,318.40599999999995,CC(Sc1nnc2n1CCCCC2)C(=O)Nc1ncccn1,0,0
13,67843,67843,891147,train,0.841438413110279,2.7619000000000016,54.78,0,4,128,0.4097802224776366,-0.4436888134557033,1.9907376226023104,321.42100000000005,CN(C)C(=O)c1cccn1C1CCN(C(=O)OC(C)(C)C)CC1,0,0
14,67844,67844,1211380,train,0.891986824082897,1.1148,88.93,1,6,124,0.22404840295801687,-0.3665230460929741,1.57147375433418,318.38100000000014,CC(C)c1n[nH]c(C2CN(C(=O)CCn3ccnc3)CCO2)n1,0,0
15,67845,67845,161671,train,0.7869614677848544,3.463220000000001,72.18,1,5,124,0.2949300716832968,-0.3186390666852938,1.9961045939821576,343.81800000000015,CCc1ccc(Cl)c(CC)c1NC(=O)c1nc2nccc(C)n2n1,0,0
16,67846,67846,803151,train,0.7494376559936254,2.654100000000001,66.81,1,4,130,0.256281636440775,-0.34159957464040513,1.531144248364304,341.3900000000001,CN(CCCc1cc(-c2cccc(F)c2)n[nH]1)C(=O)c1cnn(C)c1,0,0
17,67847,67847,633466,train,0.8504508552486181,2.957600000000001,41.13,2,1,98,0.3147740737419088,-0.33542918764943763,1.738298255548843,250.31699999999992,O=C(NCc1cccc(F)c1)NC1CCCCC1,0,0
18,67848,67848,667336,train,0.8678368966880816,2.0916,53.94,1,5,104,0.22473634047337568,-0.36711162804982056,1.5630288637740408,273.31500000000005,Fc1cccc(NC2CCN(c3ncccn3)CC2)n1,0,0
19,67849,67849,583787,train,0.8904186182116535,2.9396000000000013,71.01,1,5,112,0.3232301158457476,-0.3232079409611212,1.8670872746940448,305.407,CCCCc1nnc(NC(=O)N(C)Cc2ccncc2)s1,0,0
20,67850,67850,716969,train,0.6704511901355537,2.7258000000000004,70.23,3,2,124,0.3187675878700109,-0.3451332836604857,2.6243781139721842,335.8350000000001,C#CCNC(=O)CCNC(=O)Nc1c(CC)ccc(Cl)c1CC,0,0
21,67851,67851,756452,train,0.8510004350164233,2.361800000000001,67.45,1,5,128,0.3225875726634336,-0.4936869441954297,1.8296001310391217,333.3630000000001,COC(=O)C1CCCN1Cc1c[nH]nc1-c1ccc(OC)c(F)c1,0,0
22,67852,67852,592267,train,0.8627059682651613,2.747320000000001,49.58,0,4,132,0.2297102882069305,-0.3614085395748949,1.3704718303225345,339.43900000000014,Cc1cc(CN2CCN(C(=O)C3CCCc4ccccc43)CC2)no1,0,0
23,67853,67853,855944,train,0.899938997305248,2.0681,89.35,1,5,122,0.25620687541766884,-0.4966828582465954,2.1125784114781316,317.345,COc1ccc(OC)c(NC(=O)CC2C(=O)N=C(C)N=C2C)c1,0,0
24,67854,67854,1296278,train,0.9073202793108726,2.8983000000000008,72.19,2,2,114,0.2503115867977981,-0.3655322280836801,2.1649161962172196,324.714,NC(=O)c1ccc(Cl)cc1NC(=O)Cc1ccc(F)c(F)c1,0,0
25,67855,67855,118144,train,0.8035352927772546,2.1251999999999995,76.88,1,6,106,0.2780349952645882,-0.2964107217424685,2.149447142019871,300.34300000000013,CCn1nc(C(=O)Nc2nccs2)c2ccccc2c1=O,0,0
26,67856,67856,905183,train,0.9468977833391036,2.7195000000000014,60.45,1,5,110,0.27047295091732265,-0.4861468564007737,1.8428494890319835,304.3710000000001,CC(C)NC(=O)c1csc(-c2ccc3c(c2)OCCO3)n1,0,0
27,67857,67857,914588,train,0.7873265616826391,-0.3631999999999995,81.95,2,7,116,0.13372638268921186,-0.3933830816730808,1.6860322751394683,294.355,OCC1(O)CCN(c2cc(N3CCOCC3)ncn2)CC1,0,0
28,67858,67858,606702,train,0.8455359856574884,3.350220000000002,46.34,0,3,110,0.29252014799725795,-0.3507768672051245,1.7620988430507047,284.3590000000001,CCc1ccc(CN(C(=O)c2cc(C)no2)C2CC2)cc1,0,0
29,67859,67859,64233,train,0.8519179433068272,1.1510999999999998,66.48,1,3,106,0.24027153313184416,-0.3548057339546321,2.996671133217884,284.38100000000014,CCNC(=O)CN(c1ccc(CC)cc1)S(C)(=O)=O,0,0
30,67860,67860,1259047,train,0.6547668797373158,2.749420000000001,64.35,1,6,118,0.3561071274628429,-0.4612733758005651,2.501317988057146,320.4140000000001,CCOC(=O)c1cc(-c2cc(C)ccc2SC)nn1CCO,0,0
31,67861,67861,739195,train,0.73263775193296,2.1915000000000004,68.52,1,5,112,0.2711903288118588,-0.4917068875944633,1.5166103595754603,316.7480000000001,O=C(NCCOc1cccc(Cl)c1)c1cn2cccnc2n1,0,0
32,67862,67862,404413,train,0.8608241469852946,1.6406999999999996,82.27000000000002,2,3,130,0.222455304823094,-0.36088985624139575,1.5827478028756392,349.456,CS(=O)(=O)NC1CCCN(C(=O)CCc2c[nH]c3ccccc23)C1,0,0
33,67863,67863,836209,train,0.8405742042340272,0.8638999999999997,50.6,0,5,118,0.2481374166129305,-0.3748714056308751,1.6232623689237469,302.3780000000001,COCC(=O)N1CCN(Cc2nc3ccccc3n2C)CC1,0,0
34,67864,67864,699671,train,0.7903930753492573,1.98822,69.63,0,7,96,0.2230483865389608,-0.3396531993779705,1.7093756086485612,265.3419999999999,Cc1nc(CSc2nnc3n2CCCCC3)no1,0,0
35,67865,67865,297168,train,0.9268037155331792,2.256,49.41,1,2,92,0.2435135864838217,-0.3364496189000409,2.561283464425375,299.168,CCC(=O)N(C)CC(=O)Nc1ccccc1Br,0,0
36,67866,67866,1133809,train,0.8811519397668394,2.3182,90.38,2,5,112,0.2916360070722876,-0.4967444551037841,2.2531742078526755,289.3350000000001,COc1cccc(-c2noc(C(=O)NCC(C)C)c2N)c1,0,0
37,67867,67867,82829,train,0.7977133335490534,3.055000000000001,71.09,2,3,138,0.2426224808088097,-0.35017203657283696,1.9261329655669643,345.487,CCC(C)C(NC(=O)C1CCC(C)CC1)C(=O)NCc1cccnc1,0,0
38,67868,67868,1212283,train,0.910801869835414,3.8545000000000025,38.33,1,2,116,0.2572351798441079,-0.4967681970116442,2.2022366781144807,305.324,CCC(NC(=O)c1c(F)cccc1F)c1ccc(OC)cc1,0,0
39,67869,67869,769942,train,0.8812682166487508,2.4503000000000004,79.03,2,3,128,0.260543186078922,-0.3450403485109789,1.6182526208814003,340.3540000000001,O=C1CCCc2[nH]c(=O)c(C(=O)NC3CCc4cc(F)ccc43)cc21,0,0
40,67870,67870,166881,train,0.9425604544844954,3.5132200000000013,49.41,1,2,118,0.2552451054202465,-0.32164327328191217,1.8231617201662207,312.3440000000001,Cc1ccc(F)cc1NC(=O)c1cccc(N2CCCC2=O)c1,0,0
41,67871,67871,928339,train,0.9151967116756746,3.362400000000002,50.8,1,4,126,0.25474481159379275,-0.4899910472032346,1.970912026935817,326.39600000000013,CCOc1ccc(C2NC(=O)c3ccccc3N2C)cc1OCC,0,0
42,67872,67872,1109568,train,0.8478015020671832,3.3375200000000014,61.44000000000001,2,2,132,0.32163277079295793,-0.35889003320284185,1.991120145596652,339.439,CCN(Cc1ccccc1C)C(=O)Nc1ccc(CC(=O)NC)cc1,0,0
43,67873,67873,698688,train,0.7540421055288296,0.6368399999999996,84.07999999999998,2,4,100,0.3278277149662541,-0.4644672206086742,2.5447528272522173,253.30200000000002,CCOC(=O)C(C)NC(=O)Cc1c(C)n[nH]c1C,0,0
44,67874,67874,342566,train,0.7725953205363558,2.8637200000000007,76.27000000000002,2,4,124,0.4195118845414201,-0.4077037962670646,1.6094519825668925,329.33100000000013,Cc1ccc2oc(=O)n(CCNC(=O)Nc3ccc(F)cc3)c2c1,0,0
45,67875,67875,688345,train,0.7435013848902684,2.0095,61.36,3,2,106,0.41557974008262666,-0.3819605060074169,2.546881160873783,284.184,O=C(NCC(O)C(F)(F)F)Nc1cccc(F)c1F,0,0
46,67876,67876,842248,train,0.9124754651858856,1.85258,74.73,1,5,92,0.19013106195769885,-0.3963050866884627,2.4713145232755687,262.7,N#Cc1nnn(CCCO)c1-c1cccc(Cl)c1,0,0
47,67877,67877,1070972,train,0.8509793888239668,2.961400000000001,55.40000000000001,1,3,100,0.2697802200012145,-0.47362585797923,1.954956888002452,267.284,CC(=O)c1ccc2c(c1)NC(=O)C(c1ccccc1)O2,0,0
48,67878,67878,1271862,train,0.8953919475516623,2.6770000000000005,58.95,2,3,116,0.31479475285476194,-0.33759296692534296,1.5580292312158728,290.41100000000006,CCC1(CNC(=O)NC2CCCc3c2cnn3C)CCC1,0,0
49,67879,67879,1058449,train,0.7449744118045261,3.1618000000000013,63.91,0,6,130,0.23592884056406474,-0.34179667414257675,2.103519075145503,339.5090000000002,CC(C)C(Sc1nnnn1C(C)C)C(=O)N(C)C1CCCCC1,0,0
50,67880,67880,321177,train,0.4570272966035066,2.3464,72.91,0,5,124,0.3284565006281697,-0.4815666123977259,2.275956961093605,319.357,CCCCOC(=O)C(C)N1C(=O)COc2ccc(C(C)=O)cc21,0,0
51,67881,67881,288415,train,0.764909258853517,4.341100000000002,41.99,1,3,100,0.2668110347931317,-0.32113805071147056,1.9745743725140965,306.749,O=C(Nc1ccncc1)c1sc2cc(F)ccc2c1Cl,0,0
52,67882,67882,1507297,train,0.8263108726457159,1.7220999999999995,58.56,0,5,130,0.22759741037855705,-0.380597495973805,1.3041493333381544,330.43200000000013,O=C(C1CCOC1)N1CCC2(CC1)CCN(c1ncccn1)CC2,0,0
53,67883,67883,638291,train,0.8999692633747135,2.5592000000000006,50.36,2,3,108,0.31478551613100353,-0.3810790417865346,1.5359000499794906,292.404,O=C(NCC1CCOC1)NC1CCSc2ccccc21,0,0
54,67884,67884,1447475,train,0.8081528846551205,1.6357199999999996,58.22,1,4,100,0.3193842144912223,-0.4680525231725066,2.0355840430817977,251.33,COC(=O)CN(Cc1c[nH]nc1C)C1CCCC1,0,0
55,67885,67885,613297,train,0.7767445254560541,2.3514,57.01,0,5,100,0.3600998928263437,-0.4641893546286625,2.637923610891292,259.309,COC(=O)c1nnn(-c2ccccc2)c1C(C)(C)C,0,0
56,67886,67886,911059,train,0.8957635555999748,1.5485799999999998,68.6,1,4,118,0.32112254009604235,-0.3787927180008837,1.7618783047475586,302.378,CN(CCN1CCOCC1)C(=O)Nc1ccc(CC#N)cc1,0,0
57,67887,67887,1491437,train,0.7977274515049096,0.5312999999999997,54.90000000000001,0,5,120,0.2191256040579496,-0.3764882111964922,1.6876002097599736,305.3780000000002,CC(=O)N1CCOCC2(CN(Cc3ccncc3)CCO2)C1,0,0
58,67888,67888,550149,train,0.6752886055633393,2.4919000000000007,66.56,2,3,114,0.22271122541312915,-0.505795805208448,1.5974012877780064,296.37,Nc1cc(CCC(=O)N2CCc3ccccc3C2)ccc1O,0,0
59,67889,67889,386757,train,0.8948833784712922,2.763040000000001,79.03,2,3,118,0.2607945610859436,-0.3248067608768217,1.9673398351436409,310.35300000000007,Cc1cccc(NC(=O)c2cc3c([nH]c2=O)CCCC3=O)c1C,0,0
60,67890,67890,985359,train,0.8779577112557901,2.7773000000000003,67.43,2,3,122,0.38710485232371655,-0.4326079547981512,2.7442203929374624,314.332,CC(NC(=O)C(C)(C)C)C(=O)Nc1ccccc1OC(F)F,0,0
61,67891,67891,350363,train,0.8706659135635669,2.6961000000000013,48.0,0,4,114,0.2571585289932217,-0.4959243377090421,1.7620579839715789,299.326,COc1ccccc1C(=O)N(C)Cc1ccc2c(c1)OCO2,0,0
62,67892,67892,962469,train,0.7918505252545841,3.1386000000000016,46.61,0,4,120,0.32837448469740155,-0.4638058657940482,1.545759826390816,329.421,O=C(OCCc1ccccc1)C1CCCN1C(=O)c1cccs1,0,0
63,67893,67893,1479770,train,0.9432423489571256,3.2809000000000013,64.11,1,4,110,0.5726706695988482,-0.4035625401905632,2.2407133041354608,317.654,O=C(Nc1ccccc1OC(F)(F)F)c1ncncc1Cl,0,0
64,67894,67894,559639,train,0.8256854110945759,2.8332200000000007,80.32000000000002,2,5,114,0.2795083789705167,-0.4655041172901772,1.8697529499040857,337.78800000000007,Cc1csc(NC(=O)C2(C)Oc3ccc(Cl)cc3NC2=O)n1,0,0
65,67895,67895,161768,train,0.789864337385653,4.067400000000002,68.02000000000001,1,5,106,0.2927354187060761,-0.4509022453925485,1.5650851853202947,319.77300000000014,O=C(Nc1nnc(C2CC2)s1)c1cc2cc(Cl)ccc2o1,0,0
66,67896,67896,282924,train,0.8604682688991809,1.984,63.49,0,6,130,0.4098688033710961,-0.4436877093848418,1.482033055461123,331.42000000000013,CC(C)(C)OC(=O)N1CCN(CCn2cnc3cccnc32)CC1,0,0
67,67897,67897,680450,train,0.9233631391592776,1.8389,62.55,1,3,104,0.28738016961079643,-0.4592048457125604,2.2375951739103903,272.30400000000003,CN(C)C(=O)C(NC(=O)c1ccco1)c1ccccc1,0,0
68,67898,67898,739465,train,0.7092616513413579,1.9814,81.92999999999998,1,7,124,0.2577317070990385,-0.4837854295677134,1.4533744501711794,343.412,CCc1ccc(CNC(=O)COc2ccc(-n3cnnn3)cc2)s1,0,0
69,67899,67899,1303843,train,0.8116551726547373,2.189,69.64,2,3,132,0.25081426328178,-0.3909940943700177,1.4657447363809315,340.42300000000006,CN(CC(O)C1CC1)C(=O)CCNC(=O)c1ccc2ccccc2c1,0,0
70,67900,67900,757050,train,0.8799561270674334,2.9757200000000013,53.17,1,2,124,0.2604954700734685,-0.32582854266571504,2.236279530715956,322.40800000000013,CCC(C)N(CC#Cc1ccccc1)C(=O)c1ccc(C)[nH]c1=O,0,0
71,67901,67901,1358784,train,0.7159993196878643,2.8078200000000013,59.23,0,4,100,0.2961370815007457,-0.35076312230885515,2.042523389211397,267.288,Cc1cc(C(=O)N(C)c2cccc3ncccc23)on1,0,0
72,67902,67902,1148499,train,0.7895514101735274,2.1137,80.24000000000002,1,6,126,0.27493275046354404,-0.3777758793375076,1.5295409616510691,335.36700000000013,O=C(Nc1cc(N2CCOCC2)ncn1)c1ccc2ccccc2n1,0,0
73,67903,67903,1466084,train,0.6908613054838991,3.600340000000001,74.74000000000002,3,3,118,0.3232865093564973,-0.3212210897101266,1.7794564657100005,313.336,Cc1n[nH]c(C)c1NC(=O)Nc1ccc(F)c(-n2cccc2)c1,0,0
74,67904,67904,569807,train,0.8054122671599885,2.0123999999999995,72.35000000000002,2,3,98,0.22181843652340955,-0.3970062756675277,2.3250073163027243,267.76,CC1CCC(C(N)=O)CN1c1c(N)cccc1Cl,0,0
75,67905,67905,923415,train,0.9111918467429932,3.3701000000000025,53.17,1,2,130,0.2605245137201568,-0.3314321104307492,1.6557835661445477,340.398,O=C(c1cc2c([nH]c1=O)CCCC2)N1CCCC1c1ccc(F)cc1,0,0
76,67906,67906,697690,train,0.8120729827267248,1.4296999999999993,74.15,2,4,102,0.2390860621292101,-0.3825712600514756,2.5254975957495285,261.32500000000005,COCC(C)NC(=O)CNc1cc(C#N)ccc1C,0,0
77,67907,67907,836188,train,0.8774329892898372,2.513100000000001,80.91,1,5,116,0.2657784788949956,-0.4187160042970153,1.5640342059031729,300.3620000000002,O=C(Cc1nnc(-c2ccccn2)o1)NC1CCCCCC1,0,0
78,67908,67908,826823,train,0.6726652894809936,3.299240000000001,99.77,3,4,132,0.2575818996228815,-0.32606607172594376,1.7609736144394081,349.394,CC(=O)Nc1cc(C(=O)Nc2nc(-c3ccc(C)cc3)n[nH]2)ccc1C,0,0
79,67909,67909,198626,train,0.7886990385665625,3.2742600000000017,72.18,1,5,124,0.22424544745677946,-0.32475974564006066,1.721849541682317,343.81800000000015,Cc1ccc(NC(=O)CCc2c(C)nn3cnnc3c2C)c(Cl)c1,0,0
80,67910,67910,254173,train,0.9073884589884676,1.9271000000000005,66.48,1,3,116,0.25118951603067674,-0.34744319815513824,2.339683324658088,310.4190000000001,CC(C)(C)NC(=O)c1ccc2c(c1)CCCN2S(C)(=O)=O,0,0
81,67911,67911,278621,train,0.937913812803684,3.610380000000002,62.12,1,3,106,0.2551701384621577,-0.3800113018393319,2.160530858744756,300.745,COCc1cccc(C(=O)Nc2ccc(C#N)c(Cl)c2)c1,0,0
82,67912,67912,1032541,train,0.6887914886702728,3.6877000000000018,55.57,0,4,128,0.25597151432261883,-0.366843347763224,1.7025795511234731,336.39100000000013,COC(C(=O)N(C)Cc1cc(-c2ccccc2)no1)c1ccccc1,0,0
83,67913,67913,1402933,train,0.9332199262343568,1.87264,66.81,1,4,112,0.2715163406995153,-0.3328944774528456,1.6226345833703806,287.367,CCCc1cc(C(=O)N2CC(n3nc(C)cc3C)C2)[nH]n1,0,0
84,67914,67914,1101350,train,0.7308118941829932,1.4941999999999998,76.69999999999997,2,4,96,0.3263609003746168,-0.383416434028905,2.185708994718853,258.25600000000003,Nc1ncccc1Cn1c(=O)[nH]c2cccc(F)c21,0,0
85,67915,67915,1320276,train,0.8533810220882622,1.82412,67.15,2,4,124,0.21994339335373173,-0.3836063242742464,1.8543567288324097,319.38,Cc1nn(C)cc1CCC(=O)NCC(C)(O)c1ccc(F)cc1,0,0
86,67916,67916,1417754,train,0.8397815421409436,3.016160000000002,47.36,0,4,134,0.2438139051547828,-0.3733944821601925,1.4573388687009432,341.4550000000001,Cc1cc(C)n(CC(=O)N2CCC(OCc3ccccc3C)CC2)n1,0,0
87,67917,67917,779871,train,0.8087018424077463,2.2295,49.41,1,2,108,0.2514166790222834,-0.3405206206405933,2.6519456204594056,274.36400000000003,C=C(C)CN(CC)C(=O)C(C)NC(=O)c1ccccc1,0,0
88,67918,67918,194977,train,0.8499722727510047,3.3855000000000013,64.11,1,5,116,0.22603249113869,-0.4935995054837962,1.5285158324950814,317.4140000000001,CCOc1ccccc1CCC(=O)Nc1nnc(C2CC2)s1,0,0
89,67919,67919,471373,train,0.7549023259617568,2.8039000000000005,48.99,1,3,110,0.17640514248411518,-0.3445772601868221,1.5009950661281604,291.3540000000001,O=C(CN1CCc2ccccc2C1)c1ccc2nc[nH]c2c1,0,0
90,67920,67920,1537641,train,0.5327848030569164,1.6338,87.72,0,8,124,0.4355400431866249,-0.4228438944703344,1.8054453733909042,338.249,Cn1cc(C(=O)Oc2ccc(-n3cnnn3)cc2)c(C(F)(F)F)n1,0,0
91,67921,67921,45584,train,0.6927190477687556,3.1244000000000023,52.83,0,6,104,0.35808590149223024,-0.4938340505631255,2.057858103095812,290.344,CCOC(=O)c1cn2c(n1)sc1cc(OCC)ccc12,0,0
92,67922,67922,417056,train,0.8637764110507344,1.5333599999999994,78.51,2,3,126,0.2445680858990647,-0.3448273805024173,2.69885961918522,319.4050000000001,CC(=O)NC(C)C(=O)N(C)CC(=O)Nc1c(C)cc(C)cc1C,0,0
93,67923,67923,119449,train,0.6191264514753839,3.5119000000000016,72.28,1,5,118,0.1903970161147803,-0.2769637747098627,1.854774741238841,340.749,Fc1ccccc1-c1[nH]ncc1-c1nnnn1-c1ccc(Cl)cc1,0,0
94,67924,67924,1190446,train,0.8814527574022691,3.359300000000002,38.69,1,3,106,0.3870436128052782,-0.4883897996051444,2.105513379405596,280.27,OCc1ccccc1OCc1ccccc1OC(F)F,0,0
95,67925,67925,1382982,train,0.9057801900290824,3.4495000000000022,59.39,1,5,130,0.4097802169473321,-0.4436888134706757,1.8300884144622167,322.4530000000001,CC(C)(C)OC(=O)N1CCC(Nc2cnn(C(C)(C)C)c2)CC1,0,0
96,67926,67926,265139,train,0.9168282701115138,1.09938,79.82,1,6,118,0.3315922957039956,-0.3691897846349908,1.9505063239772158,310.357,Cn1c(NCC2(c3ccccc3)CC2)c(C#N)c(=O)n(C)c1=O,0,0
97,67927,67927,931503,train,0.8728808432413724,2.658100000000001,72.19,2,2,108,0.22830258998255065,-0.36938903468473067,2.074209966763664,347.212,NC(=O)Cc1ccccc1NC(=O)Cc1cccc(Br)c1,0,0
98,67928,67928,1187854,train,0.7910803244019841,0.97562,73.58,2,4,100,0.23377976057216004,-0.4928594196279233,2.858760806399411,252.314,COc1cc(C)c(CNC(C)C(N)=O)cc1OC,0,0
