,can,active,decoy,other
0,Cc5cccc(c4nc(Nc2ccc1[nH]ncc1c2)c3ccccc3n4)n5,1,0,0
1,CCc4cccc(c3c(c2ccc1nccnc1c2)n(C)n(C)c3=O)c4,1,0,0
2,Cc4cccc(c3nc(Nc1ccncc1)c2sccc2n3)n4,1,0,0
3,CN(C)Cc6ccc(Oc5ccc4c(c2c1CCCn1nc2c3ccccn3)ccnc4c5)cc6,1,0,0
4,CC(C)c5nc(c1cccc(C)n1)c(c4ccnc(c3ccc(C(=O)NC2CCOCC2)cc3)c4)[nH]5,1,0,0
5,O=C(N1CCCC1)c5ccc(c4cc(c2c[nH]nc2c3ccccn3)ccn4)cc5,1,0,0
6,Cn4c(c2ccc1nccnc1c2)c(c3cccs3)c(=O)n4C,1,0,0
7,C1CC1c3[nH]nc(c2ccccn2)c3c4ccnc5ccccc45,1,0,0
8,Cc5cccc(c2nn(Cc1cccc(C#N)c1)cc2c4ccc3ncccc3n4)n5,1,0,0
9,Cc4nc(c1nc(N)[nH]c1c3ccc2nccnc2c3)ccc4F,1,0,0
10,Cc4ccc3nccc(c1sc(N)nc1c2ccccn2)c3n4,1,0,0
11,O=C(N1CCOCC1)c5ccc(c4cc(c2c[nH]nc2c3ccccn3)ccn4)cc5,1,0,0
12,C5CN(Cc4ccc(c3cc(c1c[nH]nc1c2ccccn2)ccn3)cc4)CCO5,1,0,0
13,Cc3cccc(c1[nH]ncc1c2ccc(Cl)cc2)n3,1,0,0
14,Cc4cccc(c3nc(Nc1ccnc(C)c1)c2ccccc2n3)n4,1,0,0
15,Cc4csc(c3nc(Nc1ccncc1)c2ccccc2n3)n4,1,0,0
16,C5CCN(CCOc4ccc(c3cc(c1c[nH]nc1c2ccccn2)ccn3)cc4)C5,1,0,0
17,Cc5nc(c2nc(N1CCOCC1)[nH]c2c4ccc3ncnn3c4)ccc5F,1,0,0
18,c4ccc(c1n[nH]cc1c3ccc2ncccc2n3)nc4,1,0,0
19,Cc4cccc(c1[nH]c(C(C)(C)C)nc1c3ccc2OCOc2c3)n4,1,0,0
20,Cc4cccc(c3nc(Nc1ccncc1)c2ccccc2n3)n4,1,0,0
21,Cc5cc(Oc3ccnc(Nc2cccc(N1CCOCC1)c2)c3)c(c4ccccn4)nc5C,1,0,0
22,c4ccc(c1n[nH]cc1c2ccnc3ccccc23)nc4,1,0,0
23,CN6CCN(C(=O)COc5ccc4c(c2c1CCCn1nc2c3ccccn3)ccnc4c5)CC6,1,0,0
24,C5Cc4nc(c1ccccn1)c(c3ccc2OCOc2c3)n4C5,1,0,0
25,Cc5cccc(c2[nH]c(CNc1cccc(C#N)c1)nc2c4ccc3OCOc3c4)n5,1,0,0
26,Cc5nc(c2nc(N1CCN(S(C)(=O)=O)CC1)[nH]c2c4ccc3ncnn3c4)ccc5F,1,0,0
27,Cc5cccc(c2[nH]c(CNc1ccc(C(N)=O)cc1)nc2C4=CC=C3OCOC3C4)n5,1,0,0
28,NC(=O)c5ccc(c4nc(c2ccc1OCCOc1c2)c(c3ccccn3)[nH]4)cc5,1,0,0
29,Brc4cccc(c1[nH]ncc1c2ccnc3ccccc23)n4,1,0,0
30,Cc4cccc(c1nc(N)sc1c3ccc2ncccc2n3)n4,1,0,0
31,N(c1ccncc1)c3nc(c2ccccc2)nc4ccccc34,1,0,0
32,Cc4cccc(c2nn1CCCc1c2c3ccc(F)c(F)c3)n4,1,0,0
33,CN(C)CCNC(=O)Nc5ccc4c(c2c1CCCn1nc2c3ccccn3)ccnc4c5,1,0,0
34,Cc4cccc(c3cc(Nc1ccncc1)c2ccccc2n3)n4,1,0,0
35,Cc4cccc(c2nn1CCCc1c2c3ccc(O)cc3)n4,1,0,0
36,OC(=O)c5ccc(c4nc(C2=CC=C1OCOC1C2)c(c3ccccn3)[nH]4)cc5,1,0,0
